build_id,started_at,duration_s,status
B000142,2026-05-31T17:46:19,600,cancelled
B000143,2026-05-26T01:49:22,195,failed
B000144,2026-06-03T15:25:20,374,success
B000145,2026-05-17T12:03:29,237,success
B000146,2026-05-21T09:16:26,596,cancelled
B000147,2026-05-31T17:10:40,1700,cancelled
B000148,2026-05-24T23:53:19,1647,cancelled
B000149,2026-05-10T22:17:56,1788,failed
B000150,2026-05-20T09:17:21,463,cancelled
B000151,2026-05-11T21:55:55,1560,success
B000152,2026-05-29T09:30:00,1147,cancelled
B000153,2026-06-03T15:16:18,1595,success
B000154,2026-05-26T08:36:30,666,success
B000155,2026-05-13T16:09:12,629,failed
B000156,2026-06-08T20:15:55,392,failed
B000157,2026-05-15T09:53:47,1002,cancelled
B000158,2026-06-07T02:41:06,925,cancelled
B000159,2026-06-01T17:13:18,1520,success
B000160,2026-05-26T21:05:55,1659,failed
B000161,2026-05-26T05:20:32,1751,failed
B000162,2026-05-26T04:15:53,1571,success
B000163,2026-05-25T19:08:41,471,failed
B000164,2026-05-11T11:38:56,1388,success
B000165,2026-05-24T23:28:35,1016,success
B000166,2026-06-03T11:56:55,506,success
B000167,2026-05-29T09:23:17,1057,cancelled
B000168,2026-05-31T17:33:52,1198,success
B000169,2026-05-21T09:19:13,525,failed
B000170,2026-06-08T10:15:52,682,failed
B000171,2026-05-12T21:07:52,664,failed
B000172,2026-05-28T04:59:55,1372,cancelled
B000173,2026-05-31T21:04:51,610,success
B000174,2026-05-27T17:14:07,1589,success
B000175,2026-05-17T13:26:45,1740,success
B000176,2026-06-07T22:41:31,1560,success
B000177,2026-05-26T22:16:55,1246,failed
B000178,2026-05-19T09:29:35,636,cancelled
B000179,2026-05-29T20:19:42,822,cancelled
B000180,2026-05-20T05:52:33,887,success
B000181,2026-05-28T18:10:30,1027,failed
B000182,2026-06-08T14:58:48,1672,cancelled
B000183,2026-05-13T06:29:01,1392,success
B000184,2026-05-24T06:05:47,147,failed
B000185,2026-05-20T12:16:11,1189,success
B000186,2026-05-24T01:23:58,1203,cancelled
B000187,2026-05-17T04:44:01,185,cancelled
B000188,2026-05-12T04:06:25,1506,cancelled
B000189,2026-06-02T07:11:02,1280,cancelled
B000190,2026-05-27T17:00:06,1326,cancelled
B000191,2026-06-01T09:04:57,1652,cancelled
B000192,2026-06-02T15:38:23,1760,failed
B000193,2026-05-29T21:06:41,842,failed
B000194,2026-05-29T15:55:11,888,success
B000195,2026-05-14T07:19:54,983,success
B000196,2026-05-22T16:52:40,1252,cancelled
B000197,2026-05-10T20:18:27,792,success
B000198,2026-05-21T16:39:00,219,success
B000199,2026-05-11T14:18:30,471,cancelled
B000200,2026-05-30T12:25:04,1750,failed
B000201,2026-05-11T01:08:43,857,cancelled
B000202,2026-05-15T21:57:32,363,failed
B000203,2026-06-08T12:01:14,1018,cancelled
B000204,2026-05-26T05:08:31,844,success
B000205,2026-05-29T11:07:23,171,success
B000206,2026-06-01T02:30:34,1517,cancelled
B000207,2026-06-03T15:34:20,1248,success
B000208,2026-05-20T03:47:38,321,cancelled
B000209,2026-05-15T05:30:34,82,failed
B000210,2026-06-05T15:12:09,959,cancelled
B000211,2026-06-06T11:56:05,1469,failed
B000212,2026-05-24T07:07:56,795,success
B000213,2026-05-17T17:51:30,79,success
B000214,2026-05-17T16:57:22,1597,failed
B000215,2026-05-23T16:32:38,639,failed
B000216,2026-06-03T17:34:04,180,failed
B000217,2026-06-05T20:56:41,903,failed
B000218,2026-06-08T20:53:36,1422,success
B000219,2026-05-20T08:28:48,114,failed
B000220,2026-05-13T18:41:31,1519,failed
B000221,2026-05-29T09:34:48,350,failed
B000222,2026-06-07T01:51:09,793,failed
B000223,2026-05-17T18:44:09,346,success
B000224,2026-06-09T15:45:00,74,success
B000225,2026-05-11T21:26:08,262,failed
B000226,2026-05-27T09:55:43,683,cancelled
B000227,2026-05-28T22:49:23,1193,success
B000228,2026-05-25T00:38:47,1714,cancelled
B000229,2026-05-20T13:53:57,464,cancelled
B000230,2026-06-04T20:39:50,1464,success
B000231,2026-05-14T04:46:07,686,success
B000232,2026-05-18T08:57:52,971,success
B000233,2026-06-06T23:53:12,270,cancelled
B000234,2026-05-28T02:39:00,494,cancelled
B000235,2026-06-06T01:48:48,1009,cancelled
B000236,2026-05-19T18:09:14,833,cancelled
B000237,2026-06-08T12:46:30,1547,success
B000238,2026-05-23T20:23:40,1392,failed
B000239,2026-05-21T00:34:22,408,success
B000240,2026-06-05T22:35:44,1405,success
B000241,2026-05-12T14:08:33,342,cancelled
B000242,2026-05-11T10:20:10,601,cancelled
B000243,2026-05-19T16:15:32,1274,success
B000244,2026-05-25T19:18:25,1731,success
B000245,2026-05-15T09:59:24,495,cancelled
B000246,2026-05-18T23:56:27,983,failed
B000247,2026-05-30T09:52:16,778,failed
B000248,2026-05-12T08:59:48,1036,failed
B000249,2026-05-20T21:41:51,1282,failed
B000250,2026-05-26T22:26:20,799,failed
B000251,2026-05-25T17:32:26,1146,failed
B000252,2026-05-19T13:09:53,448,success
B000253,2026-05-26T09:35:20,597,success
B000254,2026-06-06T21:34:36,1591,failed
B000255,2026-05-28T04:22:01,1064,failed
B000256,2026-05-25T23:39:06,349,failed
B000257,2026-06-04T14:15:24,1360,cancelled
B000258,2026-05-12T15:35:09,1267,cancelled
B000259,2026-05-14T04:54:45,1157,cancelled
B000260,2026-05-19T22:04:24,102,failed
B000261,2026-05-16T20:43:52,933,failed
B000262,2026-05-29T16:32:47,1005,cancelled
B000263,2026-05-24T00:05:39,615,failed
B000264,2026-05-25T05:59:17,1654,failed
B000265,2026-06-03T07:44:50,1114,failed
B000266,2026-05-21T05:33:33,1415,cancelled
B000267,2026-06-08T04:21:02,929,cancelled
B000268,2026-06-06T10:24:35,791,failed
B000269,2026-05-23T05:08:13,1712,failed
B000270,2026-06-03T02:30:27,780,success
B000271,2026-05-12T06:29:28,1618,cancelled
B000272,2026-06-02T14:05:11,1221,success
B000273,2026-05-24T14:47:20,597,success
B000274,2026-06-05T10:36:17,948,cancelled
B000275,2026-05-30T16:52:45,525,failed
B000276,2026-05-28T05:08:38,820,cancelled
B000277,2026-05-21T00:58:45,1425,success
B000278,2026-05-15T10:31:41,1765,cancelled
B000279,2026-05-19T05:25:13,1293,cancelled
B000280,2026-06-06T13:26:37,1175,failed
B000281,2026-05-28T16:08:15,216,failed
B000282,2026-05-28T21:49:48,738,success
B000283,2026-05-19T01:50:43,405,cancelled
B000284,2026-06-01T13:59:34,1097,failed
B000285,2026-06-08T21:10:55,455,failed
B000286,2026-06-08T23:30:53,250,success
B000287,2026-05-20T10:11:44,1157,failed
B000288,2026-05-29T07:45:35,1014,cancelled
B000289,2026-05-29T21:59:15,835,success
B000290,2026-05-19T13:03:42,561,cancelled
B000291,2026-05-27T12:02:13,169,failed
B000292,2026-05-25T10:32:40,612,cancelled
B000293,2026-06-04T05:23:05,1009,cancelled
B000294,2026-05-11T00:14:59,1023,failed
B000295,2026-05-16T09:06:40,645,failed
B000296,2026-05-13T10:12:57,864,success
B000297,2026-05-21T19:19:20,1226,failed
B000298,2026-05-14T20:37:27,1379,cancelled
B000299,2026-06-01T22:16:40,188,success
