mention_id,chunk_id,entity_id,char_offset
M00000110,CHK00002_017,ENT00317,405
M00000111,CHK00002_017,ENT00572,168
M00000112,CHK00003_000,ENT00316,174
M00000113,CHK00003_000,ENT00184,485
M00000114,CHK00003_000,ENT00219,392
M00000115,CHK00003_001,ENT00519,394
M00000116,CHK00003_002,ENT00185,369
M00000117,CHK00003_002,ENT00169,224
M00000118,CHK00003_003,ENT00454,385
M00000119,CHK00003_003,ENT00291,383
M00000120,CHK00003_004,ENT00198,236
M00000121,CHK00003_004,ENT00376,393
M00000122,CHK00003_004,ENT00584,144
M00000123,CHK00003_004,ENT00451,398
M00000124,CHK00003_005,ENT00256,328
M00000125,CHK00003_005,ENT00053,246
M00000126,CHK00003_006,ENT00085,230
M00000127,CHK00003_006,ENT00164,463
M00000128,CHK00003_006,ENT00279,262
M00000129,CHK00003_007,ENT00357,202
M00000130,CHK00003_007,ENT00027,257
M00000131,CHK00003_007,ENT00424,191
M00000132,CHK00003_007,ENT00054,120
M00000133,CHK00003_008,ENT00149,146
M00000134,CHK00003_008,ENT00140,469
M00000135,CHK00003_008,ENT00039,424
M00000136,CHK00003_009,ENT00262,110
M00000137,CHK00003_010,ENT00113,62
M00000138,CHK00003_010,ENT00295,24
M00000139,CHK00003_010,ENT00243,122
M00000140,CHK00003_010,ENT00308,214
M00000141,CHK00003_011,ENT00147,219
M00000142,CHK00003_011,ENT00298,0
M00000143,CHK00003_012,ENT00538,278
M00000144,CHK00003_013,ENT00016,176
M00000145,CHK00003_013,ENT00365,123
M00000146,CHK00003_013,ENT00069,375
M00000147,CHK00003_014,ENT00475,323
M00000148,CHK00003_014,ENT00490,93
M00000149,CHK00003_015,ENT00300,103
M00000150,CHK00004_000,ENT00259,182
M00000151,CHK00004_000,ENT00037,441
M00000152,CHK00004_000,ENT00195,399
M00000153,CHK00004_000,ENT00292,24
M00000154,CHK00004_001,ENT00347,188
M00000155,CHK00004_001,ENT00191,473
M00000156,CHK00004_001,ENT00508,408
M00000157,CHK00004_001,ENT00509,265
M00000158,CHK00004_002,ENT00558,164
M00000159,CHK00004_002,ENT00300,52
M00000160,CHK00004_003,ENT00436,228
M00000161,CHK00004_003,ENT00170,21
M00000162,CHK00004_003,ENT00454,372
M00000163,CHK00004_003,ENT00359,445
M00000164,CHK00004_004,ENT00415,186
M00000165,CHK00004_005,ENT00241,398
M00000166,CHK00004_006,ENT00454,70
M00000167,CHK00004_006,ENT00078,271
M00000168,CHK00004_006,ENT00587,187
M00000169,CHK00004_007,ENT00511,198
M00000170,CHK00004_007,ENT00530,467
M00000171,CHK00004_008,ENT00125,436
M00000172,CHK00004_008,ENT00138,37
M00000173,CHK00004_009,ENT00355,277
M00000174,CHK00004_009,ENT00066,148
M00000175,CHK00004_009,ENT00563,456
M00000176,CHK00004_010,ENT00142,404
M00000177,CHK00004_010,ENT00242,252
M00000178,CHK00004_011,ENT00564,158
M00000179,CHK00004_011,ENT00132,203
M00000180,CHK00004_011,ENT00088,367
M00000181,CHK00004_011,ENT00067,368
M00000182,CHK00004_012,ENT00324,230
M00000183,CHK00004_012,ENT00075,238
M00000184,CHK00004_013,ENT00443,466
M00000185,CHK00004_013,ENT00514,444
M00000186,CHK00004_014,ENT00165,478
M00000187,CHK00004_014,ENT00330,363
M00000188,CHK00004_015,ENT00080,325
M00000189,CHK00004_015,ENT00256,489
M00000190,CHK00004_015,ENT00201,282
M00000191,CHK00004_016,ENT00594,87
M00000192,CHK00004_016,ENT00157,337
M00000193,CHK00005_000,ENT00031,328
M00000194,CHK00005_000,ENT00509,489
M00000195,CHK00005_000,ENT00558,154
M00000196,CHK00005_000,ENT00296,247
M00000197,CHK00005_001,ENT00161,225
M00000198,CHK00005_002,ENT00353,389
M00000199,CHK00005_002,ENT00408,189
M00000200,CHK00005_002,ENT00133,263
M00000201,CHK00005_003,ENT00297,484
M00000202,CHK00005_004,ENT00591,390
M00000203,CHK00005_004,ENT00320,81
M00000204,CHK00005_004,ENT00194,255
M00000205,CHK00005_005,ENT00220,180
M00000206,CHK00005_005,ENT00597,24
M00000207,CHK00005_006,ENT00292,220
M00000208,CHK00005_006,ENT00549,68
M00000209,CHK00005_006,ENT00008,451
M00000210,CHK00005_006,ENT00110,135
M00000211,CHK00005_007,ENT00075,230
M00000212,CHK00005_007,ENT00395,391
M00000213,CHK00005_007,ENT00516,281
M00000214,CHK00005_008,ENT00347,386
M00000215,CHK00005_008,ENT00571,73
M00000216,CHK00005_008,ENT00374,101
M00000217,CHK00005_009,ENT00531,71
M00000218,CHK00005_009,ENT00467,167
M00000219,CHK00005_009,ENT00152,476
M00000220,CHK00005_009,ENT00527,313
M00000221,CHK00005_010,ENT00519,250
M00000222,CHK00005_010,ENT00521,362
M00000223,CHK00005_010,ENT00545,288
M00000224,CHK00006_000,ENT00271,369
M00000225,CHK00006_000,ENT00592,26
M00000226,CHK00006_000,ENT00591,298
M00000227,CHK00006_000,ENT00233,245
M00000228,CHK00006_001,ENT00151,485
M00000229,CHK00006_001,ENT00248,358
M00000230,CHK00006_001,ENT00032,56
M00000231,CHK00006_001,ENT00586,97
M00000232,CHK00006_002,ENT00208,446
M00000233,CHK00006_002,ENT00420,434
M00000234,CHK00006_002,ENT00513,376
M00000235,CHK00006_002,ENT00482,372
M00000236,CHK00006_003,ENT00489,160
M00000237,CHK00006_003,ENT00538,489
M00000238,CHK00006_003,ENT00385,88
M00000239,CHK00006_004,ENT00495,142
M00000240,CHK00006_004,ENT00196,285
M00000241,CHK00006_004,ENT00252,152
M00000242,CHK00007_000,ENT00357,62
M00000243,CHK00007_000,ENT00573,293
M00000244,CHK00007_000,ENT00280,346
M00000245,CHK00007_000,ENT00294,278
M00000246,CHK00007_001,ENT00294,489
M00000247,CHK00007_002,ENT00575,55
M00000248,CHK00007_002,ENT00278,315
M00000249,CHK00007_002,ENT00140,379
M00000250,CHK00007_003,ENT00423,169
M00000251,CHK00007_004,ENT00488,146
M00000252,CHK00007_004,ENT00204,330
M00000253,CHK00007_004,ENT00294,30
M00000254,CHK00007_004,ENT00328,464
M00000255,CHK00007_005,ENT00179,213
M00000256,CHK00007_006,ENT00190,152
M00000257,CHK00007_006,ENT00296,290
M00000258,CHK00007_006,ENT00038,308
M00000259,CHK00007_006,ENT00009,54
M00000260,CHK00007_007,ENT00516,139
M00000261,CHK00007_007,ENT00479,98
M00000262,CHK00007_008,ENT00190,404
M00000263,CHK00007_008,ENT00014,151
M00000264,CHK00007_008,ENT00345,290
M00000265,CHK00007_009,ENT00088,94
M00000266,CHK00007_009,ENT00410,71
M00000267,CHK00007_009,ENT00097,244
M00000268,CHK00007_010,ENT00337,370
M00000269,CHK00007_010,ENT00309,293
M00000270,CHK00007_010,ENT00596,5
M00000271,CHK00007_011,ENT00415,472
M00000272,CHK00007_011,ENT00514,458
M00000273,CHK00007_012,ENT00465,212
M00000274,CHK00007_012,ENT00382,359
M00000275,CHK00007_013,ENT00538,228
M00000276,CHK00007_014,ENT00168,437
M00000277,CHK00007_014,ENT00335,266
M00000278,CHK00007_015,ENT00056,212
M00000279,CHK00007_015,ENT00464,233
M00000280,CHK00007_015,ENT00135,288
M00000281,CHK00007_015,ENT00525,29
M00000282,CHK00007_016,ENT00046,216
M00000283,CHK00007_017,ENT00032,393
M00000284,CHK00007_017,ENT00293,69
M00000285,CHK00007_017,ENT00418,392
M00000286,CHK00007_017,ENT00184,328
M00000287,CHK00007_018,ENT00356,91
M00000288,CHK00007_018,ENT00121,275
M00000289,CHK00007_019,ENT00305,237
M00000290,CHK00008_000,ENT00016,51
M00000291,CHK00008_000,ENT00246,304
M00000292,CHK00008_000,ENT00211,17
M00000293,CHK00008_000,ENT00068,228
M00000294,CHK00008_001,ENT00143,257
M00000295,CHK00008_002,ENT00242,338
M00000296,CHK00008_002,ENT00309,266
M00000297,CHK00008_002,ENT00146,113
M00000298,CHK00008_003,ENT00437,253
M00000299,CHK00008_003,ENT00569,24
M00000300,CHK00008_004,ENT00385,242
M00000301,CHK00008_004,ENT00188,123
M00000302,CHK00008_004,ENT00550,434
M00000303,CHK00008_005,ENT00059,285
M00000304,CHK00008_005,ENT00575,271
M00000305,CHK00008_005,ENT00422,68
M00000306,CHK00008_005,ENT00426,198
M00000307,CHK00008_006,ENT00460,433
M00000308,CHK00008_007,ENT00040,111
M00000309,CHK00008_007,ENT00074,245
M00000310,CHK00008_007,ENT00192,106
M00000311,CHK00008_007,ENT00572,445
M00000312,CHK00009_000,ENT00406,282
M00000313,CHK00009_000,ENT00245,164
M00000314,CHK00009_001,ENT00525,50
M00000315,CHK00009_001,ENT00509,411
M00000316,CHK00009_001,ENT00477,369
M00000317,CHK00009_002,ENT00149,133
M00000318,CHK00009_002,ENT00016,283
M00000319,CHK00009_003,ENT00511,335
M00000320,CHK00009_003,ENT00563,483
M00000321,CHK00009_004,ENT00173,250
M00000322,CHK00009_004,ENT00143,94
M00000323,CHK00009_004,ENT00559,469
M00000324,CHK00009_005,ENT00422,70
M00000325,CHK00009_006,ENT00499,282
M00000326,CHK00009_006,ENT00016,210
M00000327,CHK00009_006,ENT00006,6
M00000328,CHK00009_006,ENT00544,8
M00000329,CHK00009_007,ENT00109,268
M00000330,CHK00009_007,ENT00098,76
M00000331,CHK00009_008,ENT00273,191
M00000332,CHK00009_008,ENT00406,491
M00000333,CHK00009_008,ENT00080,207
M00000334,CHK00009_009,ENT00032,47
M00000335,CHK00009_010,ENT00084,432
M00000336,CHK00009_010,ENT00511,222
M00000337,CHK00009_011,ENT00277,460
M00000338,CHK00009_011,ENT00047,278
M00000339,CHK00009_011,ENT00076,288
M00000340,CHK00009_011,ENT00287,336
M00000341,CHK00009_012,ENT00212,300
M00000342,CHK00009_013,ENT00577,290
M00000343,CHK00009_013,ENT00246,427
M00000344,CHK00009_014,ENT00512,381
M00000345,CHK00009_015,ENT00334,251
M00000346,CHK00009_015,ENT00030,116
M00000347,CHK00009_015,ENT00279,182
M00000348,CHK00009_015,ENT00461,283
M00000349,CHK00009_016,ENT00252,137
M00000350,CHK00009_016,ENT00075,78
M00000351,CHK00009_016,ENT00084,194
M00000352,CHK00009_017,ENT00276,44
M00000353,CHK00009_017,ENT00104,95
M00000354,CHK00009_017,ENT00135,220
M00000355,CHK00009_018,ENT00332,442
M00000356,CHK00009_019,ENT00585,86
M00000357,CHK00009_019,ENT00533,350
M00000358,CHK00010_000,ENT00306,128
M00000359,CHK00010_000,ENT00495,483
M00000360,CHK00010_000,ENT00078,126
M00000361,CHK00010_000,ENT00369,369
M00000362,CHK00010_001,ENT00389,171
M00000363,CHK00010_001,ENT00337,220
M00000364,CHK00010_001,ENT00450,417
M00000365,CHK00010_002,ENT00407,149
M00000366,CHK00010_002,ENT00326,376
M00000367,CHK00010_003,ENT00577,102
M00000368,CHK00010_004,ENT00298,71
M00000369,CHK00010_004,ENT00070,324
M00000370,CHK00010_004,ENT00418,155
M00000371,CHK00010_004,ENT00511,123
M00000372,CHK00010_005,ENT00596,472
M00000373,CHK00010_005,ENT00410,471
M00000374,CHK00010_005,ENT00547,445
M00000375,CHK00010_005,ENT00518,354
M00000376,CHK00010_006,ENT00111,393
M00000377,CHK00010_007,ENT00576,330
M00000378,CHK00010_008,ENT00456,200
M00000379,CHK00010_008,ENT00383,237
M00000380,CHK00010_009,ENT00118,425
M00000381,CHK00010_010,ENT00099,34
M00000382,CHK00010_010,ENT00448,153
M00000383,CHK00010_010,ENT00463,22
M00000384,CHK00010_010,ENT00326,414
M00000385,CHK00010_011,ENT00528,282
M00000386,CHK00010_011,ENT00178,81
M00000387,CHK00010_012,ENT00190,202
M00000388,CHK00010_012,ENT00442,14
M00000389,CHK00010_013,ENT00064,409
M00000390,CHK00010_013,ENT00591,446
M00000391,CHK00010_013,ENT00104,274
M00000392,CHK00010_014,ENT00268,343
M00000393,CHK00010_015,ENT00356,180
M00000394,CHK00010_016,ENT00137,160
M00000395,CHK00010_017,ENT00144,214
M00000396,CHK00010_017,ENT00523,305
M00000397,CHK00010_017,ENT00397,70
M00000398,CHK00011_000,ENT00322,317
M00000399,CHK00011_000,ENT00461,27
M00000400,CHK00011_001,ENT00418,250
M00000401,CHK00011_001,ENT00503,85
M00000402,CHK00011_001,ENT00425,42
M00000403,CHK00011_001,ENT00454,289
M00000404,CHK00011_002,ENT00550,86
M00000405,CHK00011_002,ENT00295,399
M00000406,CHK00011_003,ENT00556,421
M00000407,CHK00011_003,ENT00375,387
M00000408,CHK00011_003,ENT00555,21
M00000409,CHK00011_004,ENT00304,230
M00000410,CHK00011_004,ENT00033,134
M00000411,CHK00011_005,ENT00214,440
M00000412,CHK00011_005,ENT00359,363
M00000413,CHK00011_006,ENT00545,86
M00000414,CHK00011_006,ENT00287,165
M00000415,CHK00011_006,ENT00551,360
M00000416,CHK00011_007,ENT00138,492
M00000417,CHK00011_008,ENT00149,424
M00000418,CHK00011_008,ENT00329,126
M00000419,CHK00011_009,ENT00095,206
M00000420,CHK00011_010,ENT00469,325
M00000421,CHK00011_011,ENT00330,280
M00000422,CHK00011_011,ENT00290,295
M00000423,CHK00011_011,ENT00345,66
M00000424,CHK00011_012,ENT00161,225
M00000425,CHK00011_013,ENT00162,335
M00000426,CHK00011_013,ENT00280,184
M00000427,CHK00011_013,ENT00095,128
M00000428,CHK00012_000,ENT00239,360
M00000429,CHK00012_000,ENT00439,48
M00000430,CHK00012_000,ENT00093,0
M00000431,CHK00012_001,ENT00531,4
M00000432,CHK00012_001,ENT00455,4
M00000433,CHK00012_002,ENT00105,160
M00000434,CHK00012_003,ENT00070,288
M00000435,CHK00012_003,ENT00543,4
M00000436,CHK00012_004,ENT00222,385
M00000437,CHK00012_004,ENT00088,63
M00000438,CHK00012_004,ENT00102,301
M00000439,CHK00012_004,ENT00143,373
M00000440,CHK00012_005,ENT00254,283
M00000441,CHK00012_006,ENT00210,96
M00000442,CHK00012_006,ENT00530,382
M00000443,CHK00012_006,ENT00521,200
M00000444,CHK00012_007,ENT00540,455
M00000445,CHK00012_008,ENT00582,349
M00000446,CHK00012_008,ENT00430,88
M00000447,CHK00012_008,ENT00374,390
M00000448,CHK00012_008,ENT00559,241
M00000449,CHK00012_009,ENT00220,485
M00000450,CHK00012_009,ENT00040,404
M00000451,CHK00012_009,ENT00061,203
M00000452,CHK00012_010,ENT00284,158
M00000453,CHK00012_010,ENT00085,40
M00000454,CHK00012_011,ENT00317,357
M00000455,CHK00012_012,ENT00056,6
M00000456,CHK00012_012,ENT00316,362
M00000457,CHK00012_012,ENT00179,70
M00000458,CHK00012_012,ENT00122,359
M00000459,CHK00012_013,ENT00170,383
M00000460,CHK00012_013,ENT00380,399
M00000461,CHK00012_013,ENT00129,447
M00000462,CHK00012_014,ENT00269,364
M00000463,CHK00012_015,ENT00161,457
M00000464,CHK00012_015,ENT00261,293
M00000465,CHK00012_015,ENT00105,345
M00000466,CHK00012_016,ENT00372,476
M00000467,CHK00012_016,ENT00392,491
M00000468,CHK00012_016,ENT00153,439
M00000469,CHK00012_016,ENT00183,18
M00000470,CHK00013_000,ENT00528,488
M00000471,CHK00013_000,ENT00047,205
M00000472,CHK00013_001,ENT00335,233
M00000473,CHK00013_001,ENT00088,4
M00000474,CHK00013_001,ENT00566,188
M00000475,CHK00013_002,ENT00475,302
M00000476,CHK00013_002,ENT00377,497
M00000477,CHK00013_003,ENT00024,325
M00000478,CHK00013_003,ENT00238,429
M00000479,CHK00013_003,ENT00554,355
M00000480,CHK00013_003,ENT00354,449
M00000481,CHK00013_004,ENT00314,121
M00000482,CHK00013_004,ENT00106,214
M00000483,CHK00013_004,ENT00210,251
M00000484,CHK00013_004,ENT00542,492
M00000485,CHK00013_005,ENT00237,459
M00000486,CHK00014_000,ENT00242,133
M00000487,CHK00014_000,ENT00298,435
M00000488,CHK00014_001,ENT00139,55
M00000489,CHK00014_001,ENT00598,79
M00000490,CHK00014_002,ENT00123,231
M00000491,CHK00014_002,ENT00548,157
M00000492,CHK00014_002,ENT00366,237
M00000493,CHK00014_002,ENT00212,135
M00000494,CHK00014_003,ENT00041,75
M00000495,CHK00014_003,ENT00220,46
M00000496,CHK00014_003,ENT00335,364
M00000497,CHK00014_004,ENT00266,487
M00000498,CHK00014_004,ENT00178,207
M00000499,CHK00014_004,ENT00031,437
M00000500,CHK00014_005,ENT00124,31
M00000501,CHK00014_005,ENT00012,425
M00000502,CHK00015_000,ENT00076,101
M00000503,CHK00015_000,ENT00022,462
M00000504,CHK00015_000,ENT00066,330
M00000505,CHK00015_001,ENT00043,482
M00000506,CHK00015_002,ENT00508,88
M00000507,CHK00015_002,ENT00030,181
M00000508,CHK00015_002,ENT00391,109
M00000509,CHK00015_002,ENT00436,465
M00000510,CHK00015_003,ENT00251,331
M00000511,CHK00015_004,ENT00392,102
M00000512,CHK00015_004,ENT00140,329
M00000513,CHK00015_004,ENT00429,452
M00000514,CHK00015_005,ENT00352,198
M00000515,CHK00015_005,ENT00579,138
M00000516,CHK00015_005,ENT00514,92
M00000517,CHK00015_005,ENT00329,13
M00000518,CHK00015_006,ENT00483,271
M00000519,CHK00016_000,ENT00589,181
M00000520,CHK00016_000,ENT00397,478
M00000521,CHK00016_001,ENT00028,288
M00000522,CHK00016_001,ENT00360,72
M00000523,CHK00016_001,ENT00581,288
M00000524,CHK00016_002,ENT00038,308
M00000525,CHK00016_002,ENT00092,112
M00000526,CHK00016_002,ENT00057,10
M00000527,CHK00016_002,ENT00238,269
M00000528,CHK00016_003,ENT00181,11
M00000529,CHK00016_003,ENT00331,75
M00000530,CHK00016_003,ENT00060,300
M00000531,CHK00016_004,ENT00103,69
M00000532,CHK00016_004,ENT00344,499
M00000533,CHK00016_004,ENT00309,80
M00000534,CHK00016_004,ENT00330,374
M00000535,CHK00016_005,ENT00228,157
M00000536,CHK00016_005,ENT00179,375
M00000537,CHK00016_005,ENT00387,352
M00000538,CHK00017_000,ENT00226,479
M00000539,CHK00017_000,ENT00579,254
M00000540,CHK00017_000,ENT00106,72
M00000541,CHK00017_001,ENT00343,228
M00000542,CHK00017_002,ENT00358,131
M00000543,CHK00017_003,ENT00170,179
M00000544,CHK00017_003,ENT00423,279
M00000545,CHK00017_003,ENT00504,192
M00000546,CHK00017_003,ENT00387,51
M00000547,CHK00017_004,ENT00301,10
M00000548,CHK00017_005,ENT00076,482
M00000549,CHK00017_005,ENT00560,459
M00000550,CHK00018_000,ENT00444,27
M00000551,CHK00018_000,ENT00160,51
M00000552,CHK00018_001,ENT00288,49
M00000553,CHK00018_001,ENT00304,25
M00000554,CHK00018_001,ENT00243,201
M00000555,CHK00018_002,ENT00204,87
M00000556,CHK00018_002,ENT00099,326
M00000557,CHK00018_002,ENT00026,149
M00000558,CHK00018_002,ENT00211,500
M00000559,CHK00018_003,ENT00482,328
M00000560,CHK00018_003,ENT00500,278
M00000561,CHK00018_003,ENT00271,198
M00000562,CHK00018_003,ENT00093,94
M00000563,CHK00018_004,ENT00269,31
M00000564,CHK00018_004,ENT00231,77
M00000565,CHK00018_004,ENT00275,385
M00000566,CHK00018_004,ENT00577,356
M00000567,CHK00019_000,ENT00548,243
M00000568,CHK00019_000,ENT00486,153
M00000569,CHK00019_000,ENT00586,40
M00000570,CHK00019_000,ENT00241,202
M00000571,CHK00019_001,ENT00123,88
M00000572,CHK00019_001,ENT00459,485
M00000573,CHK00019_002,ENT00433,40
M00000574,CHK00019_003,ENT00089,198
M00000575,CHK00019_004,ENT00115,290
M00000576,CHK00019_004,ENT00424,301
M00000577,CHK00019_004,ENT00153,298
M00000578,CHK00019_004,ENT00151,388
M00000579,CHK00019_005,ENT00548,135
M00000580,CHK00019_005,ENT00352,196
M00000581,CHK00019_005,ENT00420,335
M00000582,CHK00019_006,ENT00411,202
M00000583,CHK00019_006,ENT00039,455
M00000584,CHK00019_007,ENT00345,418
M00000585,CHK00019_008,ENT00233,68
M00000586,CHK00019_009,ENT00192,226
M00000587,CHK00019_010,ENT00057,33
M00000588,CHK00019_010,ENT00527,159
M00000589,CHK00019_010,ENT00162,363
M00000590,CHK00019_011,ENT00059,16
M00000591,CHK00019_011,ENT00255,233
M00000592,CHK00019_012,ENT00475,325
M00000593,CHK00019_012,ENT00517,472
M00000594,CHK00019_012,ENT00406,63
M00000595,CHK00019_013,ENT00352,383
M00000596,CHK00019_013,ENT00167,425
M00000597,CHK00019_013,ENT00264,352
M00000598,CHK00019_014,ENT00585,438
M00000599,CHK00019_014,ENT00219,113
M00000600,CHK00019_015,ENT00485,466
M00000601,CHK00019_016,ENT00258,364
M00000602,CHK00019_016,ENT00312,495
M00000603,CHK00020_000,ENT00574,350
M00000604,CHK00020_000,ENT00289,55
M00000605,CHK00020_000,ENT00305,246
M00000606,CHK00020_001,ENT00283,96
M00000607,CHK00020_001,ENT00267,76
M00000608,CHK00020_001,ENT00305,264
M00000609,CHK00020_002,ENT00327,151
M00000610,CHK00020_002,ENT00143,132
M00000611,CHK00020_002,ENT00026,464
M00000612,CHK00020_002,ENT00509,214
M00000613,CHK00020_003,ENT00351,351
M00000614,CHK00020_003,ENT00227,273
M00000615,CHK00020_004,ENT00300,241
M00000616,CHK00020_004,ENT00099,65
M00000617,CHK00020_005,ENT00228,403
M00000618,CHK00020_005,ENT00314,454
M00000619,CHK00020_005,ENT00430,169
M00000620,CHK00020_006,ENT00597,297
M00000621,CHK00020_007,ENT00055,175
M00000622,CHK00020_007,ENT00154,209
M00000623,CHK00020_007,ENT00140,291
M00000624,CHK00020_007,ENT00205,457
M00000625,CHK00021_000,ENT00004,231
M00000626,CHK00021_001,ENT00132,314
M00000627,CHK00021_002,ENT00546,102
M00000628,CHK00021_003,ENT00231,159
M00000629,CHK00021_003,ENT00352,66
M00000630,CHK00021_004,ENT00066,152
M00000631,CHK00021_004,ENT00046,485
M00000632,CHK00021_005,ENT00350,183
M00000633,CHK00021_005,ENT00501,384
M00000634,CHK00021_006,ENT00019,108
M00000635,CHK00021_006,ENT00233,375
M00000636,CHK00021_006,ENT00229,11
M00000637,CHK00021_006,ENT00134,301
M00000638,CHK00021_007,ENT00547,334
M00000639,CHK00021_007,ENT00049,428
M00000640,CHK00021_007,ENT00110,10
M00000641,CHK00021_008,ENT00560,129
M00000642,CHK00021_009,ENT00103,214
M00000643,CHK00021_009,ENT00532,425
M00000644,CHK00021_009,ENT00276,460
M00000645,CHK00021_009,ENT00140,53
M00000646,CHK00022_000,ENT00302,254
M00000647,CHK00022_000,ENT00164,466
M00000648,CHK00022_000,ENT00040,106
M00000649,CHK00022_000,ENT00561,352
M00000650,CHK00022_001,ENT00152,370
M00000651,CHK00022_001,ENT00092,370
M00000652,CHK00022_001,ENT00523,51
M00000653,CHK00022_001,ENT00076,463
M00000654,CHK00022_002,ENT00102,416
M00000655,CHK00022_003,ENT00436,435
M00000656,CHK00022_003,ENT00118,388
M00000657,CHK00022_003,ENT00097,455
M00000658,CHK00022_004,ENT00336,457
M00000659,CHK00022_004,ENT00366,224
M00000660,CHK00022_005,ENT00394,332
M00000661,CHK00022_005,ENT00489,453
M00000662,CHK00022_005,ENT00431,408
M00000663,CHK00022_006,ENT00163,53
