interaction_id,user_id,item_id,action,timestamp,rating,session_id
IX00000043,U001052,I00072,rate,2024-04-08T05:42:00,5,S0000008
IX00000044,U001092,I00010,click,2024-03-08T07:11:00,,S0000008
IX00000045,U000436,I00509,view,2025-03-10T03:32:00,,S0000009
IX00000046,U000891,I00351,view,2024-03-14T23:25:00,,S0000009
IX00000047,U000940,I00410,view,2024-02-08T02:59:00,,S0000009
IX00000048,U000364,I00464,view,2025-07-25T02:24:00,,S0000009
IX00000049,U000466,I00535,view,2025-02-21T13:14:00,,S0000009
IX00000050,U000828,I00250,click,2024-01-18T13:17:00,,S0000010
IX00000051,U001095,I00010,click,2025-09-25T02:09:00,,S0000010
IX00000052,U001199,I00022,purchase,2024-03-15T12:12:00,,S0000010
IX00000053,U000217,I00167,click,2025-12-03T10:17:00,,S0000010
IX00000054,U000576,I00452,view,2025-03-24T13:01:00,,S0000010
IX00000055,U000063,I00264,view,2025-06-30T07:30:00,,S0000011
IX00000056,U000800,I00470,purchase,2025-07-12T10:04:00,,S0000011
IX00000057,U000295,I00173,purchase,2025-10-25T12:44:00,,S0000011
IX00000058,U000022,I00301,view,2025-07-22T04:49:00,,S0000011
IX00000059,U000010,I00305,view,2025-02-07T18:20:00,,S0000011
IX00000060,U000174,I00186,view,2024-12-18T07:13:00,,S0000012
IX00000061,U001049,I00107,click,2024-07-07T07:32:00,,S0000012
IX00000062,U000517,I00116,click,2024-07-04T22:54:00,,S0000012
IX00000063,U000111,I00495,click,2025-07-16T15:44:00,,S0000012
IX00000064,U000149,I00167,view,2024-03-09T08:33:00,,S0000012
IX00000065,U001189,I00264,view,2024-12-04T12:11:00,,S0000013
IX00000066,U000480,I00078,purchase,2025-09-26T02:22:00,,S0000013
IX00000067,U000650,I00264,click,2024-12-02T21:02:00,,S0000013
IX00000068,U001196,I00107,add_to_cart,2025-08-03T12:26:00,,S0000013
IX00000069,U000877,I00111,click,2024-11-16T08:24:00,,S0000013
IX00000070,U000893,I00153,click,2025-01-03T04:35:00,,S0000014
IX00000071,U000679,I00511,view,2025-04-18T15:12:00,,S0000014
IX00000072,U000625,I00264,click,2024-04-21T05:59:00,,S0000014
IX00000073,U000167,I00492,view,2024-05-23T18:23:00,,S0000014
IX00000074,U000156,I00410,click,2024-01-20T17:18:00,,S0000014
IX00000075,U001191,I00305,purchase,2025-08-27T07:15:00,,S0000015
IX00000076,U001129,I00139,click,2025-07-06T16:06:00,,S0000015
IX00000077,U000304,I00215,click,2024-08-16T20:07:00,,S0000015
IX00000078,U000595,I00107,view,2025-05-28T17:25:00,,S0000015
IX00000079,U000745,I00284,add_to_cart,2025-11-09T08:09:00,,S0000015
IX00000080,U000339,I00439,view,2024-05-23T15:13:00,,S0000016
IX00000081,U001159,I00567,click,2025-11-06T04:59:00,,S0000016
IX00000082,U000990,I00546,click,2024-02-11T07:28:00,,S0000016
IX00000083,U000474,I00035,view,2025-01-13T07:59:00,,S0000016
IX00000084,U000423,I00286,view,2025-01-04T13:14:00,,S0000016
IX00000085,U000931,I00511,view,2024-02-10T22:08:00,,S0000017
IX00000086,U001067,I00343,view,2024-10-07T08:59:00,,S0000017
IX00000087,U001167,I00111,view,2025-10-31T12:55:00,,S0000017
IX00000088,U000159,I00284,view,2025-01-20T07:36:00,,S0000017
IX00000089,U000722,I00487,click,2024-12-19T16:37:00,,S0000017
IX00000090,U000013,I00284,view,2024-05-22T15:00:00,,S0000018
IX00000091,U000157,I00284,view,2024-10-14T07:13:00,,S0000018
IX00000092,U000322,I00215,view,2024-05-01T22:33:00,,S0000018
IX00000093,U000676,I00410,view,2025-05-08T23:02:00,,S0000018
IX00000094,U000431,I00317,view,2025-10-24T14:01:00,,S0000018
IX00000095,U000088,I00094,view,2025-08-29T05:29:00,,S0000019
IX00000096,U001049,I00021,view,2025-08-09T05:00:00,,S0000019
IX00000097,U000528,I00537,view,2025-06-13T13:50:00,,S0000019
IX00000098,U001154,I00350,purchase,2025-11-08T09:40:00,,S0000019
IX00000099,U000443,I00250,view,2025-04-27T16:26:00,,S0000019
IX00000100,U000841,I00322,click,2025-08-19T06:12:00,,S0000020
IX00000101,U001046,I00139,purchase,2025-12-03T11:41:00,,S0000020
IX00000102,U000140,I00135,view,2025-01-29T04:30:00,,S0000020
IX00000103,U000414,I00297,view,2025-05-31T23:21:00,,S0000020
IX00000104,U000306,I00322,purchase,2024-06-30T16:14:00,,S0000020
IX00000105,U000079,I00511,click,2025-06-28T17:10:00,,S0000021
IX00000106,U000190,I00264,view,2024-05-13T20:35:00,,S0000021
IX00000107,U000002,I00524,view,2025-11-25T22:09:00,,S0000021
IX00000108,U000861,I00215,view,2024-02-14T23:48:00,,S0000021
IX00000109,U000469,I00545,view,2025-05-08T13:00:00,,S0000021
IX00000110,U001179,I00075,view,2024-05-17T08:41:00,,S0000022
IX00000111,U000476,I00533,view,2024-03-26T09:40:00,,S0000022
IX00000112,U001113,I00247,click,2024-07-12T00:11:00,,S0000022
IX00000113,U000014,I00305,view,2024-04-30T17:44:00,,S0000022
IX00000114,U000420,I00393,view,2024-11-19T13:57:00,,S0000022
IX00000115,U000316,I00249,view,2025-08-22T08:39:00,,S0000023
IX00000116,U001097,I00249,view,2025-01-09T20:53:00,,S0000023
IX00000117,U000813,I00438,click,2025-02-27T18:50:00,,S0000023
IX00000118,U000988,I00111,view,2025-07-26T18:56:00,,S0000023
IX00000119,U000628,I00305,add_to_cart,2025-02-11T04:42:00,,S0000023
IX00000120,U000243,I00437,purchase,2025-04-02T23:52:00,,S0000024
IX00000121,U000205,I00120,add_to_cart,2025-02-14T11:33:00,,S0000024
IX00000122,U000106,I00111,add_to_cart,2025-10-13T00:10:00,,S0000024
IX00000123,U000297,I00260,view,2025-09-06T14:51:00,,S0000024
IX00000124,U000538,I00120,view,2024-03-22T20:47:00,,S0000024
IX00000125,U000787,I00541,click,2025-02-14T20:57:00,,S0000025
IX00000126,U000586,I00408,purchase,2025-09-03T01:57:00,,S0000025
IX00000127,U000358,I00350,view,2025-03-25T00:21:00,,S0000025
IX00000128,U001061,I00159,view,2024-02-04T20:27:00,,S0000025
IX00000129,U000474,I00322,view,2025-11-21T01:13:00,,S0000025
IX00000130,U000000,I00580,click,2024-03-29T09:25:00,,S0000026
IX00000131,U000723,I00369,view,2025-02-19T20:00:00,,S0000026
IX00000132,U000031,I00422,view,2024-03-11T03:04:00,,S0000026
IX00000133,U001145,I00535,purchase,2024-12-22T11:51:00,,S0000026
IX00000134,U000566,I00127,purchase,2024-07-18T15:31:00,,S0000026
IX00000135,U001177,I00010,view,2024-06-28T13:53:00,,S0000027
IX00000136,U001144,I00053,purchase,2024-10-28T11:36:00,,S0000027
IX00000137,U001051,I00572,view,2025-07-04T19:37:00,,S0000027
IX00000138,U000906,I00572,click,2025-07-30T16:30:00,,S0000027
IX00000139,U000695,I00572,view,2025-04-14T23:15:00,,S0000027
IX00000140,U000056,I00264,view,2024-09-21T02:18:00,,S0000028
IX00000141,U000451,I00377,view,2024-08-23T10:46:00,,S0000028
IX00000142,U000723,I00284,add_to_cart,2024-01-10T23:55:00,,S0000028
IX00000143,U000508,I00162,click,2025-02-12T22:59:00,,S0000028
IX00000144,U000700,I00062,view,2024-07-01T16:15:00,,S0000028
IX00000145,U000447,I00524,purchase,2024-10-02T06:14:00,,S0000029
IX00000146,U000389,I00277,click,2024-07-23T08:00:00,,S0000029
IX00000147,U000543,I00120,add_to_cart,2024-07-26T08:31:00,,S0000029
IX00000148,U000729,I00107,purchase,2024-04-19T04:05:00,,S0000029
IX00000149,U001008,I00322,add_to_cart,2025-07-08T01:26:00,,S0000029
IX00000150,U000760,I00330,add_to_cart,2025-05-19T19:36:00,,S0000030
IX00000151,U001005,I00113,view,2025-06-07T09:33:00,,S0000030
IX00000152,U001181,I00094,view,2025-06-22T14:26:00,,S0000030
IX00000153,U001107,I00021,add_to_cart,2024-12-21T13:26:00,,S0000030
IX00000154,U000357,I00256,view,2024-05-03T23:50:00,,S0000030
IX00000155,U000646,I00396,view,2024-01-13T23:00:00,,S0000031
IX00000156,U001189,I00078,add_to_cart,2025-01-05T20:54:00,,S0000031
IX00000157,U000383,I00301,view,2024-08-30T09:11:00,,S0000031
IX00000158,U000702,I00215,view,2025-05-25T14:28:00,,S0000031
IX00000159,U000762,I00215,view,2025-02-14T09:32:00,,S0000031
IX00000160,U001170,I00101,view,2025-08-12T23:24:00,,S0000032
IX00000161,U000204,I00410,view,2024-08-29T18:57:00,,S0000032
IX00000162,U000780,I00116,add_to_cart,2024-06-02T16:08:00,,S0000032
IX00000163,U000361,I00249,view,2024-05-17T21:31:00,,S0000032
IX00000164,U000646,I00452,view,2024-11-03T08:33:00,,S0000032
IX00000165,U001162,I00022,view,2024-04-11T23:34:00,,S0000033
IX00000166,U000441,I00487,view,2025-05-02T21:29:00,,S0000033
IX00000167,U000685,I00139,view,2025-01-03T19:07:00,,S0000033
IX00000168,U000527,I00189,view,2025-02-25T04:08:00,,S0000033
IX00000169,U000407,I00305,view,2025-10-27T22:09:00,,S0000033
IX00000170,U000582,I00206,view,2025-11-20T17:25:00,,S0000034
IX00000171,U000915,I00521,view,2025-01-25T20:56:00,,S0000034
IX00000172,U000296,I00509,view,2025-10-17T11:30:00,,S0000034
IX00000173,U001170,I00238,view,2024-03-14T02:42:00,,S0000034
IX00000174,U000467,I00186,click,2025-10-30T09:56:00,,S0000034
IX00000175,U000809,I00148,click,2025-03-31T12:23:00,,S0000035
IX00000176,U001066,I00572,view,2025-02-27T05:42:00,,S0000035
IX00000177,U000047,I00087,view,2024-08-28T22:35:00,,S0000035
IX00000178,U000163,I00120,view,2025-02-10T03:30:00,,S0000035
IX00000179,U000969,I00301,view,2024-01-27T13:33:00,,S0000035
IX00000180,U000170,I00078,view,2025-09-24T05:18:00,,S0000036
IX00000181,U000798,I00186,view,2024-09-10T09:41:00,,S0000036
IX00000182,U000258,I00102,view,2024-06-23T00:58:00,,S0000036
IX00000183,U000730,I00509,view,2024-11-29T16:15:00,,S0000036
IX00000184,U001107,I00541,view,2025-07-15T15:11:00,,S0000036
IX00000185,U001104,I00111,click,2025-09-03T15:35:00,,S0000037
IX00000186,U001155,I00250,view,2025-10-17T21:49:00,,S0000037
IX00000187,U000711,I00264,view,2024-08-20T03:03:00,,S0000037
IX00000188,U000749,I00249,view,2024-06-08T10:21:00,,S0000037
IX00000189,U001071,I00487,view,2024-05-19T11:44:00,,S0000037
IX00000190,U001095,I00010,view,2025-05-18T16:17:00,,S0000038
IX00000191,U000881,I00473,click,2025-09-03T07:53:00,,S0000038
IX00000192,U001122,I00219,view,2025-02-25T19:08:00,,S0000038
IX00000193,U000511,I00111,add_to_cart,2025-10-23T13:18:00,,S0000038
IX00000194,U000451,I00139,view,2025-03-08T21:20:00,,S0000038
IX00000195,U000556,I00156,view,2025-06-28T09:10:00,,S0000039
IX00000196,U000140,I00113,click,2024-10-23T03:46:00,,S0000039
IX00000197,U000927,I00148,view,2025-09-29T16:47:00,,S0000039
IX00000198,U000039,I00107,view,2025-07-01T00:45:00,,S0000039
IX00000199,U000209,I00156,click,2024-05-08T14:57:00,,S0000039
IX00000200,U000476,I00072,view,2024-01-16T16:50:00,,S0000040
IX00000201,U000860,I00186,view,2025-05-25T12:40:00,,S0000040
IX00000202,U000064,I00189,view,2024-05-29T01:54:00,,S0000040
IX00000203,U000803,I00051,view,2025-04-26T06:11:00,,S0000040
IX00000204,U000512,I00487,rate,2024-01-13T04:09:00,5,S0000040
IX00000205,U000788,I00452,click,2025-03-29T08:26:00,,S0000041
IX00000206,U000068,I00116,click,2024-04-06T17:47:00,,S0000041
IX00000207,U000426,I00263,purchase,2025-11-28T10:39:00,,S0000041
IX00000208,U000324,I00333,view,2024-02-13T18:45:00,,S0000041
IX00000209,U000518,I00264,view,2024-11-01T06:46:00,,S0000041
IX00000210,U000106,I00509,view,2024-08-11T03:51:00,,S0000042
IX00000211,U000889,I00189,view,2024-06-20T09:25:00,,S0000042
IX00000212,U000810,I00453,view,2024-01-10T01:26:00,,S0000042
IX00000213,U000973,I00394,click,2024-06-07T12:40:00,,S0000042
IX00000214,U000509,I00107,click,2024-04-03T23:24:00,,S0000042
IX00000215,U000122,I00028,click,2025-10-22T05:15:00,,S0000043
IX00000216,U000219,I00089,rate,2024-08-26T10:48:00,5,S0000043
IX00000217,U000711,I00487,view,2025-03-25T06:35:00,,S0000043
IX00000218,U000773,I00213,add_to_cart,2024-05-17T08:33:00,,S0000043
IX00000219,U000993,I00401,view,2025-07-26T10:03:00,,S0000043
IX00000220,U001003,I00116,view,2024-07-10T18:33:00,,S0000044
IX00000221,U000959,I00150,view,2025-09-05T18:55:00,,S0000044
IX00000222,U001087,I00107,view,2024-10-29T08:59:00,,S0000044
IX00000223,U000929,I00001,view,2025-10-15T17:16:00,,S0000044
IX00000224,U000379,I00511,click,2025-09-26T12:25:00,,S0000044
IX00000225,U000489,I00189,purchase,2024-03-05T22:28:00,,S0000045
IX00000226,U000793,I00116,click,2025-11-30T16:58:00,,S0000045
IX00000227,U000315,I00322,click,2024-11-26T13:59:00,,S0000045
IX00000228,U000226,I00072,view,2025-11-05T02:16:00,,S0000045
IX00000229,U000265,I00111,view,2024-02-02T06:53:00,,S0000045
IX00000230,U000392,I00078,add_to_cart,2025-08-07T21:54:00,,S0000046
IX00000231,U001003,I00297,view,2025-12-19T20:08:00,,S0000046
IX00000232,U000750,I00120,purchase,2024-03-13T00:26:00,,S0000046
IX00000233,U000427,I00355,add_to_cart,2024-03-22T15:58:00,,S0000046
IX00000234,U000124,I00215,click,2025-03-01T12:35:00,,S0000046
IX00000235,U000119,I00487,view,2024-09-29T18:03:00,,S0000047
IX00000236,U000144,I00492,purchase,2024-03-20T07:22:00,,S0000047
IX00000237,U000198,I00078,view,2024-08-24T18:08:00,,S0000047
IX00000238,U000395,I00297,click,2024-09-11T19:27:00,,S0000047
IX00000239,U000366,I00301,click,2025-07-25T14:10:00,,S0000047
IX00000240,U001180,I00213,click,2025-04-14T23:58:00,,S0000048
IX00000241,U000213,I00111,view,2024-07-03T18:46:00,,S0000048
IX00000242,U000691,I00355,view,2025-06-30T20:28:00,,S0000048
IX00000243,U000721,I00524,add_to_cart,2025-07-17T11:04:00,,S0000048
IX00000244,U000844,I00452,click,2025-03-16T11:02:00,,S0000048
IX00000245,U001153,I00301,purchase,2025-01-19T18:46:00,,S0000049
IX00000246,U000520,I00215,purchase,2025-04-08T15:16:00,,S0000049
IX00000247,U000000,I00410,view,2024-10-18T20:20:00,,S0000049
IX00000248,U000276,I00586,view,2024-11-05T00:13:00,,S0000049
IX00000249,U000454,I00120,click,2024-11-18T00:44:00,,S0000049
IX00000250,U000565,I00535,view,2025-06-07T18:59:00,,S0000050
IX00000251,U001170,I00107,view,2024-02-08T15:42:00,,S0000050
IX00000252,U000283,I00139,view,2025-08-19T08:31:00,,S0000050
IX00000253,U000615,I00072,purchase,2025-02-13T19:25:00,,S0000050
IX00000254,U000158,I00410,view,2025-05-09T05:54:00,,S0000050
IX00000255,U001180,I00487,click,2024-04-07T20:19:00,,S0000051
IX00000256,U000076,I00410,view,2025-08-13T13:01:00,,S0000051
IX00000257,U000114,I00535,add_to_cart,2024-12-08T11:52:00,,S0000051
IX00000258,U000889,I00249,click,2024-05-03T07:44:00,,S0000051
IX00000259,U000023,I00344,view,2025-10-09T13:03:00,,S0000051
IX00000260,U001073,I00022,view,2025-07-06T19:16:00,,S0000052
IX00000261,U001028,I00401,click,2024-06-05T01:43:00,,S0000052
IX00000262,U000804,I00576,view,2025-09-01T19:38:00,,S0000052
IX00000263,U000454,I00250,view,2025-02-07T05:03:00,,S0000052
IX00000264,U000169,I00264,view,2024-02-20T18:42:00,,S0000052
IX00000265,U000174,I00223,view,2025-03-20T23:49:00,,S0000053
IX00000266,U000276,I00264,view,2024-07-21T16:39:00,,S0000053
IX00000267,U001170,I00116,view,2025-09-22T17:53:00,,S0000053
IX00000268,U000146,I00142,click,2025-03-16T11:02:00,,S0000053
IX00000269,U001179,I00072,view,2025-11-18T14:07:00,,S0000053
IX00000270,U000713,I00116,click,2024-12-18T20:16:00,,S0000054
IX00000271,U000624,I00111,add_to_cart,2024-12-24T21:02:00,,S0000054
IX00000272,U000905,I00330,purchase,2025-03-27T01:31:00,,S0000054
IX00000273,U000478,I00116,click,2025-01-17T05:19:00,,S0000054
IX00000274,U000175,I00078,purchase,2024-02-25T08:17:00,,S0000054
IX00000275,U000302,I00509,view,2024-10-21T00:28:00,,S0000055
IX00000276,U000227,I00186,view,2025-04-27T00:46:00,,S0000055
IX00000277,U001101,I00120,click,2025-07-13T17:51:00,,S0000055
IX00000278,U001123,I00264,click,2024-05-24T23:43:00,,S0000055
IX00000279,U000037,I00219,view,2025-11-10T17:58:00,,S0000055
IX00000280,U000348,I00029,click,2024-07-24T23:46:00,,S0000056
IX00000281,U000108,I00256,view,2024-01-09T02:16:00,,S0000056
IX00000282,U000555,I00358,add_to_cart,2025-11-06T12:17:00,,S0000056
IX00000283,U000039,I00167,view,2025-10-26T13:11:00,,S0000056
IX00000284,U000779,I00284,view,2024-04-11T10:46:00,,S0000056
IX00000285,U001088,I00072,purchase,2024-07-22T17:05:00,,S0000057
IX00000286,U001148,I00541,view,2024-01-23T01:21:00,,S0000057
IX00000287,U001084,I00186,click,2025-05-16T13:25:00,,S0000057
IX00000288,U000037,I00192,click,2024-12-26T12:07:00,,S0000057
IX00000289,U000483,I00590,add_to_cart,2025-05-28T09:24:00,,S0000057
IX00000290,U000527,I00511,purchase,2024-01-31T18:56:00,,S0000058
IX00000291,U000461,I00107,view,2025-02-06T22:25:00,,S0000058
IX00000292,U000782,I00293,add_to_cart,2025-11-25T20:54:00,,S0000058
IX00000293,U000465,I00249,view,2025-08-09T05:12:00,,S0000058
IX00000294,U000639,I00533,view,2024-12-03T15:19:00,,S0000058
IX00000295,U000423,I00355,click,2025-08-17T18:28:00,,S0000059
IX00000296,U000414,I00509,click,2024-11-12T23:30:00,,S0000059
IX00000297,U001072,I00533,click,2025-03-16T04:57:00,,S0000059
IX00000298,U001156,I00535,view,2024-11-21T02:18:00,,S0000059
IX00000299,U000242,I00115,click,2024-05-29T01:00:00,,S0000059
IX00000300,U000847,I00572,click,2024-11-06T15:07:00,,S0000060
IX00000301,U000560,I00107,view,2024-07-11T03:38:00,,S0000060
IX00000302,U000053,I00452,view,2025-09-18T21:03:00,,S0000060
IX00000303,U001161,I00322,view,2025-09-02T07:55:00,,S0000060
IX00000304,U000053,I00215,view,2025-12-05T16:16:00,,S0000060
IX00000305,U000960,I00409,add_to_cart,2025-01-17T06:16:00,,S0000061
IX00000306,U001006,I00264,view,2024-06-16T06:35:00,,S0000061
IX00000307,U000836,I00452,purchase,2024-01-16T09:12:00,,S0000061
IX00000308,U000455,I00435,view,2024-07-26T06:58:00,,S0000061
IX00000309,U000899,I00509,view,2025-05-16T23:28:00,,S0000061
IX00000310,U000937,I00516,click,2025-03-13T13:49:00,,S0000062
IX00000311,U000779,I00410,purchase,2025-02-07T20:52:00,,S0000062
IX00000312,U001171,I00322,add_to_cart,2025-06-21T21:53:00,,S0000062
IX00000313,U000078,I00292,add_to_cart,2025-04-07T15:35:00,,S0000062
IX00000314,U000086,I00511,view,2024-09-08T17:42:00,,S0000062
IX00000315,U000080,I00301,purchase,2025-06-12T21:31:00,,S0000063
IX00000316,U000388,I00167,click,2025-02-11T10:23:00,,S0000063
IX00000317,U000585,I00256,click,2025-03-08T10:02:00,,S0000063
IX00000318,U000111,I00398,add_to_cart,2024-05-25T15:49:00,,S0000063
IX00000319,U000925,I00072,view,2025-05-27T03:51:00,,S0000063
IX00000320,U001198,I00543,view,2025-12-13T18:39:00,,S0000064
IX00000321,U000846,I00189,view,2024-01-26T06:06:00,,S0000064
IX00000322,U000413,I00511,view,2024-04-02T08:32:00,,S0000064
IX00000323,U000335,I00410,view,2024-05-06T03:06:00,,S0000064
IX00000324,U000920,I00344,click,2024-03-28T17:52:00,,S0000064
IX00000325,U001047,I00322,view,2024-06-12T12:55:00,,S0000065
IX00000326,U000089,I00452,add_to_cart,2024-12-09T19:18:00,,S0000065
IX00000327,U000307,I00111,click,2024-05-28T06:06:00,,S0000065
IX00000328,U000105,I00249,view,2024-11-12T15:13:00,,S0000065
IX00000329,U000370,I00078,view,2024-05-14T06:55:00,,S0000065
IX00000330,U000518,I00010,view,2025-05-24T17:01:00,,S0000066
IX00000331,U000011,I00322,view,2025-05-20T08:07:00,,S0000066
IX00000332,U000974,I00253,click,2025-03-28T02:42:00,,S0000066
IX00000333,U000013,I00136,click,2025-07-14T09:29:00,,S0000066
IX00000334,U001141,I00487,view,2024-07-31T01:40:00,,S0000066
IX00000335,U000112,I00355,add_to_cart,2024-02-07T04:57:00,,S0000067
IX00000336,U001183,I00492,purchase,2024-11-01T11:18:00,,S0000067
IX00000337,U000100,I00078,click,2024-07-01T05:30:00,,S0000067
IX00000338,U001172,I00453,click,2024-06-30T15:32:00,,S0000067
IX00000339,U000737,I00541,view,2024-04-05T10:12:00,,S0000067
IX00000340,U000776,I00487,view,2025-03-13T18:47:00,,S0000068
IX00000341,U000964,I00107,view,2025-12-12T09:22:00,,S0000068
IX00000342,U000847,I00297,click,2025-12-13T07:08:00,,S0000068
IX00000343,U000223,I00305,rate,2025-10-06T18:03:00,4,S0000068
IX00000344,U000588,I00249,view,2024-11-20T08:51:00,,S0000068
IX00000345,U000724,I00541,view,2025-09-21T19:12:00,,S0000069
IX00000346,U001019,I00264,view,2024-07-03T20:48:00,,S0000069
IX00000347,U000594,I00580,view,2024-01-02T04:02:00,,S0000069
IX00000348,U000241,I00423,rate,2024-07-31T21:00:00,4,S0000069
IX00000349,U000683,I00194,view,2025-10-14T07:14:00,,S0000069
IX00000350,U000412,I00398,view,2024-09-17T02:18:00,,S0000070
IX00000351,U001037,I00301,click,2024-01-07T03:53:00,,S0000070
IX00000352,U000699,I00222,purchase,2025-08-05T21:01:00,,S0000070
IX00000353,U000359,I00116,view,2024-12-12T22:57:00,,S0000070
IX00000354,U000971,I00471,view,2025-10-23T04:38:00,,S0000070
IX00000355,U000943,I00524,view,2025-07-03T11:26:00,,S0000071
IX00000356,U000847,I00541,view,2024-02-27T17:47:00,,S0000071
IX00000357,U000646,I00301,view,2024-01-20T07:06:00,,S0000071
IX00000358,U000679,I00476,purchase,2024-12-28T02:15:00,,S0000071
IX00000359,U000574,I00492,click,2024-12-13T12:48:00,,S0000071
IX00000360,U000339,I00305,view,2025-02-02T06:23:00,,S0000072
IX00000361,U000631,I00401,view,2024-11-18T01:04:00,,S0000072
IX00000362,U000177,I00273,view,2024-08-31T12:41:00,,S0000072
IX00000363,U000619,I00120,view,2024-11-05T05:58:00,,S0000072
IX00000364,U000076,I00452,view,2024-04-04T15:08:00,,S0000072
IX00000365,U000988,I00529,view,2024-06-06T06:29:00,,S0000073
IX00000366,U000990,I00411,click,2025-06-20T10:35:00,,S0000073
IX00000367,U000293,I00452,click,2024-04-10T17:37:00,,S0000073
IX00000368,U000271,I00120,view,2024-02-07T15:40:00,,S0000073
IX00000369,U001069,I00078,click,2024-11-14T01:30:00,,S0000073
IX00000370,U000178,I00189,view,2024-02-17T03:31:00,,S0000074
IX00000371,U000639,I00018,add_to_cart,2024-11-15T21:48:00,,S0000074
IX00000372,U000657,I00116,view,2024-10-20T09:26:00,,S0000074
IX00000373,U000903,I00369,view,2024-10-06T05:05:00,,S0000074
IX00000374,U000234,I00012,view,2025-09-29T19:06:00,,S0000074
IX00000375,U000423,I00297,view,2025-07-16T10:52:00,,S0000075
IX00000376,U000580,I00305,view,2024-06-24T02:25:00,,S0000075
IX00000377,U000693,I00297,view,2024-02-21T04:26:00,,S0000075
IX00000378,U000103,I00078,view,2024-02-25T02:56:00,,S0000075
IX00000379,U000366,I00401,add_to_cart,2025-08-29T21:29:00,,S0000075
IX00000380,U000913,I00322,add_to_cart,2024-11-15T11:20:00,,S0000076
IX00000381,U001092,I00068,view,2025-04-21T19:22:00,,S0000076
IX00000382,U000959,I00074,click,2024-11-13T23:21:00,,S0000076
IX00000383,U000953,I00258,add_to_cart,2024-08-17T04:54:00,,S0000076
IX00000384,U000528,I00535,click,2025-02-05T06:15:00,,S0000076
IX00000385,U000676,I00453,view,2024-11-28T15:28:00,,S0000077
IX00000386,U000133,I00264,view,2024-12-25T16:20:00,,S0000077
IX00000387,U000349,I00156,view,2024-12-22T20:37:00,,S0000077
IX00000388,U001040,I00078,view,2024-04-19T11:07:00,,S0000077
IX00000389,U000145,I00460,view,2025-06-29T15:44:00,,S0000077
