session_id,customer_id,started_at,duration_s,device,referrer,pages_viewed
S00000052,C000211,2025-07-25T02:33:00,1505,mobile_android,paid_search,38
S00000053,C000379,2025-01-08T23:29:00,2078,mobile_ios,organic,12
S00000054,C000180,2024-07-23T13:34:00,2008,desktop,email,4
S00000055,C001334,2024-09-01T08:20:00,2077,mobile_android,organic,31
S00000056,C001067,2025-04-10T13:46:00,69,mobile_ios,direct,32
S00000057,C000634,2025-09-04T00:29:00,1948,mobile_ios,email,17
S00000058,C001086,2025-06-05T02:25:00,30,mobile_android,organic,16
S00000059,C001203,2024-03-31T14:14:00,1984,desktop,paid_search,34
S00000060,C001045,2025-11-16T08:18:00,1834,mobile_ios,direct,35
S00000061,C000673,2025-10-11T19:21:00,929,desktop,direct,10
S00000062,C000376,2025-04-03T22:03:00,2132,desktop,social,28
S00000063,C001171,2024-12-22T08:31:00,2446,mobile_android,paid_search,27
S00000064,C001208,2025-06-12T05:04:00,1010,mobile_ios,organic,29
S00000065,C000342,2025-10-09T10:15:00,3350,tablet,organic,6
S00000066,C000697,2025-03-18T22:56:00,3420,mobile_ios,paid_search,4
S00000067,C001423,2025-02-02T17:00:00,2278,desktop,organic,37
S00000068,C000572,2025-01-29T16:46:00,168,desktop,social,5
S00000069,C000308,2025-07-28T00:01:00,1060,mobile_android,email,7
S00000070,C000324,2024-02-08T19:10:00,840,tablet,paid_search,19
S00000071,C001123,2025-04-02T10:29:00,2078,mobile_android,email,12
S00000072,C000438,2025-04-04T18:35:00,2663,tablet,organic,31
S00000073,C000453,2024-05-13T15:25:00,1895,tablet,organic,27
S00000074,C000385,2025-09-17T22:11:00,2827,mobile_android,organic,16
S00000075,C000834,2025-07-24T19:25:00,3536,desktop,email,24
S00000076,C000971,2024-10-25T02:32:00,2874,tablet,direct,36
S00000077,C000514,2025-10-21T07:29:00,1715,tablet,paid_search,16
S00000078,C000974,2025-01-15T14:12:00,3214,desktop,direct,18
S00000079,C000724,2024-08-14T11:41:00,1988,tablet,email,32
S00000080,C001074,2025-01-05T19:12:00,580,mobile_android,social,33
S00000081,C000478,2025-02-27T02:30:00,2209,mobile_ios,email,19
S00000082,C000639,2025-07-08T19:18:00,695,mobile_ios,direct,25
S00000083,C000076,2024-10-15T04:27:00,1115,mobile_android,social,1
S00000084,C000373,2024-12-25T13:18:00,2048,desktop,paid_search,8
S00000085,C000981,2025-06-13T05:54:00,2545,mobile_android,direct,36
S00000086,C001119,2024-03-14T13:35:00,3123,desktop,organic,15
S00000087,C000897,2025-02-24T07:06:00,3144,mobile_ios,direct,19
S00000088,C000005,2024-08-16T17:20:00,3371,desktop,social,14
S00000089,C001005,2024-09-18T03:04:00,2575,mobile_ios,email,40
S00000090,C001124,2024-01-10T17:29:00,3009,tablet,social,21
S00000091,C000246,2024-01-16T17:53:00,1707,desktop,direct,38
S00000092,C000947,2024-01-04T16:55:00,3488,mobile_ios,direct,14
S00000093,C001389,2024-03-22T08:01:00,538,mobile_android,organic,11
S00000094,C001384,2025-04-27T12:31:00,2423,mobile_android,paid_search,23
S00000095,C000087,2024-03-08T13:46:00,1544,tablet,social,24
S00000096,C000654,2025-05-01T10:17:00,2150,tablet,paid_search,10
S00000097,C001137,2024-03-13T00:22:00,2822,tablet,organic,22
S00000098,C000807,2024-03-01T11:30:00,1303,tablet,paid_search,34
S00000099,C001468,2025-10-02T09:41:00,489,desktop,direct,26
S00000100,C000013,2024-01-30T14:43:00,1569,desktop,email,5
S00000101,C001351,2024-12-17T06:36:00,339,tablet,email,26
S00000102,C000042,2025-12-10T05:36:00,1216,mobile_android,social,25
S00000103,C001230,2025-04-19T23:58:00,2431,desktop,direct,6
S00000104,C000600,2024-08-06T07:51:00,3124,tablet,direct,29
S00000105,C000672,2025-04-14T11:20:00,3484,mobile_android,social,26
S00000106,C000034,2025-01-28T18:59:00,795,mobile_android,paid_search,27
S00000107,C000043,2025-01-16T06:38:00,979,mobile_ios,social,39
S00000108,C001442,2025-08-25T14:51:00,2425,tablet,email,4
S00000109,C001119,2025-12-02T03:56:00,2119,tablet,social,34
S00000110,C001138,2024-02-07T09:50:00,457,mobile_android,organic,13
S00000111,C000858,2024-08-16T10:26:00,2171,tablet,social,22
S00000112,C000215,2024-05-21T13:19:00,510,mobile_ios,email,40
S00000113,C000115,2024-06-17T05:23:00,2697,mobile_ios,organic,39
S00000114,C001324,2025-12-05T09:56:00,1220,mobile_ios,organic,11
S00000115,C000173,2024-07-21T09:22:00,3496,mobile_android,social,29
S00000116,C001242,2025-09-17T20:21:00,140,desktop,email,12
S00000117,C000701,2025-02-14T13:13:00,3216,tablet,paid_search,16
S00000118,C000117,2025-01-25T21:52:00,874,tablet,social,29
S00000119,C001079,2024-07-21T15:05:00,2873,desktop,social,7
S00000120,C000107,2024-10-18T03:22:00,982,tablet,email,30
S00000121,C000989,2025-01-23T16:36:00,2498,mobile_android,direct,13
S00000122,C000263,2024-05-15T09:15:00,3579,tablet,email,14
S00000123,C000958,2024-03-22T20:06:00,1742,tablet,social,22
S00000124,C000924,2025-08-19T04:02:00,3328,mobile_ios,organic,39
S00000125,C000626,2024-12-08T09:00:00,2759,desktop,paid_search,35
S00000126,C001443,2025-10-01T23:28:00,1152,mobile_android,paid_search,36
S00000127,C001082,2024-05-21T12:52:00,3457,tablet,email,37
S00000128,C000571,2024-05-03T08:02:00,2780,tablet,email,32
S00000129,C000552,2025-07-13T17:46:00,1761,tablet,direct,1
S00000130,C001063,2025-05-05T17:41:00,1751,mobile_ios,direct,6
S00000131,C000608,2024-05-05T18:24:00,2852,mobile_ios,social,38
S00000132,C000078,2025-09-30T09:44:00,2513,desktop,social,19
S00000133,C000533,2025-04-22T09:31:00,777,tablet,organic,29
S00000134,C000282,2025-01-05T10:14:00,1131,mobile_android,paid_search,31
S00000135,C001148,2025-02-25T02:10:00,264,mobile_android,social,30
S00000136,C001329,2024-06-16T18:45:00,1961,mobile_android,organic,30
S00000137,C000650,2024-04-02T20:56:00,1021,desktop,social,25
S00000138,C000014,2024-09-01T15:19:00,2251,mobile_ios,direct,2
S00000139,C000467,2024-11-17T14:07:00,2158,desktop,organic,36
S00000140,C001335,2025-10-24T12:42:00,2206,tablet,email,30
S00000141,C000000,2025-04-25T12:13:00,135,desktop,paid_search,37
S00000142,C001339,2025-11-19T21:18:00,897,mobile_ios,social,26
S00000143,C000925,2025-09-18T16:19:00,2847,mobile_android,email,16
S00000144,C000188,2025-05-05T16:27:00,289,tablet,paid_search,27
S00000145,C000832,2025-03-26T18:00:00,1699,desktop,email,15
S00000146,C000463,2025-07-29T13:23:00,865,desktop,paid_search,1
S00000147,C000405,2024-05-25T13:59:00,546,mobile_android,direct,34
S00000148,C000862,2024-11-06T00:55:00,2513,mobile_android,email,26
S00000149,C000750,2024-10-10T19:21:00,2007,tablet,organic,21
S00000150,C000460,2025-02-07T10:08:00,1116,mobile_ios,social,37
S00000151,C001330,2024-12-10T09:48:00,437,mobile_ios,organic,30
S00000152,C000778,2024-06-23T01:39:00,2230,desktop,organic,12
S00000153,C001087,2025-09-22T08:31:00,1058,mobile_ios,direct,1
S00000154,C000048,2025-11-21T20:06:00,682,desktop,social,16
S00000155,C000789,2024-11-25T00:53:00,1198,mobile_android,email,34
S00000156,C000873,2025-09-25T14:17:00,2467,desktop,organic,6
S00000157,C001231,2024-06-22T07:27:00,785,desktop,social,9
S00000158,C000615,2024-01-15T09:17:00,518,mobile_android,email,21
S00000159,C001052,2025-12-07T09:06:00,2862,mobile_ios,email,28
S00000160,C001059,2025-03-03T03:10:00,2684,mobile_ios,email,29
S00000161,C001491,2025-08-07T06:44:00,3309,mobile_ios,paid_search,16
S00000162,C000673,2025-03-22T21:00:00,1287,mobile_ios,organic,6
S00000163,C001129,2024-10-01T08:45:00,3277,mobile_android,email,26
S00000164,C000774,2024-03-26T14:08:00,3573,mobile_ios,direct,24
S00000165,C000108,2025-02-28T09:36:00,282,desktop,paid_search,5
S00000166,C001094,2024-11-10T02:09:00,2621,tablet,paid_search,12
S00000167,C001307,2025-02-21T12:34:00,3399,mobile_ios,paid_search,17
S00000168,C001299,2025-03-14T12:36:00,2886,mobile_android,social,28
S00000169,C000130,2024-05-10T22:29:00,3292,desktop,paid_search,35
S00000170,C000574,2025-02-25T15:31:00,2781,mobile_ios,email,17
S00000171,C000619,2025-11-22T01:46:00,326,mobile_ios,direct,39
S00000172,C000234,2024-11-03T23:11:00,875,mobile_android,paid_search,22
S00000173,C001311,2024-09-25T06:08:00,1419,tablet,paid_search,35
S00000174,C001368,2025-03-08T22:04:00,24,tablet,direct,6
S00000175,C000508,2025-06-02T09:41:00,2929,tablet,social,5
S00000176,C000501,2024-09-20T01:28:00,1912,mobile_android,direct,6
S00000177,C001030,2024-11-20T00:37:00,1548,mobile_ios,social,4
S00000178,C000708,2025-11-18T10:45:00,3164,mobile_android,email,23
S00000179,C000159,2024-05-14T02:01:00,1659,desktop,email,7
S00000180,C000196,2025-10-01T11:54:00,3174,tablet,paid_search,29
S00000181,C000318,2024-12-02T08:08:00,3253,desktop,paid_search,8
S00000182,C000646,2025-07-01T09:18:00,1565,mobile_android,paid_search,39
S00000183,C000512,2024-10-04T04:21:00,2255,desktop,social,17
S00000184,C001377,2024-01-18T02:05:00,2408,mobile_ios,paid_search,7
S00000185,C001177,2024-12-29T01:37:00,1949,tablet,paid_search,1
S00000186,C000700,2025-12-01T06:26:00,2398,desktop,organic,16
S00000187,C000556,2025-10-11T21:35:00,871,mobile_ios,direct,11
S00000188,C000795,2024-05-25T00:51:00,1370,mobile_android,social,23
S00000189,C001484,2025-01-26T05:02:00,2083,mobile_android,direct,32
S00000190,C000760,2025-01-28T11:46:00,3018,tablet,direct,15
S00000191,C000469,2025-08-31T08:17:00,2482,mobile_android,paid_search,5
S00000192,C000060,2025-08-15T23:16:00,1453,desktop,direct,33
S00000193,C001041,2024-12-27T15:11:00,2255,tablet,direct,12
S00000194,C001084,2024-01-16T23:10:00,3482,mobile_android,email,12
S00000195,C001486,2025-06-05T08:16:00,2488,tablet,direct,13
S00000196,C000024,2025-11-29T02:25:00,2312,tablet,social,38
S00000197,C001393,2025-06-19T09:58:00,1670,desktop,email,19
S00000198,C000699,2025-03-05T05:22:00,2756,mobile_android,email,30
S00000199,C000007,2024-08-02T05:20:00,1847,desktop,direct,33
S00000200,C000915,2024-12-31T17:45:00,1866,mobile_android,organic,38
S00000201,C001130,2024-02-02T22:40:00,556,desktop,email,22
S00000202,C001357,2024-05-09T01:33:00,1047,tablet,direct,4
S00000203,C000947,2024-10-21T07:06:00,2394,desktop,email,17
S00000204,C001091,2024-09-14T16:23:00,2042,mobile_ios,direct,11
S00000205,C000084,2024-06-01T10:10:00,2591,mobile_android,social,1
S00000206,C001396,2025-05-04T08:02:00,2617,desktop,direct,31
S00000207,C000165,2025-07-08T22:16:00,2571,desktop,organic,5
S00000208,C000370,2024-02-29T06:41:00,3116,tablet,email,12
S00000209,C001250,2025-11-28T22:09:00,309,tablet,direct,17
S00000210,C000256,2025-03-19T02:49:00,2630,tablet,email,27
S00000211,C000562,2025-05-10T02:15:00,134,tablet,direct,15
S00000212,C000709,2024-07-06T15:07:00,1414,tablet,social,9
S00000213,C001435,2024-01-26T18:33:00,1030,desktop,paid_search,1
S00000214,C001334,2024-01-06T02:34:00,3031,tablet,organic,34
S00000215,C000453,2024-07-01T03:05:00,1368,mobile_ios,direct,3
S00000216,C000121,2025-05-19T10:04:00,299,tablet,email,18
S00000217,C000431,2024-02-08T18:46:00,1562,desktop,social,10
S00000218,C001139,2025-11-10T08:01:00,409,tablet,email,9
S00000219,C000434,2024-05-13T10:15:00,1579,mobile_android,social,31
S00000220,C000236,2024-02-09T12:59:00,212,tablet,organic,28
S00000221,C000930,2025-10-21T08:05:00,2027,tablet,direct,35
S00000222,C001266,2024-06-17T02:28:00,1062,desktop,direct,8
S00000223,C000080,2024-03-02T15:40:00,674,desktop,direct,17
S00000224,C000964,2025-09-27T18:11:00,2964,desktop,organic,7
S00000225,C000934,2024-03-03T11:46:00,3158,tablet,social,30
S00000226,C001306,2025-11-25T14:37:00,3046,mobile_android,direct,24
S00000227,C000930,2025-01-08T15:21:00,2442,desktop,paid_search,15
S00000228,C000816,2025-10-05T15:44:00,3581,mobile_android,direct,18
S00000229,C001001,2025-09-09T02:50:00,3428,desktop,direct,40
S00000230,C001466,2025-09-25T19:55:00,3449,mobile_ios,email,34
S00000231,C000578,2025-07-06T13:43:00,1303,mobile_ios,paid_search,3
S00000232,C001101,2024-01-05T09:51:00,1308,mobile_ios,paid_search,17
S00000233,C000434,2024-01-26T09:00:00,2521,mobile_ios,organic,30
S00000234,C000066,2024-01-03T00:48:00,645,tablet,email,23
S00000235,C000691,2024-09-25T15:14:00,1437,mobile_ios,direct,28
S00000236,C000595,2024-04-01T14:29:00,878,mobile_ios,social,6
S00000237,C000213,2025-04-27T04:48:00,3374,mobile_ios,organic,13
S00000238,C000714,2025-06-03T05:35:00,382,tablet,paid_search,25
S00000239,C000461,2025-12-02T08:28:00,3560,desktop,direct,4
S00000240,C000528,2025-07-20T21:45:00,2627,desktop,direct,33
S00000241,C001461,2025-03-15T23:42:00,338,desktop,paid_search,24
S00000242,C001028,2024-01-22T10:19:00,1262,mobile_ios,organic,26
S00000243,C000652,2025-11-28T15:51:00,1996,mobile_ios,organic,7
S00000244,C000273,2025-03-31T03:39:00,2891,tablet,direct,7
S00000245,C000001,2025-08-01T18:07:00,403,tablet,email,28
S00000246,C000477,2025-01-11T04:23:00,364,mobile_android,paid_search,27
S00000247,C000991,2024-07-25T22:18:00,1864,desktop,organic,1
S00000248,C000925,2024-01-07T13:28:00,2202,tablet,direct,28
S00000249,C000561,2025-03-05T10:29:00,428,mobile_android,email,16
S00000250,C000716,2025-09-13T10:36:00,1766,mobile_android,paid_search,30
S00000251,C000597,2024-07-09T11:42:00,721,mobile_android,email,29
S00000252,C000777,2025-07-05T19:53:00,3433,tablet,email,15
S00000253,C001393,2025-08-09T12:45:00,377,tablet,email,3
S00000254,C000459,2024-06-13T22:48:00,2680,mobile_ios,email,2
S00000255,C000204,2024-09-28T23:05:00,2982,desktop,direct,23
S00000256,C001459,2025-10-23T02:06:00,2795,tablet,organic,23
S00000257,C001319,2024-04-09T21:11:00,2513,tablet,paid_search,10
S00000258,C000457,2024-02-29T22:12:00,1272,tablet,email,10
S00000259,C000689,2025-08-28T14:17:00,323,desktop,social,39
S00000260,C001444,2024-12-18T23:26:00,2819,mobile_ios,paid_search,33
S00000261,C000596,2024-04-03T13:25:00,529,desktop,email,12
S00000262,C001121,2025-06-05T02:58:00,1329,tablet,email,4
S00000263,C001355,2024-07-16T00:54:00,2373,desktop,social,6
S00000264,C001308,2025-06-18T07:21:00,1092,mobile_ios,social,37
S00000265,C000419,2025-02-21T08:31:00,1332,tablet,direct,4
S00000266,C001418,2025-06-18T17:01:00,1829,mobile_ios,social,32
S00000267,C000296,2024-10-28T23:56:00,1082,desktop,email,30
S00000268,C000793,2024-05-27T03:13:00,3294,tablet,social,16
S00000269,C000042,2025-09-24T13:53:00,1186,tablet,social,9
S00000270,C001234,2025-10-17T06:51:00,588,tablet,direct,16
S00000271,C001493,2024-11-05T17:50:00,1993,desktop,direct,12
S00000272,C001195,2024-12-09T03:33:00,1737,mobile_ios,direct,38
S00000273,C000082,2025-07-23T10:39:00,1442,mobile_android,direct,10
S00000274,C000773,2024-05-23T14:57:00,1967,mobile_ios,paid_search,7
S00000275,C000383,2024-12-11T17:47:00,408,mobile_ios,direct,30
S00000276,C000805,2025-02-16T07:36:00,1104,desktop,social,7
S00000277,C001275,2025-03-28T08:36:00,1085,tablet,email,22
S00000278,C001464,2024-07-05T04:24:00,1257,tablet,direct,26
S00000279,C001056,2024-12-05T03:55:00,1703,mobile_ios,organic,31
S00000280,C000759,2024-03-14T15:44:00,442,mobile_ios,social,10
S00000281,C001288,2025-07-20T10:08:00,1357,mobile_android,email,2
S00000282,C001457,2025-10-03T11:09:00,44,desktop,social,29
S00000283,C000532,2025-11-30T11:21:00,2919,desktop,email,27
S00000284,C000859,2024-11-15T18:15:00,1897,mobile_android,organic,15
S00000285,C001117,2025-11-13T08:31:00,502,mobile_ios,email,28
S00000286,C000095,2025-05-22T18:17:00,3181,mobile_ios,paid_search,23
S00000287,C001242,2024-10-20T18:27:00,737,mobile_ios,social,24
S00000288,C000259,2024-10-20T18:28:00,2213,desktop,email,1
S00000289,C001358,2024-07-12T12:26:00,3320,mobile_ios,social,7
S00000290,C000997,2025-03-10T23:53:00,3413,mobile_android,social,27
S00000291,C000218,2024-09-25T03:22:00,437,desktop,organic,7
S00000292,C000599,2025-11-20T15:47:00,3555,mobile_ios,direct,6
S00000293,C001288,2024-06-22T19:41:00,2089,mobile_ios,social,34
S00000294,C000512,2024-10-15T19:06:00,2923,desktop,organic,9
S00000295,C000939,2025-05-01T02:30:00,569,tablet,email,7
S00000296,C000658,2025-01-29T22:05:00,2070,mobile_android,paid_search,39
S00000297,C000009,2025-08-27T03:16:00,2804,tablet,social,18
S00000298,C000998,2025-08-06T08:36:00,72,desktop,paid_search,2
S00000299,C001101,2025-09-01T05:27:00,697,desktop,email,17
S00000300,C000198,2025-09-11T21:05:00,3143,tablet,social,36
S00000301,C000605,2024-02-03T05:16:00,2859,mobile_ios,email,27
S00000302,C000515,2024-11-25T04:19:00,3379,tablet,social,36
S00000303,C000927,2024-05-12T17:54:00,73,mobile_ios,paid_search,36
S00000304,C000788,2024-11-23T14:19:00,745,tablet,organic,1
S00000305,C001135,2024-01-09T12:27:00,2389,desktop,organic,34
S00000306,C001129,2025-06-07T00:27:00,43,mobile_ios,organic,1
S00000307,C000680,2024-07-18T15:34:00,2218,mobile_ios,direct,26
S00000308,C001072,2025-05-05T21:29:00,671,mobile_ios,organic,13
S00000309,C000020,2025-04-10T02:24:00,266,desktop,email,37
S00000310,C000348,2024-06-19T06:59:00,3591,tablet,email,26
S00000311,C000342,2024-04-25T12:30:00,1117,desktop,social,5
S00000312,C001184,2025-07-28T02:01:00,1839,desktop,paid_search,30
S00000313,C000274,2025-09-26T22:38:00,697,mobile_android,paid_search,36
S00000314,C000837,2024-08-09T11:20:00,2218,mobile_ios,social,38
S00000315,C000343,2025-12-21T13:19:00,835,tablet,social,40
S00000316,C000663,2024-12-25T20:47:00,377,desktop,direct,10
S00000317,C000470,2024-09-02T12:16:00,1502,mobile_android,email,10
S00000318,C001055,2025-10-27T07:32:00,1090,tablet,paid_search,34
S00000319,C001247,2024-04-09T14:50:00,349,desktop,social,21
S00000320,C001136,2025-05-14T12:28:00,866,desktop,paid_search,38
S00000321,C000838,2024-03-29T09:16:00,2962,desktop,direct,20
S00000322,C000132,2025-03-14T15:58:00,2334,mobile_android,paid_search,3
S00000323,C000383,2025-04-20T20:20:00,3212,desktop,social,22
S00000324,C000539,2025-07-08T02:45:00,3331,desktop,direct,40
S00000325,C000247,2025-04-29T21:22:00,677,mobile_android,social,34
S00000326,C000616,2025-07-02T16:30:00,1122,mobile_android,organic,3
S00000327,C001180,2024-06-27T14:21:00,768,tablet,social,35
S00000328,C000045,2025-05-20T22:25:00,774,desktop,organic,36
S00000329,C001306,2025-11-08T00:46:00,1471,tablet,organic,6
S00000330,C001167,2025-05-24T09:44:00,3554,mobile_ios,social,29
S00000331,C000658,2025-12-03T05:00:00,2708,mobile_ios,social,23
S00000332,C001428,2025-01-17T21:43:00,1742,desktop,direct,18
S00000333,C000869,2025-09-06T00:27:00,20,desktop,social,36
S00000334,C000227,2024-05-10T07:12:00,1572,mobile_ios,social,12
S00000335,C000600,2025-09-27T22:02:00,2814,mobile_android,email,3
S00000336,C000009,2024-05-18T11:46:00,490,desktop,email,29
S00000337,C000284,2024-11-11T23:42:00,1118,tablet,organic,40
S00000338,C000736,2025-04-29T23:31:00,1999,mobile_ios,social,35
S00000339,C000981,2025-05-11T09:51:00,1891,tablet,paid_search,4
S00000340,C001405,2025-06-28T07:15:00,1380,tablet,paid_search,35
S00000341,C001235,2024-01-31T21:05:00,402,desktop,organic,27
S00000342,C000511,2024-09-30T21:52:00,1899,mobile_android,organic,33
S00000343,C000029,2024-09-27T04:35:00,201,mobile_ios,paid_search,13
S00000344,C000031,2024-11-19T19:14:00,1967,mobile_android,email,16
S00000345,C000439,2025-03-19T18:57:00,3187,mobile_ios,direct,31
S00000346,C000774,2024-12-18T15:20:00,1489,mobile_android,social,9
S00000347,C000679,2025-06-05T14:07:00,2298,mobile_android,email,35
S00000348,C000737,2024-01-26T14:32:00,3136,tablet,social,33
S00000349,C000976,2025-06-21T05:43:00,2709,tablet,social,33
S00000350,C000968,2024-04-24T07:39:00,199,desktop,organic,12
S00000351,C000703,2024-12-26T08:54:00,1674,mobile_android,social,16
S00000352,C000488,2024-10-19T15:10:00,2561,mobile_android,paid_search,38
S00000353,C000543,2025-10-12T21:23:00,2098,mobile_android,social,30
S00000354,C000012,2024-10-20T04:02:00,2838,mobile_android,social,3
S00000355,C000673,2025-11-13T13:09:00,883,mobile_ios,email,3
S00000356,C000875,2025-09-09T11:25:00,2672,desktop,organic,34
S00000357,C000213,2025-08-27T13:26:00,2670,desktop,paid_search,35
S00000358,C001320,2025-03-27T12:25:00,2697,mobile_android,social,37
S00000359,C000572,2024-06-16T06:04:00,2369,desktop,paid_search,16
S00000360,C001326,2024-06-04T09:51:00,328,tablet,email,6
S00000361,C000165,2025-06-16T00:11:00,3540,desktop,email,29
S00000362,C001427,2025-04-16T10:03:00,3365,mobile_ios,email,4
S00000363,C000540,2025-07-12T21:17:00,25,mobile_android,direct,10
S00000364,C000898,2024-04-11T08:48:00,929,tablet,direct,18
S00000365,C000963,2024-09-15T20:37:00,856,mobile_android,email,25
S00000366,C001427,2025-06-13T18:12:00,2400,mobile_ios,direct,27
S00000367,C000166,2025-02-04T21:34:00,3035,desktop,direct,31
S00000368,C000940,2025-01-27T10:28:00,2993,mobile_android,direct,4
S00000369,C001105,2024-10-26T06:27:00,347,tablet,social,11
S00000370,C001486,2024-03-09T23:41:00,1846,desktop,organic,21
S00000371,C000396,2025-11-10T02:12:00,564,tablet,organic,24
S00000372,C000652,2025-12-14T16:43:00,1240,desktop,paid_search,35
S00000373,C000618,2024-12-10T21:12:00,1519,tablet,email,37
S00000374,C000657,2025-01-18T19:17:00,3582,desktop,paid_search,27
S00000375,C001056,2024-04-02T07:45:00,157,tablet,direct,16
S00000376,C000923,2024-08-02T03:43:00,3215,mobile_ios,social,38
S00000377,C000628,2024-04-21T05:50:00,3032,mobile_ios,social,21
S00000378,C001193,2024-06-25T06:53:00,737,mobile_android,direct,4
S00000379,C000370,2024-10-22T11:51:00,1322,tablet,organic,7
S00000380,C000784,2024-07-02T23:52:00,1920,mobile_android,paid_search,22
S00000381,C000210,2024-10-16T20:22:00,529,tablet,paid_search,9
S00000382,C001015,2025-12-18T01:52:00,645,mobile_ios,organic,30
S00000383,C000525,2025-10-11T01:08:00,546,desktop,organic,25
S00000384,C000005,2025-10-08T16:32:00,1603,mobile_ios,social,18
S00000385,C000425,2024-07-31T09:33:00,2799,tablet,organic,12
S00000386,C001330,2025-01-19T07:06:00,1021,mobile_android,email,18
S00000387,C000151,2025-02-17T21:47:00,749,tablet,organic,11
S00000388,C000677,2024-06-03T03:13:00,1489,desktop,social,15
S00000389,C000718,2024-04-07T16:12:00,550,mobile_ios,email,33
S00000390,C000749,2024-02-14T08:59:00,3005,mobile_android,direct,24
S00000391,C000347,2025-02-01T01:45:00,2609,mobile_ios,paid_search,22
S00000392,C000588,2025-11-01T16:03:00,644,mobile_ios,social,3
S00000393,C000654,2025-01-03T08:05:00,201,tablet,organic,8
S00000394,C000462,2025-09-19T00:34:00,32,mobile_android,social,34
S00000395,C001237,2024-05-18T16:09:00,1505,mobile_ios,paid_search,18
S00000396,C000105,2025-06-02T16:47:00,161,mobile_android,email,36
S00000397,C001361,2024-08-18T07:28:00,1384,mobile_android,social,26
S00000398,C000491,2025-06-05T12:39:00,2431,desktop,direct,10
S00000399,C001139,2024-09-23T07:09:00,2523,tablet,social,34
