order_id,shipment_id,placed_at,customer_ref,quantity,priority
ORD0000040,SH0003590,2024-07-31T00:00:00,CUST01501,64,freight
ORD0000041,SH0000568,2025-11-04T00:00:00,CUST06679,55,expedited
ORD0000042,SH0000599,2025-06-14T00:00:00,CUST02326,40,expedited
ORD0000043,SH0002206,2024-12-07T00:00:00,CUST04323,76,standard
ORD0000044,SH0002951,2025-05-25T00:00:00,CUST02105,38,standard
ORD0000045,SH0000161,2024-02-05T00:00:00,CUST02314,3,freight
ORD0000046,SH0001602,2025-11-11T00:00:00,CUST00813,12,expedited
ORD0000047,SH0002730,2025-01-21T00:00:00,CUST00286,41,standard
ORD0000048,SH0002413,2024-01-25T00:00:00,CUST09166,99,expedited
ORD0000049,SH0001146,2024-08-01T00:00:00,CUST02346,64,standard
ORD0000050,SH0001641,2025-10-29T00:00:00,CUST03324,94,standard
ORD0000051,SH0003600,2025-10-22T00:00:00,CUST03246,31,expedited
ORD0000052,SH0003680,2025-03-06T00:00:00,CUST03556,49,freight
ORD0000053,SH0002919,2024-07-24T00:00:00,CUST00210,12,standard
ORD0000054,SH0000232,2024-02-08T00:00:00,CUST09655,7,freight
ORD0000055,SH0003361,2025-09-01T00:00:00,CUST09644,31,standard
ORD0000056,SH0002265,2025-03-30T00:00:00,CUST08536,15,freight
ORD0000057,SH0000014,2024-11-13T00:00:00,CUST08711,6,standard
ORD0000058,SH0002157,2025-10-21T00:00:00,CUST03778,43,freight
ORD0000059,SH0003898,2024-10-12T00:00:00,CUST01056,43,freight
ORD0000060,SH0003607,2025-09-06T00:00:00,CUST02944,80,freight
ORD0000061,SH0000207,2025-09-28T00:00:00,CUST03770,7,expedited
ORD0000062,SH0002892,2024-08-13T00:00:00,CUST07266,54,expedited
ORD0000063,SH0000362,2024-09-05T00:00:00,CUST06840,51,standard
ORD0000064,SH0002186,2025-10-20T00:00:00,CUST00405,66,standard
ORD0000065,SH0000574,2024-05-20T00:00:00,CUST07030,67,standard
ORD0000066,SH0001428,2025-08-08T00:00:00,CUST04965,100,expedited
ORD0000067,SH0003662,2025-12-15T00:00:00,CUST04201,99,expedited
ORD0000068,SH0003468,2024-01-04T00:00:00,CUST05693,92,standard
ORD0000069,SH0000301,2024-03-31T00:00:00,CUST00595,45,freight
ORD0000070,SH0002246,2024-08-05T00:00:00,CUST04006,2,freight
ORD0000071,SH0001772,2025-05-24T00:00:00,CUST03322,78,expedited
ORD0000072,SH0002534,2025-05-30T00:00:00,CUST04754,18,standard
ORD0000073,SH0002284,2025-08-21T00:00:00,CUST02044,96,expedited
ORD0000074,SH0000573,2025-11-14T00:00:00,CUST06917,78,standard
ORD0000075,SH0001943,2025-02-21T00:00:00,CUST05832,83,standard
ORD0000076,SH0003102,2024-04-16T00:00:00,CUST06644,63,expedited
ORD0000077,SH0001961,2025-12-07T00:00:00,CUST01610,66,expedited
ORD0000078,SH0001960,2025-02-11T00:00:00,CUST02052,85,freight
ORD0000079,SH0002222,2024-08-09T00:00:00,CUST06703,31,expedited
ORD0000080,SH0002231,2025-06-22T00:00:00,CUST05857,4,standard
ORD0000081,SH0002984,2025-11-01T00:00:00,CUST06496,100,freight
ORD0000082,SH0000661,2025-04-15T00:00:00,CUST06578,23,freight
ORD0000083,SH0000650,2024-07-07T00:00:00,CUST06965,56,expedited
ORD0000084,SH0001818,2025-06-11T00:00:00,CUST08435,2,freight
ORD0000085,SH0002864,2025-12-05T00:00:00,CUST03190,58,freight
ORD0000086,SH0001626,2024-03-28T00:00:00,CUST06474,42,standard
ORD0000087,SH0000767,2025-07-17T00:00:00,CUST09866,87,freight
ORD0000088,SH0002202,2025-09-15T00:00:00,CUST00011,60,expedited
ORD0000089,SH0002378,2025-08-20T00:00:00,CUST03962,41,freight
ORD0000090,SH0002193,2024-04-18T00:00:00,CUST02221,42,expedited
ORD0000091,SH0002549,2025-05-03T00:00:00,CUST07868,60,standard
ORD0000092,SH0001776,2024-11-26T00:00:00,CUST09883,64,expedited
ORD0000093,SH0001213,2024-01-26T00:00:00,CUST08995,25,freight
ORD0000094,SH0001512,2025-06-28T00:00:00,CUST00403,41,standard
ORD0000095,SH0003785,2024-03-15T00:00:00,CUST04766,16,expedited
ORD0000096,SH0000447,2025-01-31T00:00:00,CUST05401,62,freight
ORD0000097,SH0002386,2024-07-11T00:00:00,CUST09366,9,standard
ORD0000098,SH0002417,2024-12-26T00:00:00,CUST06495,45,standard
ORD0000099,SH0002188,2025-06-29T00:00:00,CUST07231,11,freight
ORD0000100,SH0000467,2024-11-11T00:00:00,CUST08611,55,standard
ORD0000101,SH0000229,2025-10-29T00:00:00,CUST05915,100,standard
ORD0000102,SH0000017,2025-09-09T00:00:00,CUST03008,34,expedited
ORD0000103,SH0002434,2025-12-21T00:00:00,CUST02964,67,expedited
ORD0000104,SH0002298,2025-05-18T00:00:00,CUST05727,82,expedited
ORD0000105,SH0000203,2025-10-03T00:00:00,CUST03816,83,standard
ORD0000106,SH0003170,2024-05-24T00:00:00,CUST09660,26,standard
ORD0000107,SH0000505,2024-04-14T00:00:00,CUST02456,44,freight
ORD0000108,SH0000054,2024-03-06T00:00:00,CUST08309,51,freight
ORD0000109,SH0000147,2025-05-20T00:00:00,CUST04509,22,freight
ORD0000110,SH0003089,2024-01-24T00:00:00,CUST06578,85,freight
ORD0000111,SH0002460,2024-12-18T00:00:00,CUST02445,24,standard
ORD0000112,SH0000930,2024-07-12T00:00:00,CUST06685,78,standard
ORD0000113,SH0003362,2024-05-01T00:00:00,CUST09188,3,expedited
ORD0000114,SH0000688,2024-02-12T00:00:00,CUST00223,64,freight
ORD0000115,SH0000801,2024-01-21T00:00:00,CUST02229,34,standard
ORD0000116,SH0003705,2025-01-29T00:00:00,CUST06938,18,expedited
ORD0000117,SH0002874,2025-08-10T00:00:00,CUST07392,47,standard
ORD0000118,SH0001923,2025-10-12T00:00:00,CUST04723,4,freight
ORD0000119,SH0003313,2024-11-30T00:00:00,CUST08107,89,standard
ORD0000120,SH0003304,2025-10-19T00:00:00,CUST04539,40,expedited
ORD0000121,SH0003874,2025-11-10T00:00:00,CUST09790,48,expedited
ORD0000122,SH0002778,2025-05-22T00:00:00,CUST04189,7,freight
ORD0000123,SH0001558,2025-07-09T00:00:00,CUST08076,27,expedited
ORD0000124,SH0002645,2024-11-07T00:00:00,CUST04147,48,standard
ORD0000125,SH0001041,2024-12-04T00:00:00,CUST01074,36,expedited
ORD0000126,SH0002684,2025-03-15T00:00:00,CUST08994,69,freight
ORD0000127,SH0003369,2025-03-04T00:00:00,CUST05798,66,standard
ORD0000128,SH0002728,2024-10-01T00:00:00,CUST08301,26,expedited
ORD0000129,SH0002300,2024-08-22T00:00:00,CUST05786,84,freight
ORD0000130,SH0003869,2025-03-15T00:00:00,CUST02621,54,expedited
ORD0000131,SH0000884,2025-03-20T00:00:00,CUST06416,39,freight
ORD0000132,SH0001282,2024-09-03T00:00:00,CUST02527,4,freight
ORD0000133,SH0003323,2025-04-16T00:00:00,CUST07745,47,freight
ORD0000134,SH0001929,2024-01-05T00:00:00,CUST08321,78,expedited
ORD0000135,SH0000998,2024-06-11T00:00:00,CUST06693,99,freight
ORD0000136,SH0002297,2024-08-11T00:00:00,CUST04125,39,standard
ORD0000137,SH0003568,2025-03-16T00:00:00,CUST09782,89,expedited
ORD0000138,SH0003549,2025-07-02T00:00:00,CUST00518,46,standard
ORD0000139,SH0003125,2024-11-08T00:00:00,CUST05228,8,expedited
ORD0000140,SH0002952,2024-02-02T00:00:00,CUST09762,23,freight
ORD0000141,SH0001102,2025-02-14T00:00:00,CUST07593,22,freight
ORD0000142,SH0003369,2024-01-09T00:00:00,CUST00837,59,standard
ORD0000143,SH0001148,2024-06-25T00:00:00,CUST09887,98,standard
ORD0000144,SH0002323,2024-02-16T00:00:00,CUST07658,58,standard
ORD0000145,SH0003746,2025-05-16T00:00:00,CUST02324,76,expedited
ORD0000146,SH0001104,2025-10-12T00:00:00,CUST05658,86,freight
ORD0000147,SH0003971,2025-12-03T00:00:00,CUST00078,31,freight
ORD0000148,SH0003790,2024-01-30T00:00:00,CUST01039,54,standard
ORD0000149,SH0001372,2025-07-26T00:00:00,CUST05753,15,expedited
ORD0000150,SH0000157,2025-11-23T00:00:00,CUST02173,89,freight
ORD0000151,SH0002605,2024-01-05T00:00:00,CUST04913,44,standard
ORD0000152,SH0002694,2024-07-08T00:00:00,CUST09213,13,expedited
ORD0000153,SH0000859,2024-12-17T00:00:00,CUST03718,9,standard
ORD0000154,SH0003722,2025-04-20T00:00:00,CUST09775,34,freight
ORD0000155,SH0002812,2025-11-19T00:00:00,CUST03809,29,expedited
ORD0000156,SH0002541,2024-12-04T00:00:00,CUST03081,11,freight
ORD0000157,SH0002969,2024-04-12T00:00:00,CUST01829,19,standard
ORD0000158,SH0002690,2024-12-27T00:00:00,CUST09438,4,expedited
ORD0000159,SH0003559,2024-06-19T00:00:00,CUST06571,46,standard
ORD0000160,SH0003624,2025-04-16T00:00:00,CUST04328,20,freight
ORD0000161,SH0001778,2025-11-22T00:00:00,CUST06230,24,freight
ORD0000162,SH0001408,2024-04-23T00:00:00,CUST00837,68,expedited
ORD0000163,SH0002031,2024-08-16T00:00:00,CUST08659,25,freight
ORD0000164,SH0002928,2025-11-24T00:00:00,CUST05735,45,expedited
ORD0000165,SH0001401,2024-03-23T00:00:00,CUST04252,81,expedited
ORD0000166,SH0000167,2025-09-10T00:00:00,CUST01324,75,standard
ORD0000167,SH0001327,2024-04-06T00:00:00,CUST01284,62,freight
ORD0000168,SH0003694,2024-11-07T00:00:00,CUST05636,46,expedited
ORD0000169,SH0003095,2025-12-01T00:00:00,CUST03603,89,expedited
ORD0000170,SH0002861,2024-02-02T00:00:00,CUST06846,18,expedited
ORD0000171,SH0000763,2025-07-10T00:00:00,CUST01763,54,expedited
ORD0000172,SH0000818,2024-09-10T00:00:00,CUST07246,33,expedited
ORD0000173,SH0000391,2024-05-23T00:00:00,CUST01423,86,expedited
ORD0000174,SH0003401,2025-05-02T00:00:00,CUST06136,55,freight
ORD0000175,SH0002956,2024-06-19T00:00:00,CUST06969,33,standard
ORD0000176,SH0000711,2025-03-10T00:00:00,CUST00470,66,expedited
ORD0000177,SH0002153,2024-05-01T00:00:00,CUST08374,84,expedited
ORD0000178,SH0001606,2024-06-12T00:00:00,CUST00231,76,freight
ORD0000179,SH0003821,2024-03-01T00:00:00,CUST06945,74,standard
ORD0000180,SH0000343,2025-09-09T00:00:00,CUST07069,31,standard
ORD0000181,SH0003236,2024-08-28T00:00:00,CUST09792,44,standard
ORD0000182,SH0001785,2025-05-20T00:00:00,CUST00971,40,expedited
ORD0000183,SH0000133,2024-12-03T00:00:00,CUST09669,70,standard
ORD0000184,SH0003758,2024-05-08T00:00:00,CUST06861,57,standard
ORD0000185,SH0002771,2024-04-12T00:00:00,CUST02838,98,standard
ORD0000186,SH0001148,2024-08-22T00:00:00,CUST08700,72,freight
ORD0000187,SH0003920,2024-02-09T00:00:00,CUST05055,65,expedited
ORD0000188,SH0003482,2024-04-02T00:00:00,CUST04780,84,standard
ORD0000189,SH0000234,2024-05-28T00:00:00,CUST06050,78,standard
ORD0000190,SH0001641,2024-10-31T00:00:00,CUST06000,6,freight
ORD0000191,SH0000592,2025-07-20T00:00:00,CUST02878,93,standard
ORD0000192,SH0000438,2024-09-09T00:00:00,CUST04183,17,expedited
ORD0000193,SH0001481,2025-01-14T00:00:00,CUST07234,49,expedited
ORD0000194,SH0000756,2025-09-12T00:00:00,CUST09988,9,standard
ORD0000195,SH0002942,2024-12-05T00:00:00,CUST04797,76,standard
ORD0000196,SH0003065,2024-10-19T00:00:00,CUST04239,25,standard
ORD0000197,SH0002135,2024-07-26T00:00:00,CUST04901,32,expedited
ORD0000198,SH0003616,2025-09-21T00:00:00,CUST06103,29,standard
ORD0000199,SH0003631,2024-02-09T00:00:00,CUST02568,86,freight
ORD0000200,SH0001981,2025-05-10T00:00:00,CUST01944,87,freight
ORD0000201,SH0000439,2024-11-24T00:00:00,CUST00258,53,standard
ORD0000202,SH0002798,2025-08-21T00:00:00,CUST01879,87,expedited
ORD0000203,SH0002477,2024-05-09T00:00:00,CUST06386,44,standard
ORD0000204,SH0003726,2025-04-07T00:00:00,CUST03500,21,freight
ORD0000205,SH0000456,2025-03-13T00:00:00,CUST02314,88,freight
ORD0000206,SH0000341,2024-02-24T00:00:00,CUST08248,63,standard
ORD0000207,SH0003359,2025-09-25T00:00:00,CUST02549,21,standard
ORD0000208,SH0002431,2025-07-17T00:00:00,CUST04033,51,freight
ORD0000209,SH0003685,2024-03-18T00:00:00,CUST05279,57,standard
ORD0000210,SH0002782,2025-04-16T00:00:00,CUST07129,100,expedited
ORD0000211,SH0000466,2024-01-28T00:00:00,CUST05881,18,freight
ORD0000212,SH0002104,2025-11-29T00:00:00,CUST07392,63,standard
ORD0000213,SH0001810,2025-10-20T00:00:00,CUST04784,45,freight
ORD0000214,SH0003033,2025-09-25T00:00:00,CUST01326,48,standard
ORD0000215,SH0000231,2024-09-17T00:00:00,CUST04491,41,standard
ORD0000216,SH0000042,2024-06-30T00:00:00,CUST00096,17,freight
ORD0000217,SH0001545,2025-06-17T00:00:00,CUST03998,72,expedited
ORD0000218,SH0002273,2025-09-19T00:00:00,CUST00560,28,freight
ORD0000219,SH0003850,2024-11-13T00:00:00,CUST05672,8,standard
ORD0000220,SH0002434,2024-11-19T00:00:00,CUST08241,52,expedited
ORD0000221,SH0003118,2025-02-10T00:00:00,CUST00773,31,freight
ORD0000222,SH0003191,2024-02-18T00:00:00,CUST04459,2,freight
ORD0000223,SH0003198,2024-07-29T00:00:00,CUST04475,53,freight
ORD0000224,SH0002825,2025-04-15T00:00:00,CUST05701,39,freight
ORD0000225,SH0000281,2025-07-03T00:00:00,CUST02395,31,expedited
ORD0000226,SH0002218,2025-06-01T00:00:00,CUST01577,6,standard
ORD0000227,SH0003639,2024-09-06T00:00:00,CUST09002,86,standard
ORD0000228,SH0001828,2024-06-25T00:00:00,CUST01174,7,expedited
ORD0000229,SH0000410,2024-09-06T00:00:00,CUST04006,36,expedited
ORD0000230,SH0000246,2024-04-12T00:00:00,CUST08937,40,standard
ORD0000231,SH0000609,2024-01-03T00:00:00,CUST01614,31,freight
ORD0000232,SH0002693,2025-07-14T00:00:00,CUST02769,47,standard
ORD0000233,SH0000711,2024-02-02T00:00:00,CUST09014,95,standard
ORD0000234,SH0002806,2024-03-19T00:00:00,CUST06336,67,standard
ORD0000235,SH0002964,2025-10-14T00:00:00,CUST06735,29,expedited
ORD0000236,SH0003445,2024-01-10T00:00:00,CUST03892,69,freight
ORD0000237,SH0002771,2025-11-14T00:00:00,CUST01408,84,freight
ORD0000238,SH0001961,2024-09-08T00:00:00,CUST06232,77,standard
ORD0000239,SH0001908,2025-06-06T00:00:00,CUST09707,91,expedited
ORD0000240,SH0002654,2025-05-12T00:00:00,CUST07019,62,standard
ORD0000241,SH0000189,2024-02-13T00:00:00,CUST00379,46,standard
ORD0000242,SH0000330,2024-09-20T00:00:00,CUST01633,100,standard
ORD0000243,SH0003958,2025-04-30T00:00:00,CUST00144,59,standard
ORD0000244,SH0001776,2024-09-04T00:00:00,CUST04407,72,expedited
ORD0000245,SH0003569,2024-01-29T00:00:00,CUST08734,78,expedited
ORD0000246,SH0000426,2024-07-03T00:00:00,CUST03550,59,standard
ORD0000247,SH0002167,2025-01-15T00:00:00,CUST01325,98,standard
ORD0000248,SH0003613,2025-08-21T00:00:00,CUST01318,80,expedited
ORD0000249,SH0003270,2025-10-20T00:00:00,CUST04979,47,expedited
ORD0000250,SH0003828,2025-01-07T00:00:00,CUST06886,78,expedited
ORD0000251,SH0000580,2025-09-23T00:00:00,CUST06478,45,expedited
ORD0000252,SH0001595,2024-04-27T00:00:00,CUST09831,24,expedited
ORD0000253,SH0001752,2025-05-25T00:00:00,CUST01282,31,expedited
ORD0000254,SH0001827,2025-12-01T00:00:00,CUST01905,89,freight
ORD0000255,SH0002052,2025-05-27T00:00:00,CUST06803,97,standard
ORD0000256,SH0003467,2025-03-11T00:00:00,CUST03940,75,expedited
ORD0000257,SH0001641,2024-04-19T00:00:00,CUST02203,95,expedited
ORD0000258,SH0003133,2025-01-25T00:00:00,CUST07219,70,standard
ORD0000259,SH0003850,2024-01-26T00:00:00,CUST06099,47,expedited
ORD0000260,SH0000849,2025-04-14T00:00:00,CUST01612,26,freight
ORD0000261,SH0003465,2025-06-21T00:00:00,CUST07828,96,expedited
ORD0000262,SH0003371,2024-02-17T00:00:00,CUST02717,94,standard
ORD0000263,SH0000890,2025-12-04T00:00:00,CUST04729,86,expedited
ORD0000264,SH0003937,2024-03-11T00:00:00,CUST04946,39,expedited
ORD0000265,SH0003628,2025-01-25T00:00:00,CUST02882,64,expedited
ORD0000266,SH0000838,2024-08-11T00:00:00,CUST00013,38,freight
ORD0000267,SH0000452,2024-03-14T00:00:00,CUST07488,54,standard
ORD0000268,SH0002802,2024-11-01T00:00:00,CUST02852,81,freight
ORD0000269,SH0000418,2025-01-18T00:00:00,CUST03040,38,freight
ORD0000270,SH0000928,2024-04-25T00:00:00,CUST09846,51,freight
ORD0000271,SH0003019,2025-03-07T00:00:00,CUST03394,54,expedited
ORD0000272,SH0001962,2024-01-28T00:00:00,CUST04100,50,expedited
ORD0000273,SH0001544,2025-07-05T00:00:00,CUST09263,50,freight
ORD0000274,SH0002091,2025-05-09T00:00:00,CUST00357,28,expedited
ORD0000275,SH0002257,2025-07-26T00:00:00,CUST03790,1,standard
ORD0000276,SH0001139,2025-07-08T00:00:00,CUST03602,63,freight
ORD0000277,SH0002471,2025-10-18T00:00:00,CUST03732,52,freight
ORD0000278,SH0000929,2025-12-07T00:00:00,CUST01290,98,expedited
ORD0000279,SH0002361,2024-07-04T00:00:00,CUST02375,100,freight
ORD0000280,SH0003883,2025-08-31T00:00:00,CUST01861,85,freight
ORD0000281,SH0000686,2025-05-09T00:00:00,CUST00944,50,expedited
ORD0000282,SH0002450,2024-08-16T00:00:00,CUST04590,9,standard
ORD0000283,SH0003718,2024-09-27T00:00:00,CUST00817,49,freight
ORD0000284,SH0003836,2025-12-03T00:00:00,CUST02378,75,standard
ORD0000285,SH0000335,2025-07-10T00:00:00,CUST07400,22,standard
ORD0000286,SH0002103,2024-06-09T00:00:00,CUST04600,62,standard
ORD0000287,SH0002124,2024-07-16T00:00:00,CUST00334,12,freight
ORD0000288,SH0000467,2025-04-02T00:00:00,CUST09558,99,expedited
ORD0000289,SH0002670,2024-02-24T00:00:00,CUST07871,43,freight
ORD0000290,SH0001835,2025-06-22T00:00:00,CUST08530,84,expedited
ORD0000291,SH0003410,2025-08-13T00:00:00,CUST07816,37,freight
ORD0000292,SH0002516,2025-04-04T00:00:00,CUST09834,8,expedited
ORD0000293,SH0000660,2024-05-18T00:00:00,CUST01744,63,standard
ORD0000294,SH0000452,2024-10-12T00:00:00,CUST08950,53,expedited
ORD0000295,SH0001710,2024-12-30T00:00:00,CUST08466,95,standard
ORD0000296,SH0002264,2025-09-26T00:00:00,CUST08757,85,standard
ORD0000297,SH0003852,2024-01-10T00:00:00,CUST07088,10,expedited
ORD0000298,SH0000865,2025-10-09T00:00:00,CUST05134,53,standard
ORD0000299,SH0000387,2025-02-21T00:00:00,CUST03278,13,standard
ORD0000300,SH0002442,2025-04-17T00:00:00,CUST06005,46,expedited
ORD0000301,SH0003350,2024-07-01T00:00:00,CUST06789,14,expedited
ORD0000302,SH0002444,2024-11-08T00:00:00,CUST09974,53,standard
ORD0000303,SH0001998,2025-07-28T00:00:00,CUST08308,10,standard
ORD0000304,SH0002350,2024-08-04T00:00:00,CUST08610,89,freight
ORD0000305,SH0002416,2025-10-25T00:00:00,CUST09515,75,standard
ORD0000306,SH0001605,2025-06-27T00:00:00,CUST02731,90,standard
ORD0000307,SH0000466,2024-07-31T00:00:00,CUST00212,64,standard
ORD0000308,SH0001744,2025-05-20T00:00:00,CUST05702,25,freight
ORD0000309,SH0002849,2024-06-24T00:00:00,CUST01882,50,standard
ORD0000310,SH0003286,2025-12-08T00:00:00,CUST03186,54,standard
ORD0000311,SH0003286,2024-09-04T00:00:00,CUST01259,61,freight
ORD0000312,SH0003526,2025-06-23T00:00:00,CUST05397,35,freight
ORD0000313,SH0000150,2024-02-16T00:00:00,CUST05086,89,freight
ORD0000314,SH0003419,2024-02-27T00:00:00,CUST03975,61,freight
ORD0000315,SH0000669,2025-09-07T00:00:00,CUST05853,96,expedited
ORD0000316,SH0001521,2025-06-12T00:00:00,CUST05454,65,standard
ORD0000317,SH0001399,2025-12-12T00:00:00,CUST06899,31,freight
ORD0000318,SH0002448,2025-08-23T00:00:00,CUST08981,98,standard
ORD0000319,SH0000627,2025-05-08T00:00:00,CUST04562,94,standard
ORD0000320,SH0002472,2025-10-09T00:00:00,CUST02525,19,expedited
ORD0000321,SH0003183,2024-12-16T00:00:00,CUST01734,57,expedited
ORD0000322,SH0000285,2025-09-06T00:00:00,CUST03018,42,freight
ORD0000323,SH0003606,2024-03-09T00:00:00,CUST04162,64,expedited
ORD0000324,SH0003678,2024-07-02T00:00:00,CUST01741,91,standard
ORD0000325,SH0002894,2024-07-11T00:00:00,CUST06648,5,standard
ORD0000326,SH0002851,2025-07-09T00:00:00,CUST06474,30,freight
ORD0000327,SH0002450,2024-09-24T00:00:00,CUST05865,34,standard
ORD0000328,SH0003378,2024-07-31T00:00:00,CUST09090,33,expedited
ORD0000329,SH0000957,2024-04-06T00:00:00,CUST05143,50,standard
ORD0000330,SH0003178,2024-02-23T00:00:00,CUST09881,32,standard
ORD0000331,SH0003664,2025-04-26T00:00:00,CUST09794,52,freight
ORD0000332,SH0002709,2024-12-11T00:00:00,CUST00755,84,freight
ORD0000333,SH0001755,2025-12-13T00:00:00,CUST05011,47,freight
ORD0000334,SH0002205,2025-04-20T00:00:00,CUST02221,81,expedited
ORD0000335,SH0003746,2024-02-02T00:00:00,CUST09214,96,freight
ORD0000336,SH0002479,2024-06-29T00:00:00,CUST01763,59,expedited
ORD0000337,SH0002605,2024-07-11T00:00:00,CUST05384,84,standard
ORD0000338,SH0001714,2025-02-14T00:00:00,CUST08326,9,standard
ORD0000339,SH0003593,2024-07-30T00:00:00,CUST03535,80,expedited
ORD0000340,SH0000786,2025-03-15T00:00:00,CUST07419,4,expedited
ORD0000341,SH0002836,2024-05-19T00:00:00,CUST01982,62,freight
ORD0000342,SH0000927,2024-10-27T00:00:00,CUST00183,91,standard
ORD0000343,SH0001251,2024-05-15T00:00:00,CUST02812,83,standard
ORD0000344,SH0003010,2024-10-03T00:00:00,CUST01541,89,freight
ORD0000345,SH0002151,2024-08-23T00:00:00,CUST01004,53,freight
ORD0000346,SH0003737,2024-09-08T00:00:00,CUST03028,94,standard
ORD0000347,SH0001777,2024-11-16T00:00:00,CUST05055,2,standard
ORD0000348,SH0003651,2025-07-11T00:00:00,CUST01636,84,expedited
ORD0000349,SH0001188,2024-10-01T00:00:00,CUST02755,38,freight
ORD0000350,SH0003574,2024-10-04T00:00:00,CUST02544,86,freight
ORD0000351,SH0000126,2024-06-10T00:00:00,CUST04579,32,expedited
ORD0000352,SH0000029,2025-12-15T00:00:00,CUST09845,40,expedited
ORD0000353,SH0001684,2024-12-25T00:00:00,CUST01488,16,freight
ORD0000354,SH0003013,2025-06-11T00:00:00,CUST06976,85,standard
ORD0000355,SH0001377,2025-03-02T00:00:00,CUST04488,2,freight
ORD0000356,SH0003287,2025-08-12T00:00:00,CUST04669,14,expedited
ORD0000357,SH0002027,2024-12-25T00:00:00,CUST03152,80,freight
ORD0000358,SH0002539,2024-03-07T00:00:00,CUST03154,60,standard
ORD0000359,SH0001310,2024-11-14T00:00:00,CUST02199,39,expedited
ORD0000360,SH0000382,2025-12-01T00:00:00,CUST00914,66,standard
ORD0000361,SH0001579,2024-03-18T00:00:00,CUST01156,4,freight
ORD0000362,SH0000817,2024-11-21T00:00:00,CUST06280,41,freight
ORD0000363,SH0001094,2024-07-04T00:00:00,CUST09468,76,standard
ORD0000364,SH0000144,2025-10-11T00:00:00,CUST02859,31,expedited
ORD0000365,SH0001565,2025-01-25T00:00:00,CUST07090,75,freight
ORD0000366,SH0003836,2025-03-09T00:00:00,CUST09829,23,standard
ORD0000367,SH0002334,2024-12-21T00:00:00,CUST03829,30,freight
ORD0000368,SH0001571,2024-04-05T00:00:00,CUST09317,33,standard
ORD0000369,SH0003419,2024-03-07T00:00:00,CUST08876,97,standard
ORD0000370,SH0002493,2025-11-24T00:00:00,CUST00266,80,standard
ORD0000371,SH0003208,2024-11-08T00:00:00,CUST02077,36,freight
ORD0000372,SH0002584,2024-06-01T00:00:00,CUST04817,1,expedited
