shipment_id,product_id,warehouse_id,shipped_at,delivered_at,status,quantity,carrier
SH0000019,PR00348,WH007,2024-02-02T00:00:00,2024-02-13T00:00:00,delayed,901,UPS
SH0000020,PR00009,WH014,2024-11-17T00:00:00,2024-11-25T00:00:00,delivered,1671,Maersk
SH0000021,PR00256,WH019,2025-04-27T00:00:00,2025-06-13T00:00:00,in_transit,511,UPS
SH0000022,PR00265,WH006,2025-07-28T00:00:00,2025-08-04T00:00:00,lost,3919,USPS
SH0000023,PR00192,WH010,2024-06-26T00:00:00,2024-07-05T00:00:00,delayed,2805,USPS
SH0000024,PR00181,WH008,2025-09-16T00:00:00,2025-09-25T00:00:00,delivered,2020,DHL
SH0000025,PR00285,WH009,2024-08-18T00:00:00,2024-08-24T00:00:00,delivered,1699,Maersk
SH0000026,PR00162,WH015,2024-12-23T00:00:00,2025-01-02T00:00:00,delayed,2241,DHL
SH0000027,PR00062,WH018,2025-11-23T00:00:00,2025-12-30T00:00:00,delivered,3233,DHL
SH0000028,PR00395,WH004,2024-10-24T00:00:00,2024-10-26T00:00:00,delivered,648,DHL
SH0000029,PR00226,WH008,2025-05-05T00:00:00,2025-05-10T00:00:00,delivered,4413,DHL
SH0000030,PR00287,WH008,2024-05-20T00:00:00,2024-06-12T00:00:00,delivered,4808,UPS
SH0000031,PR00124,WH001,2025-11-16T00:00:00,2025-11-26T00:00:00,delivered,1908,FedEx
SH0000032,PR00051,WH013,2024-12-04T00:00:00,2024-12-13T00:00:00,delivered,1127,FedEx
SH0000033,PR00281,WH005,2025-02-20T00:00:00,2025-03-04T00:00:00,delayed,3897,Maersk
SH0000034,PR00333,WH006,2024-10-21T00:00:00,2024-10-28T00:00:00,delivered,485,FedEx
SH0000035,PR00333,WH018,2024-08-25T00:00:00,2024-09-04T00:00:00,delivered,306,UPS
SH0000036,PR00213,WH005,2024-02-07T00:00:00,2024-02-15T00:00:00,delivered,1527,DHL
SH0000037,PR00019,WH000,2024-11-01T00:00:00,2024-11-12T00:00:00,delivered,2745,DHL
SH0000038,PR00232,WH017,2025-06-20T00:00:00,2025-06-29T00:00:00,in_transit,1100,USPS
SH0000039,PR00239,WH008,2024-07-16T00:00:00,2024-07-19T00:00:00,delivered,3760,DHL
SH0000040,PR00367,WH005,2024-01-15T00:00:00,2024-01-22T00:00:00,delivered,4652,UPS
SH0000041,PR00089,WH019,2025-10-16T00:00:00,2025-10-24T00:00:00,in_transit,4222,DHL
SH0000042,PR00044,WH012,2025-11-16T00:00:00,2025-12-09T00:00:00,delivered,1152,Maersk
SH0000043,PR00165,WH007,2024-01-07T00:00:00,2024-01-13T00:00:00,delivered,3660,DHL
SH0000044,PR00168,WH009,2025-08-19T00:00:00,2025-08-30T00:00:00,delivered,2946,UPS
SH0000045,PR00031,WH003,2025-04-21T00:00:00,2025-04-27T00:00:00,delivered,4117,DHL
SH0000046,PR00353,WH003,2025-10-16T00:00:00,2025-10-22T00:00:00,delivered,1810,UPS
SH0000047,PR00068,WH015,2024-06-05T00:00:00,2024-06-14T00:00:00,delivered,4963,DHL
SH0000048,PR00212,WH017,2025-04-27T00:00:00,2025-05-07T00:00:00,in_transit,1790,UPS
SH0000049,PR00348,WH019,2024-03-24T00:00:00,2024-04-03T00:00:00,delivered,2964,FedEx
SH0000050,PR00288,WH003,2024-03-04T00:00:00,2024-03-14T00:00:00,delayed,1657,USPS
SH0000051,PR00274,WH004,2024-06-17T00:00:00,2024-06-24T00:00:00,in_transit,3620,FedEx
SH0000052,PR00348,WH006,2025-08-20T00:00:00,2025-08-29T00:00:00,delivered,4181,Maersk
SH0000053,PR00028,WH014,2024-05-15T00:00:00,2024-06-20T00:00:00,delivered,4620,FedEx
SH0000054,PR00286,WH014,2025-11-19T00:00:00,2026-01-03T00:00:00,delivered,179,Maersk
SH0000055,PR00130,WH000,2024-08-11T00:00:00,2024-08-22T00:00:00,delivered,3471,DHL
SH0000056,PR00358,WH002,2025-07-08T00:00:00,2025-07-10T00:00:00,delayed,566,Maersk
SH0000057,PR00016,WH009,2025-02-22T00:00:00,2025-02-26T00:00:00,delivered,3444,DHL
SH0000058,PR00195,WH014,2025-01-21T00:00:00,2025-01-29T00:00:00,delivered,4418,UPS
SH0000059,PR00334,WH011,2024-05-01T00:00:00,2024-05-05T00:00:00,lost,3220,USPS
SH0000060,PR00065,WH007,2024-01-04T00:00:00,2024-01-06T00:00:00,delayed,3793,USPS
SH0000061,PR00217,WH017,2025-01-23T00:00:00,2025-01-28T00:00:00,delivered,2836,UPS
SH0000062,PR00141,WH006,2024-04-25T00:00:00,2024-04-27T00:00:00,in_transit,3435,USPS
SH0000063,PR00392,WH000,2024-09-03T00:00:00,2024-09-29T00:00:00,delivered,4866,FedEx
SH0000064,PR00228,WH019,2025-11-19T00:00:00,2025-11-21T00:00:00,delivered,363,Maersk
SH0000065,PR00224,WH007,2025-07-06T00:00:00,2025-07-11T00:00:00,delivered,463,UPS
SH0000066,PR00257,WH009,2024-08-27T00:00:00,2024-09-07T00:00:00,delivered,4899,DHL
SH0000067,PR00121,WH009,2024-05-26T00:00:00,2024-06-07T00:00:00,delivered,3388,DHL
SH0000068,PR00140,WH001,2025-07-24T00:00:00,2025-08-04T00:00:00,in_transit,1435,Maersk
SH0000069,PR00284,WH015,2024-02-18T00:00:00,2024-03-20T00:00:00,delayed,3123,USPS
SH0000070,PR00163,WH013,2025-02-22T00:00:00,2025-02-26T00:00:00,delivered,1507,USPS
SH0000071,PR00242,WH007,2024-08-18T00:00:00,2024-08-24T00:00:00,in_transit,1183,Maersk
SH0000072,PR00029,WH017,2025-02-26T00:00:00,2025-03-06T00:00:00,delivered,1099,Maersk
SH0000073,PR00124,WH008,2024-07-27T00:00:00,2024-08-03T00:00:00,delivered,3685,DHL
SH0000074,PR00047,WH017,2024-07-14T00:00:00,2024-07-16T00:00:00,delivered,4956,USPS
SH0000075,PR00020,WH002,2024-07-11T00:00:00,2024-07-22T00:00:00,delivered,4579,UPS
SH0000076,PR00245,WH006,2024-12-06T00:00:00,2024-12-12T00:00:00,delayed,126,UPS
SH0000077,PR00097,WH003,2025-05-05T00:00:00,2025-05-10T00:00:00,delivered,1676,Maersk
SH0000078,PR00122,WH017,2024-11-25T00:00:00,2024-12-01T00:00:00,delivered,4372,DHL
SH0000079,PR00157,WH008,2025-01-03T00:00:00,2025-01-13T00:00:00,in_transit,3818,FedEx
SH0000080,PR00369,WH015,2024-11-23T00:00:00,2024-11-28T00:00:00,delivered,3391,FedEx
SH0000081,PR00288,WH007,2024-05-29T00:00:00,2024-05-31T00:00:00,delivered,4785,USPS
SH0000082,PR00368,WH013,2024-10-29T00:00:00,2024-11-02T00:00:00,delivered,1885,Maersk
SH0000083,PR00291,WH007,2025-05-26T00:00:00,2025-06-05T00:00:00,delivered,2766,DHL
SH0000084,PR00390,WH015,2025-10-19T00:00:00,2025-10-28T00:00:00,delivered,2886,UPS
SH0000085,PR00071,WH017,2025-05-15T00:00:00,2025-05-19T00:00:00,delayed,4442,FedEx
SH0000086,PR00268,WH001,2024-03-17T00:00:00,2024-03-29T00:00:00,delivered,53,Maersk
SH0000087,PR00070,WH007,2024-03-10T00:00:00,2024-03-14T00:00:00,delivered,4143,Maersk
SH0000088,PR00191,WH001,2025-09-24T00:00:00,2025-11-03T00:00:00,delivered,3959,Maersk
SH0000089,PR00008,WH000,2025-06-28T00:00:00,2025-07-08T00:00:00,delivered,138,USPS
SH0000090,PR00369,WH008,2025-07-02T00:00:00,2025-07-08T00:00:00,delivered,3528,UPS
SH0000091,PR00054,WH003,2025-06-20T00:00:00,2025-06-24T00:00:00,delivered,4313,DHL
SH0000092,PR00181,WH008,2025-02-10T00:00:00,2025-02-13T00:00:00,delivered,3327,Maersk
SH0000093,PR00289,WH007,2025-12-14T00:00:00,2025-12-19T00:00:00,delivered,661,FedEx
SH0000094,PR00047,WH012,2025-01-23T00:00:00,2025-01-31T00:00:00,delivered,460,FedEx
SH0000095,PR00359,WH005,2024-03-25T00:00:00,2024-04-03T00:00:00,in_transit,2714,USPS
SH0000096,PR00048,WH016,2024-02-13T00:00:00,2024-02-18T00:00:00,delivered,4644,Maersk
SH0000097,PR00138,WH001,2024-03-17T00:00:00,2024-03-29T00:00:00,delayed,4449,USPS
SH0000098,PR00336,WH001,2024-07-02T00:00:00,2024-07-09T00:00:00,delivered,1698,USPS
SH0000099,PR00073,WH012,2024-03-19T00:00:00,2024-03-25T00:00:00,delivered,1970,USPS
SH0000100,PR00199,WH017,2024-12-05T00:00:00,2024-12-13T00:00:00,delivered,1147,FedEx
SH0000101,PR00256,WH011,2024-02-24T00:00:00,2024-03-18T00:00:00,delivered,623,DHL
SH0000102,PR00309,WH019,2025-09-01T00:00:00,2025-09-09T00:00:00,delayed,2674,FedEx
SH0000103,PR00324,WH008,2025-04-06T00:00:00,2025-04-15T00:00:00,delivered,4531,Maersk
SH0000104,PR00221,WH005,2025-11-27T00:00:00,2025-12-08T00:00:00,delivered,703,USPS
SH0000105,PR00151,WH007,2024-03-16T00:00:00,2024-03-19T00:00:00,delivered,3113,UPS
SH0000106,PR00378,WH012,2024-11-20T00:00:00,2024-11-27T00:00:00,delivered,43,DHL
SH0000107,PR00227,WH011,2024-10-03T00:00:00,2024-10-06T00:00:00,delivered,1536,Maersk
SH0000108,PR00229,WH017,2025-07-22T00:00:00,2025-08-01T00:00:00,delivered,216,FedEx
SH0000109,PR00181,WH017,2024-04-05T00:00:00,2024-04-16T00:00:00,delivered,2658,Maersk
SH0000110,PR00006,WH009,2025-02-27T00:00:00,2025-03-07T00:00:00,delivered,4584,UPS
SH0000111,PR00292,WH016,2024-06-22T00:00:00,2024-07-04T00:00:00,delivered,1138,DHL
SH0000112,PR00154,WH008,2025-05-19T00:00:00,2025-06-12T00:00:00,delivered,3561,DHL
SH0000113,PR00215,WH009,2025-05-10T00:00:00,2025-05-13T00:00:00,delivered,2021,Maersk
SH0000114,PR00304,WH019,2024-07-19T00:00:00,2024-07-28T00:00:00,delivered,2496,FedEx
SH0000115,PR00202,WH010,2025-09-27T00:00:00,2025-10-05T00:00:00,in_transit,2700,Maersk
SH0000116,PR00171,WH013,2025-10-28T00:00:00,2025-11-08T00:00:00,delivered,2627,USPS
SH0000117,PR00355,WH006,2025-05-05T00:00:00,2025-05-12T00:00:00,delivered,3263,DHL
SH0000118,PR00149,WH015,2025-08-12T00:00:00,2025-08-17T00:00:00,delivered,2297,Maersk
SH0000119,PR00186,WH003,2025-07-31T00:00:00,2025-08-05T00:00:00,delivered,4470,UPS
SH0000120,PR00349,WH017,2024-01-28T00:00:00,2024-02-06T00:00:00,delayed,1718,Maersk
SH0000121,PR00149,WH002,2025-02-22T00:00:00,2025-03-06T00:00:00,delivered,2481,UPS
SH0000122,PR00129,WH004,2025-03-09T00:00:00,2025-03-17T00:00:00,delivered,4899,Maersk
SH0000123,PR00298,WH012,2025-07-01T00:00:00,2025-07-11T00:00:00,delayed,3427,USPS
SH0000124,PR00018,WH011,2025-12-19T00:00:00,2026-02-05T00:00:00,in_transit,4865,FedEx
SH0000125,PR00055,WH007,2025-11-04T00:00:00,2025-11-16T00:00:00,delivered,363,USPS
SH0000126,PR00330,WH012,2024-12-05T00:00:00,2024-12-13T00:00:00,delivered,808,DHL
SH0000127,PR00113,WH016,2025-06-15T00:00:00,2025-06-25T00:00:00,delivered,4713,UPS
SH0000128,PR00228,WH011,2025-02-04T00:00:00,2025-02-13T00:00:00,delivered,4822,USPS
SH0000129,PR00077,WH011,2024-01-26T00:00:00,2024-02-04T00:00:00,delivered,3408,FedEx
SH0000130,PR00059,WH004,2024-12-22T00:00:00,2024-12-28T00:00:00,delivered,1695,USPS
SH0000131,PR00247,WH011,2025-05-02T00:00:00,2025-05-25T00:00:00,delivered,3707,DHL
SH0000132,PR00034,WH009,2024-02-15T00:00:00,2024-02-18T00:00:00,delivered,2811,FedEx
SH0000133,PR00346,WH005,2024-09-06T00:00:00,2024-09-16T00:00:00,delivered,1312,DHL
SH0000134,PR00286,WH013,2025-04-18T00:00:00,2025-05-15T00:00:00,delivered,1512,UPS
SH0000135,PR00327,WH013,2025-02-09T00:00:00,2025-03-01T00:00:00,delivered,1617,Maersk
SH0000136,PR00303,WH013,2025-02-02T00:00:00,2025-02-04T00:00:00,delivered,1686,DHL
SH0000137,PR00385,WH002,2025-08-14T00:00:00,2025-08-17T00:00:00,delivered,4399,UPS
SH0000138,PR00187,WH010,2024-07-20T00:00:00,2024-07-29T00:00:00,delivered,4010,USPS
SH0000139,PR00327,WH010,2025-09-03T00:00:00,2025-10-05T00:00:00,delivered,4809,FedEx
SH0000140,PR00178,WH011,2025-04-13T00:00:00,2025-04-24T00:00:00,delivered,2437,USPS
SH0000141,PR00302,WH002,2025-11-19T00:00:00,2025-11-23T00:00:00,delivered,1955,DHL
SH0000142,PR00059,WH005,2025-01-17T00:00:00,2025-01-21T00:00:00,delivered,3427,USPS
SH0000143,PR00070,WH018,2025-01-27T00:00:00,2025-02-04T00:00:00,delivered,4403,UPS
SH0000144,PR00284,WH005,2025-05-16T00:00:00,2025-06-14T00:00:00,delivered,2578,Maersk
SH0000145,PR00317,WH001,2025-01-02T00:00:00,2025-01-04T00:00:00,delivered,1599,Maersk
SH0000146,PR00287,WH016,2025-10-30T00:00:00,2025-12-04T00:00:00,delivered,4029,Maersk
SH0000147,PR00363,WH014,2025-05-15T00:00:00,2025-05-19T00:00:00,delivered,253,UPS
SH0000148,PR00149,WH001,2024-10-08T00:00:00,2024-10-13T00:00:00,delivered,1378,Maersk
SH0000149,PR00289,WH015,2025-07-16T00:00:00,2025-07-26T00:00:00,delivered,936,DHL
SH0000150,PR00396,WH017,2025-01-10T00:00:00,2025-01-20T00:00:00,in_transit,341,Maersk
SH0000151,PR00279,WH006,2025-03-11T00:00:00,2025-04-03T00:00:00,delivered,2028,DHL
SH0000152,PR00016,WH014,2024-09-26T00:00:00,2024-10-03T00:00:00,in_transit,713,Maersk
SH0000153,PR00060,WH007,2024-08-02T00:00:00,2024-08-13T00:00:00,delivered,5000,Maersk
SH0000154,PR00084,WH019,2024-05-22T00:00:00,2024-05-27T00:00:00,in_transit,487,USPS
SH0000155,PR00179,WH017,2024-10-14T00:00:00,2024-10-25T00:00:00,delivered,2652,DHL
SH0000156,PR00148,WH018,2024-09-30T00:00:00,2024-10-10T00:00:00,delayed,781,UPS
SH0000157,PR00384,WH013,2024-03-01T00:00:00,2024-03-07T00:00:00,in_transit,1040,UPS
SH0000158,PR00127,WH004,2024-11-25T00:00:00,2024-11-30T00:00:00,delivered,3218,Maersk
SH0000159,PR00072,WH018,2025-10-09T00:00:00,2025-10-15T00:00:00,delivered,3074,Maersk
SH0000160,PR00038,WH002,2025-02-16T00:00:00,2025-02-26T00:00:00,delivered,3024,Maersk
SH0000161,PR00249,WH010,2025-08-18T00:00:00,2025-08-20T00:00:00,in_transit,764,Maersk
SH0000162,PR00325,WH011,2024-03-05T00:00:00,2024-03-15T00:00:00,delivered,3520,UPS
SH0000163,PR00253,WH008,2024-11-26T00:00:00,2024-12-02T00:00:00,delivered,4735,UPS
SH0000164,PR00289,WH015,2024-12-17T00:00:00,2024-12-29T00:00:00,delivered,377,FedEx
SH0000165,PR00320,WH014,2024-01-17T00:00:00,2024-01-20T00:00:00,delayed,1295,Maersk
SH0000166,PR00233,WH000,2025-03-14T00:00:00,2025-03-19T00:00:00,lost,1081,DHL
SH0000167,PR00081,WH008,2024-04-05T00:00:00,2024-04-17T00:00:00,delivered,676,DHL
SH0000168,PR00340,WH005,2024-02-23T00:00:00,2024-03-02T00:00:00,delivered,1919,Maersk
SH0000169,PR00335,WH002,2025-12-21T00:00:00,2025-12-24T00:00:00,delivered,3907,FedEx
SH0000170,PR00067,WH018,2024-08-19T00:00:00,2024-08-29T00:00:00,delivered,77,FedEx
SH0000171,PR00356,WH010,2024-05-03T00:00:00,2024-05-11T00:00:00,delivered,3914,FedEx
SH0000172,PR00117,WH012,2024-04-01T00:00:00,2024-04-04T00:00:00,delivered,3012,DHL
SH0000173,PR00070,WH012,2024-05-16T00:00:00,2024-05-28T00:00:00,lost,1171,FedEx
SH0000174,PR00271,WH018,2024-01-09T00:00:00,2024-01-20T00:00:00,delivered,3606,DHL
SH0000175,PR00369,WH006,2025-10-05T00:00:00,2025-10-09T00:00:00,delayed,3625,UPS
SH0000176,PR00044,WH003,2024-05-23T00:00:00,2024-07-06T00:00:00,delivered,3146,DHL
SH0000177,PR00219,WH010,2024-05-23T00:00:00,2024-05-28T00:00:00,delivered,691,UPS
SH0000178,PR00283,WH019,2025-09-06T00:00:00,2025-09-17T00:00:00,delivered,220,DHL
SH0000179,PR00105,WH016,2025-09-13T00:00:00,2025-09-23T00:00:00,delivered,3210,DHL
SH0000180,PR00330,WH001,2024-09-02T00:00:00,2024-09-11T00:00:00,delivered,1975,Maersk
SH0000181,PR00326,WH019,2024-03-13T00:00:00,2024-03-23T00:00:00,in_transit,99,DHL
SH0000182,PR00162,WH004,2025-01-31T00:00:00,2025-02-11T00:00:00,delivered,4476,UPS
SH0000183,PR00390,WH015,2024-03-15T00:00:00,2024-03-17T00:00:00,delivered,113,DHL
SH0000184,PR00110,WH001,2024-03-02T00:00:00,2024-03-10T00:00:00,delivered,4105,Maersk
SH0000185,PR00216,WH012,2024-03-25T00:00:00,2024-04-06T00:00:00,delivered,1251,DHL
SH0000186,PR00042,WH009,2024-03-21T00:00:00,2024-03-31T00:00:00,delayed,1273,USPS
SH0000187,PR00167,WH012,2025-08-23T00:00:00,2025-09-04T00:00:00,delivered,542,DHL
SH0000188,PR00357,WH013,2024-09-01T00:00:00,2024-09-03T00:00:00,delivered,3560,FedEx
SH0000189,PR00232,WH019,2025-09-15T00:00:00,2025-09-17T00:00:00,delivered,1439,FedEx
SH0000190,PR00006,WH004,2025-12-19T00:00:00,2025-12-21T00:00:00,delivered,2841,USPS
SH0000191,PR00264,WH008,2024-06-19T00:00:00,2024-06-26T00:00:00,delivered,2202,FedEx
SH0000192,PR00394,WH000,2024-12-09T00:00:00,2024-12-17T00:00:00,delivered,524,DHL
SH0000193,PR00364,WH018,2025-10-04T00:00:00,2025-10-07T00:00:00,delivered,4185,DHL
SH0000194,PR00028,WH015,2025-08-03T00:00:00,2025-08-28T00:00:00,delivered,2090,FedEx
SH0000195,PR00293,WH003,2024-08-21T00:00:00,2024-08-31T00:00:00,delivered,101,UPS
SH0000196,PR00023,WH015,2025-01-07T00:00:00,2025-01-15T00:00:00,delayed,1467,FedEx
SH0000197,PR00283,WH013,2024-08-17T00:00:00,2024-08-24T00:00:00,delivered,2621,DHL
SH0000198,PR00039,WH018,2025-01-16T00:00:00,2025-01-19T00:00:00,delivered,432,UPS
SH0000199,PR00114,WH016,2024-02-17T00:00:00,2024-02-25T00:00:00,delivered,3811,DHL
SH0000200,PR00396,WH009,2024-12-01T00:00:00,2024-12-04T00:00:00,delivered,66,DHL
SH0000201,PR00102,WH009,2025-07-31T00:00:00,2025-08-06T00:00:00,delivered,1988,Maersk
SH0000202,PR00188,WH018,2025-05-20T00:00:00,2025-05-25T00:00:00,delivered,4478,UPS
SH0000203,PR00077,WH000,2025-02-23T00:00:00,2025-02-25T00:00:00,delivered,2838,FedEx
SH0000204,PR00171,WH000,2025-11-04T00:00:00,2025-11-12T00:00:00,in_transit,2520,FedEx
SH0000205,PR00105,WH016,2024-08-31T00:00:00,2024-09-08T00:00:00,delivered,491,UPS
SH0000206,PR00364,WH008,2024-04-05T00:00:00,2024-04-07T00:00:00,delayed,4258,Maersk
SH0000207,PR00358,WH011,2025-04-14T00:00:00,2025-04-17T00:00:00,delivered,4141,UPS
SH0000208,PR00326,WH012,2024-03-17T00:00:00,2024-03-28T00:00:00,delivered,3564,UPS
SH0000209,PR00121,WH009,2024-09-24T00:00:00,2024-10-01T00:00:00,delayed,3220,DHL
SH0000210,PR00162,WH014,2024-10-05T00:00:00,2024-10-10T00:00:00,delivered,1661,UPS
SH0000211,PR00399,WH018,2024-04-21T00:00:00,2024-04-25T00:00:00,delivered,3683,Maersk
SH0000212,PR00160,WH013,2024-05-03T00:00:00,2024-05-13T00:00:00,delivered,1701,Maersk
SH0000213,PR00157,WH014,2024-09-28T00:00:00,2024-10-01T00:00:00,delivered,2493,USPS
SH0000214,PR00020,WH006,2024-12-01T00:00:00,2024-12-05T00:00:00,delivered,2034,DHL
SH0000215,PR00202,WH016,2024-02-20T00:00:00,2024-03-03T00:00:00,delivered,1425,FedEx
SH0000216,PR00207,WH014,2025-07-23T00:00:00,2025-08-02T00:00:00,delivered,3786,FedEx
SH0000217,PR00071,WH003,2024-01-13T00:00:00,2024-01-15T00:00:00,in_transit,1821,UPS
SH0000218,PR00101,WH012,2025-01-16T00:00:00,2025-02-26T00:00:00,delivered,689,USPS
SH0000219,PR00300,WH008,2024-03-17T00:00:00,2024-03-19T00:00:00,lost,1620,Maersk
SH0000220,PR00065,WH002,2024-12-05T00:00:00,2024-12-08T00:00:00,delivered,3777,FedEx
SH0000221,PR00086,WH018,2025-03-19T00:00:00,2025-05-04T00:00:00,delivered,4065,FedEx
SH0000222,PR00195,WH013,2024-06-25T00:00:00,2024-07-02T00:00:00,delivered,1534,DHL
SH0000223,PR00143,WH014,2024-06-01T00:00:00,2024-06-03T00:00:00,delivered,2014,DHL
SH0000224,PR00255,WH013,2025-07-17T00:00:00,2025-07-26T00:00:00,delivered,2292,Maersk
SH0000225,PR00070,WH013,2024-07-23T00:00:00,2024-08-04T00:00:00,in_transit,4308,UPS
SH0000226,PR00322,WH017,2024-01-20T00:00:00,2024-01-28T00:00:00,delivered,2942,Maersk
SH0000227,PR00278,WH015,2024-12-18T00:00:00,2024-12-29T00:00:00,delivered,3182,DHL
SH0000228,PR00092,WH000,2024-11-22T00:00:00,2024-12-03T00:00:00,delivered,2302,FedEx
SH0000229,PR00241,WH016,2025-01-01T00:00:00,2025-02-14T00:00:00,delivered,1907,UPS
SH0000230,PR00051,WH007,2025-11-03T00:00:00,2025-11-08T00:00:00,delivered,459,UPS
SH0000231,PR00294,WH012,2024-12-29T00:00:00,2025-01-02T00:00:00,delivered,4854,DHL
SH0000232,PR00377,WH011,2025-08-28T00:00:00,2025-08-30T00:00:00,delivered,2881,USPS
SH0000233,PR00288,WH004,2025-07-30T00:00:00,2025-08-04T00:00:00,in_transit,4033,USPS
SH0000234,PR00158,WH005,2025-05-17T00:00:00,2025-05-19T00:00:00,delivered,1906,USPS
SH0000235,PR00112,WH000,2025-06-23T00:00:00,2025-07-02T00:00:00,delivered,1651,UPS
SH0000236,PR00174,WH005,2024-11-27T00:00:00,2024-11-29T00:00:00,delivered,4806,UPS
SH0000237,PR00396,WH003,2025-06-22T00:00:00,2025-06-29T00:00:00,delayed,3061,Maersk
SH0000238,PR00300,WH003,2024-12-10T00:00:00,2024-12-16T00:00:00,delivered,1291,Maersk
SH0000239,PR00327,WH015,2025-10-26T00:00:00,2025-11-25T00:00:00,delivered,4604,USPS
SH0000240,PR00182,WH007,2025-11-12T00:00:00,2025-12-20T00:00:00,in_transit,3100,DHL
SH0000241,PR00375,WH009,2024-05-10T00:00:00,2024-05-14T00:00:00,delivered,4693,Maersk
SH0000242,PR00394,WH018,2024-02-03T00:00:00,2024-02-07T00:00:00,delivered,1810,USPS
SH0000243,PR00053,WH015,2024-05-24T00:00:00,2024-05-31T00:00:00,delivered,1950,DHL
SH0000244,PR00163,WH005,2025-10-13T00:00:00,2025-10-16T00:00:00,in_transit,2751,Maersk
SH0000245,PR00005,WH008,2024-08-02T00:00:00,2024-08-07T00:00:00,delivered,2872,DHL
SH0000246,PR00055,WH000,2024-02-19T00:00:00,2024-02-27T00:00:00,delivered,3438,UPS
SH0000247,PR00211,WH015,2025-01-22T00:00:00,2025-01-29T00:00:00,delivered,831,Maersk
SH0000248,PR00295,WH007,2024-06-15T00:00:00,2024-06-24T00:00:00,delivered,274,DHL
SH0000249,PR00010,WH010,2024-09-24T00:00:00,2024-09-27T00:00:00,delivered,1394,Maersk
SH0000250,PR00082,WH002,2025-07-14T00:00:00,2025-07-17T00:00:00,delivered,3955,FedEx
SH0000251,PR00220,WH005,2025-09-13T00:00:00,2025-09-21T00:00:00,delivered,830,DHL
SH0000252,PR00105,WH006,2025-02-23T00:00:00,2025-03-05T00:00:00,delivered,4425,DHL
SH0000253,PR00338,WH009,2024-10-31T00:00:00,2024-11-05T00:00:00,delivered,3219,USPS
SH0000254,PR00281,WH015,2024-06-06T00:00:00,2024-06-08T00:00:00,delivered,3503,FedEx
SH0000255,PR00150,WH019,2025-05-06T00:00:00,2025-05-11T00:00:00,delivered,1696,UPS
SH0000256,PR00326,WH009,2024-03-24T00:00:00,2024-04-02T00:00:00,in_transit,2527,Maersk
SH0000257,PR00241,WH015,2025-11-07T00:00:00,2025-12-05T00:00:00,delivered,4458,Maersk
SH0000258,PR00094,WH011,2025-01-25T00:00:00,2025-02-01T00:00:00,delivered,366,DHL
SH0000259,PR00225,WH014,2024-09-26T00:00:00,2024-10-01T00:00:00,in_transit,4623,FedEx
SH0000260,PR00077,WH003,2024-03-28T00:00:00,2024-04-09T00:00:00,delivered,4436,Maersk
SH0000261,PR00387,WH018,2024-08-20T00:00:00,2024-08-30T00:00:00,delivered,3172,USPS
SH0000262,PR00214,WH017,2025-12-04T00:00:00,2025-12-13T00:00:00,delivered,1931,Maersk
SH0000263,PR00153,WH002,2025-02-08T00:00:00,2025-02-10T00:00:00,delivered,4234,USPS
SH0000264,PR00346,WH019,2024-05-30T00:00:00,2024-06-02T00:00:00,delayed,3679,UPS
SH0000265,PR00085,WH006,2024-07-16T00:00:00,2024-07-20T00:00:00,delivered,642,Maersk
