device_event_id,device_id,customer_id,ip_address,device_type,login_time
DEVE00000028,DEV00000040,CUS001376,26.2.119.23,iphone,2026-02-13T02:32:06
DEVE00000029,DEV00000041,CUS001031,188.101.39.96,android,2025-12-11T16:49:34
DEVE00000030,DEV00000042,CUS001912,92.87.1.93,android,2026-05-04T18:43:20
DEVE00000031,DEV00000043,CUS001181,19.10.108.31,browser,2025-12-02T02:28:58
DEVE00000032,DEV00000044,CUS000753,58.205.236.72,tablet,2026-02-20T09:09:07
DEVE00000033,DEV00000045,CUS001796,177.175.106.219,android,2026-03-06T05:06:09
DEVE00000034,DEV00000046,CUS000748,82.167.97.143,android,2025-09-14T12:30:49
DEVE00000035,DEV00000047,CUS001193,107.16.90.241,browser,2025-11-25T16:27:11
DEVE00000036,DEV00000048,CUS001405,162.20.125.254,browser,2026-04-04T13:34:41
DEVE00000037,DEV00000049,CUS001289,27.185.120.234,android,2025-09-03T10:59:40
DEVE00000038,DEV00000050,CUS000921,43.135.107.96,tablet,2026-02-17T01:48:32
DEVE00000039,DEV00000051,CUS000266,79.160.59.37,iphone,2026-03-13T12:56:44
DEVE00000040,DEV00000052,CUS001515,207.242.45.153,iphone,2025-10-12T23:25:48
DEVE00000041,DEV00000053,CUS000514,189.34.102.35,iphone,2026-02-10T04:30:13
DEVE00000042,DEV00000054,CUS000626,112.75.78.52,android,2025-06-19T20:57:35
DEVE00000043,DEV00000055,CUS001261,112.140.224.110,android,2025-08-15T15:57:36
DEVE00000044,DEV00000056,CUS001166,202.203.101.71,iphone,2026-02-06T20:18:06
DEVE00000045,DEV00000057,CUS000592,29.191.206.122,tablet,2025-08-30T04:57:31
DEVE00000046,DEV00000058,CUS000843,191.58.32.36,iphone,2026-01-13T22:00:55
DEVE00000047,DEV00000059,CUS000587,208.31.192.124,android,2025-10-14T13:38:41
DEVE00000048,DEV00000060,CUS000882,176.108.125.16,browser,2026-04-10T20:58:52
DEVE00000049,DEV00000061,CUS000680,115.161.227.108,browser,2025-09-18T08:25:31
DEVE00000050,DEV00000062,CUS001490,209.227.155.180,browser,2025-06-11T00:44:41
DEVE00000051,DEV00000063,CUS001306,74.188.107.234,android,2026-05-07T18:11:34
DEVE00000052,DEV00000064,CUS000075,60.23.209.21,browser,2026-04-17T08:10:12
DEVE00000053,DEV00000065,CUS000884,29.247.235.250,browser,2025-11-15T03:38:58
DEVE00000054,DEV00000066,CUS001089,215.157.175.191,android,2025-06-26T02:34:39
DEVE00000055,DEV00000067,CUS000824,73.208.46.143,tablet,2025-10-28T06:16:15
DEVE00000056,DEV00000068,CUS001421,131.217.45.24,browser,2026-03-08T01:48:01
DEVE00000057,DEV00000069,CUS000484,167.195.7.56,iphone,2025-07-04T10:51:25
DEVE00000058,DEV00000070,CUS001448,215.183.52.202,iphone,2026-03-03T17:46:45
DEVE00000059,DEV00000071,CUS001958,105.141.24.47,tablet,2026-04-06T13:59:18
DEVE00000060,DEV00000072,CUS001309,69.184.150.78,tablet,2025-12-24T21:32:23
DEVE00000061,DEV00000073,CUS000515,178.25.143.141,android,2026-02-19T21:42:33
DEVE00000062,DEV00000074,CUS000755,153.58.2.39,tablet,2026-02-27T22:38:39
DEVE00000063,DEV00000075,CUS001840,121.113.254.40,browser,2025-07-04T03:13:08
DEVE00000064,DEV00000076,CUS000864,208.227.13.113,tablet,2026-03-04T16:09:32
DEVE00000065,DEV00000077,CUS000020,47.90.109.27,browser,2025-10-11T10:56:24
DEVE00000066,DEV00000078,CUS001966,80.138.63.85,tablet,2026-04-21T19:22:37
DEVE00000067,DEV00000079,CUS000500,119.251.76.50,browser,2025-11-12T09:56:41
DEVE00000068,DEV00000080,CUS001167,41.150.86.39,android,2025-07-06T17:17:54
DEVE00000069,DEV00000081,CUS001002,130.32.26.7,tablet,2026-04-12T20:00:52
DEVE00000070,DEV00000082,CUS000306,109.214.7.123,iphone,2025-12-29T01:19:01
DEVE00000071,DEV00000083,CUS001656,219.154.232.231,tablet,2026-01-28T23:04:59
DEVE00000072,DEV00000084,CUS000252,202.15.65.172,android,2025-11-11T06:01:20
DEVE00000073,DEV00000085,CUS000025,144.77.92.160,browser,2026-03-22T00:30:29
DEVE00000074,DEV00000007,CUS000827,7.160.221.147,browser,2026-05-03T19:17:49
DEVE00000075,DEV00000086,CUS001071,125.134.53.83,android,2025-11-23T14:21:02
DEVE00000076,DEV00000087,CUS001220,210.174.222.202,tablet,2026-05-30T22:13:41
DEVE00000077,DEV00000088,CUS000180,158.42.65.21,android,2026-01-07T07:22:42
DEVE00000078,DEV00000089,CUS000018,45.201.154.178,iphone,2025-11-06T15:56:53
DEVE00000079,DEV00000090,CUS001428,154.240.20.118,tablet,2025-12-13T08:47:40
DEVE00000080,DEV00000091,CUS000554,4.79.191.215,browser,2026-05-27T08:16:22
DEVE00000081,DEV00000092,CUS000495,55.228.222.45,browser,2025-12-05T19:17:31
DEVE00000082,DEV00000093,CUS001516,166.29.154.238,browser,2025-11-01T15:21:30
DEVE00000083,DEV00000094,CUS001454,51.27.1.89,iphone,2025-10-13T12:57:13
DEVE00000084,DEV00000095,CUS001026,197.129.149.111,android,2025-12-16T13:25:16
DEVE00000085,DEV00000096,CUS000362,175.253.154.198,tablet,2026-04-07T15:23:48
DEVE00000086,DEV00000097,CUS000845,156.200.105.180,android,2025-11-26T05:14:00
DEVE00000087,DEV00000098,CUS001565,89.47.116.11,browser,2025-10-04T23:45:44
DEVE00000088,DEV00000099,CUS001731,172.57.77.86,tablet,2026-04-10T21:37:15
DEVE00000089,DEV00000100,CUS001439,15.213.103.182,iphone,2026-01-26T01:36:33
DEVE00000090,DEV00000101,CUS000382,190.35.162.18,android,2026-06-08T01:13:32
DEVE00000091,DEV00000102,CUS000179,71.208.178.141,iphone,2025-08-18T15:15:36
DEVE00000092,DEV00000103,CUS001955,217.246.131.77,iphone,2026-03-04T20:52:37
DEVE00000093,DEV00000104,CUS000344,50.7.11.219,iphone,2026-04-20T04:11:38
DEVE00000094,DEV00000105,CUS000049,98.166.14.209,browser,2025-08-31T01:20:07
DEVE00000095,DEV00000106,CUS001461,170.201.13.188,browser,2025-12-13T18:28:53
DEVE00000096,DEV00000107,CUS000756,219.177.199.100,browser,2025-07-12T02:41:35
DEVE00000097,DEV00000108,CUS001620,176.207.147.225,android,2026-01-29T05:59:33
DEVE00000098,DEV00000109,CUS001321,77.191.153.38,android,2025-06-18T09:02:49
DEVE00000099,DEV00000110,CUS000161,163.159.227.65,android,2025-09-18T04:27:27
DEVE00000100,DEV00000111,CUS001951,13.73.7.253,tablet,2025-10-29T17:22:31
DEVE00000101,DEV00000112,CUS001064,59.176.56.131,browser,2025-10-08T20:00:45
DEVE00000102,DEV00000009,CUS000105,99.87.3.8,browser,2026-05-09T14:08:19
DEVE00000103,DEV00000113,CUS000792,46.139.23.32,android,2026-05-24T22:36:28
DEVE00000104,DEV00000114,CUS001131,66.156.151.179,tablet,2025-12-12T08:27:19
DEVE00000105,DEV00000115,CUS000526,2.42.40.3,tablet,2026-05-28T16:56:36
DEVE00000106,DEV00000116,CUS000345,120.87.90.137,browser,2025-11-18T01:54:53
DEVE00000107,DEV00000117,CUS000719,20.92.45.239,android,2025-10-19T07:23:25
DEVE00000108,DEV00000118,CUS001733,99.114.37.204,iphone,2026-01-26T14:51:16
DEVE00000109,DEV00000119,CUS000043,52.52.91.211,android,2026-01-07T07:04:58
DEVE00000110,DEV00000120,CUS001960,49.201.0.125,android,2026-04-05T20:51:55
DEVE00000111,DEV00000121,CUS000164,74.126.137.216,browser,2025-07-13T20:59:18
DEVE00000112,DEV00000122,CUS000891,173.152.154.127,android,2026-05-25T09:00:05
DEVE00000113,DEV00000123,CUS000635,50.190.171.207,tablet,2025-06-12T09:12:11
DEVE00000114,DEV00000124,CUS000581,165.209.16.72,tablet,2026-05-15T02:14:44
DEVE00000115,DEV00000125,CUS000309,139.150.62.236,tablet,2025-10-10T02:20:15
DEVE00000116,DEV00000126,CUS001000,91.220.234.46,android,2026-04-25T15:56:09
DEVE00000117,DEV00000127,CUS001003,215.47.42.182,android,2025-10-11T13:04:19
DEVE00000118,DEV00000128,CUS000215,118.187.240.203,iphone,2025-07-08T14:01:02
DEVE00000119,DEV00000129,CUS001989,113.162.110.76,android,2025-09-04T08:53:55
DEVE00000120,DEV00000130,CUS001884,214.3.101.49,android,2026-02-14T17:11:54
DEVE00000121,DEV00000131,CUS000442,115.12.114.147,tablet,2026-05-04T11:06:33
DEVE00000122,DEV00000132,CUS001758,221.99.5.187,android,2025-08-06T04:51:45
DEVE00000123,DEV00000133,CUS000398,55.137.21.158,iphone,2026-01-21T14:56:26
DEVE00000124,DEV00000134,CUS000224,122.113.187.175,android,2025-07-09T19:18:00
DEVE00000125,DEV00000135,CUS001751,25.151.137.196,android,2026-01-21T01:04:48
DEVE00000126,DEV00000136,CUS000200,146.82.37.4,browser,2025-08-27T21:43:25
DEVE00000127,DEV00000137,CUS000745,35.179.165.175,android,2026-01-16T04:10:30
DEVE00000128,DEV00000138,CUS001196,31.94.130.77,browser,2026-04-09T06:47:05
DEVE00000129,DEV00000139,CUS001273,84.208.149.5,iphone,2025-07-20T21:14:58
DEVE00000130,DEV00000140,CUS000778,124.87.231.232,browser,2026-03-20T18:43:21
DEVE00000131,DEV00000141,CUS001515,215.211.169.96,android,2026-01-20T20:46:59
DEVE00000132,DEV00000142,CUS000704,122.5.115.126,iphone,2026-05-21T10:30:05
DEVE00000133,DEV00000143,CUS000198,180.36.174.120,tablet,2026-02-18T15:48:11
DEVE00000134,DEV00000144,CUS000468,110.80.217.240,browser,2026-01-13T23:01:58
DEVE00000135,DEV00000145,CUS000045,20.42.16.224,browser,2026-02-04T13:59:07
DEVE00000136,DEV00000146,CUS001497,178.187.137.37,iphone,2025-08-25T19:11:38
DEVE00000137,DEV00000147,CUS000902,184.42.55.136,iphone,2026-03-28T10:49:31
DEVE00000138,DEV00000148,CUS000945,120.253.189.32,tablet,2025-11-03T18:09:36
DEVE00000139,DEV00000149,CUS000277,50.193.59.184,iphone,2026-05-08T05:08:57
DEVE00000140,DEV00000150,CUS000529,175.30.190.88,browser,2026-02-06T16:22:30
DEVE00000141,DEV00000001,CUS001044,31.232.237.226,browser,2025-12-14T08:13:33
DEVE00000142,DEV00000151,CUS000454,24.211.208.67,browser,2025-10-23T08:53:13
DEVE00000143,DEV00000152,CUS001349,3.53.180.119,iphone,2026-03-30T11:41:43
DEVE00000144,DEV00000153,CUS001977,102.249.19.94,android,2026-05-14T02:04:33
DEVE00000145,DEV00000154,CUS001618,25.173.192.128,tablet,2025-10-16T17:05:20
DEVE00000146,DEV00000155,CUS001423,91.209.140.79,iphone,2026-02-04T14:17:27
DEVE00000147,DEV00000156,CUS000910,175.205.187.204,iphone,2026-05-24T09:17:47
DEVE00000148,DEV00000157,CUS001174,68.40.231.58,tablet,2026-05-30T06:59:53
DEVE00000149,DEV00000158,CUS000784,99.128.74.138,iphone,2025-09-03T23:50:47
DEVE00000150,DEV00000159,CUS000526,161.124.60.236,tablet,2026-03-28T01:18:52
DEVE00000151,DEV00000160,CUS001305,177.74.93.161,iphone,2026-03-12T22:12:13
DEVE00000152,DEV00000161,CUS001800,17.106.205.151,tablet,2025-10-20T17:55:32
DEVE00000153,DEV00000162,CUS001296,141.182.30.83,tablet,2026-01-22T11:28:49
DEVE00000154,DEV00000163,CUS001859,75.211.249.154,tablet,2026-03-29T18:04:20
DEVE00000155,DEV00000164,CUS001299,151.9.233.10,android,2026-05-07T18:48:48
DEVE00000156,DEV00000165,CUS001555,223.238.41.136,tablet,2026-03-29T22:36:32
DEVE00000157,DEV00000166,CUS001456,32.110.214.155,android,2025-12-07T08:36:36
DEVE00000158,DEV00000167,CUS000180,14.204.105.206,android,2026-05-25T09:10:59
DEVE00000159,DEV00000168,CUS000658,44.31.38.5,tablet,2025-06-17T02:01:49
DEVE00000160,DEV00000169,CUS001948,157.34.223.8,iphone,2025-10-18T13:02:45
DEVE00000161,DEV00000170,CUS001261,7.176.161.187,browser,2026-01-17T01:06:41
DEVE00000162,DEV00000171,CUS001586,47.110.118.241,iphone,2025-10-31T03:35:16
DEVE00000163,DEV00000172,CUS001958,170.189.170.79,android,2026-03-14T02:51:06
DEVE00000164,DEV00000173,CUS001360,186.58.121.41,tablet,2025-10-24T21:13:10
DEVE00000165,DEV00000174,CUS000645,190.6.165.206,android,2026-03-18T19:28:25
DEVE00000166,DEV00000175,CUS001357,78.168.37.244,browser,2026-01-13T21:15:46
DEVE00000167,DEV00000176,CUS000981,208.78.195.172,browser,2025-09-12T17:26:19
DEVE00000168,DEV00000177,CUS000007,169.142.179.41,android,2026-01-16T21:43:05
DEVE00000169,DEV00000178,CUS001962,15.246.125.48,iphone,2025-08-03T15:57:51
DEVE00000170,DEV00000179,CUS001887,139.167.237.198,iphone,2025-10-31T10:12:19
DEVE00000171,DEV00000180,CUS000133,219.64.29.207,android,2026-02-03T23:54:44
DEVE00000172,DEV00000181,CUS000345,191.202.172.109,browser,2025-10-15T18:59:55
DEVE00000173,DEV00000182,CUS000483,104.184.35.91,tablet,2026-02-04T09:51:21
DEVE00000174,DEV00000183,CUS000011,125.3.217.237,iphone,2025-10-22T00:13:27
DEVE00000175,DEV00000184,CUS000378,144.161.48.46,iphone,2025-06-15T08:28:30
DEVE00000176,DEV00000185,CUS000410,212.200.12.58,iphone,2025-12-23T11:24:57
DEVE00000177,DEV00000186,CUS000569,25.145.153.228,browser,2026-03-09T17:27:57
DEVE00000178,DEV00000187,CUS000992,116.144.202.61,iphone,2025-08-02T23:13:13
DEVE00000179,DEV00000188,CUS001226,84.158.161.234,android,2025-09-18T19:58:09
DEVE00000180,DEV00000189,CUS000140,103.228.134.167,tablet,2025-07-27T07:05:45
DEVE00000181,DEV00000190,CUS001944,148.40.15.7,tablet,2025-11-21T12:19:38
DEVE00000182,DEV00000191,CUS000512,200.102.205.212,tablet,2026-01-14T18:01:40
DEVE00000183,DEV00000192,CUS001708,9.93.77.31,browser,2026-01-05T07:25:25
DEVE00000184,DEV00000193,CUS000294,34.149.214.84,android,2025-09-19T15:32:48
DEVE00000185,DEV00000194,CUS000769,71.217.119.60,iphone,2025-12-17T11:07:00
DEVE00000186,DEV00000195,CUS000518,30.1.16.93,android,2026-03-20T10:19:41
DEVE00000187,DEV00000196,CUS000469,55.17.254.127,browser,2025-11-10T17:11:45
DEVE00000188,DEV00000197,CUS001435,109.167.48.20,iphone,2026-05-22T16:20:23
DEVE00000189,DEV00000198,CUS001221,137.69.166.101,iphone,2026-03-10T18:56:40
DEVE00000190,DEV00000199,CUS000800,123.164.206.166,tablet,2025-11-18T21:35:15
DEVE00000191,DEV00000200,CUS001899,162.132.133.226,android,2025-07-03T03:24:07
DEVE00000192,DEV00000201,CUS001994,166.159.243.113,browser,2025-11-24T18:16:47
DEVE00000193,DEV00000202,CUS001799,187.56.29.184,iphone,2026-05-22T12:26:43
DEVE00000194,DEV00000203,CUS000446,68.100.122.4,iphone,2025-08-01T00:22:54
DEVE00000195,DEV00000204,CUS000882,222.24.159.62,iphone,2026-02-17T15:41:43
DEVE00000196,DEV00000205,CUS000231,120.97.111.0,iphone,2025-08-25T04:22:26
DEVE00000197,DEV00000206,CUS000136,55.249.183.43,tablet,2025-10-31T16:54:12
DEVE00000198,DEV00000207,CUS001952,45.53.217.94,iphone,2026-02-02T08:08:23
DEVE00000199,DEV00000208,CUS001826,22.122.79.113,browser,2026-01-19T02:01:14
DEVE00000200,DEV00000008,CUS000284,91.203.203.182,android,2025-06-29T23:38:59
DEVE00000201,DEV00000209,CUS001719,166.129.181.58,android,2025-06-26T01:26:11
DEVE00000202,DEV00000210,CUS001321,146.204.246.229,browser,2025-08-26T15:21:31
DEVE00000203,DEV00000211,CUS001385,223.107.49.74,browser,2026-02-15T12:53:04
DEVE00000204,DEV00000212,CUS001000,44.64.92.122,android,2025-11-15T18:55:47
DEVE00000205,DEV00000213,CUS001518,110.177.76.71,browser,2025-07-16T12:50:30
DEVE00000206,DEV00000214,CUS000026,202.81.13.144,browser,2026-04-19T22:17:52
DEVE00000207,DEV00000215,CUS000090,25.45.19.128,browser,2026-01-11T23:46:27
DEVE00000208,DEV00000216,CUS001233,197.3.93.98,iphone,2025-11-14T09:29:47
DEVE00000209,DEV00000217,CUS001659,50.192.12.252,android,2026-03-24T01:23:34
DEVE00000210,DEV00000218,CUS000694,74.58.196.111,android,2025-09-04T15:30:53
DEVE00000211,DEV00000219,CUS000812,195.202.206.3,iphone,2025-06-16T05:56:00
DEVE00000212,DEV00000220,CUS001399,53.52.18.44,tablet,2025-12-04T23:10:05
DEVE00000213,DEV00000221,CUS001332,99.46.68.249,browser,2025-09-16T20:18:17
DEVE00000214,DEV00000222,CUS000540,87.246.116.206,tablet,2026-03-08T21:40:01
DEVE00000215,DEV00000223,CUS000382,9.8.39.142,tablet,2026-02-21T20:26:23
DEVE00000216,DEV00000224,CUS000147,164.30.18.0,iphone,2025-08-21T11:38:12
DEVE00000217,DEV00000225,CUS001700,6.88.239.9,iphone,2026-01-17T01:38:59
DEVE00000218,DEV00000226,CUS001090,17.8.150.56,iphone,2026-03-08T20:21:41
DEVE00000219,DEV00000227,CUS001315,39.19.149.244,android,2025-07-22T04:52:49
DEVE00000220,DEV00000228,CUS001749,18.155.105.141,browser,2025-06-17T23:36:42
DEVE00000221,DEV00000229,CUS001173,37.89.44.63,browser,2026-03-01T07:49:58
DEVE00000222,DEV00000230,CUS001655,15.106.87.122,android,2026-01-29T18:07:22
DEVE00000223,DEV00000231,CUS001503,141.27.21.112,iphone,2025-10-05T16:27:07
DEVE00000224,DEV00000232,CUS001917,78.199.236.112,browser,2026-03-11T06:30:10
DEVE00000225,DEV00000233,CUS000984,6.63.9.168,android,2026-03-18T04:38:22
DEVE00000226,DEV00000234,CUS001410,33.209.6.183,tablet,2025-10-05T01:13:17
DEVE00000227,DEV00000235,CUS000310,138.80.61.246,android,2025-07-20T05:06:26
DEVE00000228,DEV00000236,CUS001813,60.50.206.224,browser,2026-05-01T02:21:39
DEVE00000229,DEV00000237,CUS000482,69.28.106.9,tablet,2025-09-28T22:04:48
DEVE00000230,DEV00000238,CUS001718,173.65.126.62,android,2025-09-14T00:44:35
DEVE00000231,DEV00000239,CUS001696,152.97.230.190,android,2026-05-08T07:31:24
DEVE00000232,DEV00000240,CUS001246,50.146.248.143,tablet,2026-06-04T18:20:08
DEVE00000233,DEV00000241,CUS001772,198.117.70.248,iphone,2026-03-26T14:24:12
DEVE00000234,DEV00000242,CUS000033,124.178.97.111,tablet,2025-06-27T00:50:15
DEVE00000235,DEV00000243,CUS000403,151.65.244.193,iphone,2025-12-29T21:26:08
DEVE00000236,DEV00000244,CUS001033,120.245.27.8,tablet,2026-05-14T22:31:30
DEVE00000237,DEV00000245,CUS001111,134.84.249.88,browser,2026-02-17T22:30:46
DEVE00000238,DEV00000246,CUS000136,89.37.48.49,iphone,2026-04-15T23:42:46
DEVE00000239,DEV00000247,CUS001346,34.107.180.9,browser,2025-07-21T05:20:23
DEVE00000240,DEV00000248,CUS000400,69.218.246.88,iphone,2025-10-25T09:51:51
DEVE00000241,DEV00000249,CUS001277,159.194.128.61,iphone,2026-03-02T19:31:10
DEVE00000242,DEV00000250,CUS000087,218.193.13.27,android,2026-03-10T21:46:39
DEVE00000243,DEV00000251,CUS000251,133.223.89.87,android,2026-02-12T08:43:53
DEVE00000244,DEV00000252,CUS001519,168.0.82.16,tablet,2026-02-05T06:54:13
DEVE00000245,DEV00000253,CUS000710,101.234.14.103,tablet,2026-04-29T07:16:40
DEVE00000246,DEV00000254,CUS000155,151.192.163.16,tablet,2026-04-14T14:17:33
DEVE00000247,DEV00000255,CUS000967,35.64.154.117,android,2026-04-02T03:19:13
DEVE00000248,DEV00000256,CUS001566,112.46.144.109,tablet,2026-01-07T07:56:57
DEVE00000249,DEV00000257,CUS001885,63.50.2.184,browser,2025-10-21T05:48:04
DEVE00000250,DEV00000258,CUS001577,77.99.207.145,android,2026-03-16T06:17:31
DEVE00000251,DEV00000259,CUS001750,152.250.248.12,android,2026-02-22T22:10:28
DEVE00000252,DEV00000260,CUS000386,141.91.85.101,tablet,2026-03-04T11:06:33
DEVE00000253,DEV00000261,CUS001972,98.93.59.36,tablet,2026-05-19T03:25:47
DEVE00000254,DEV00000262,CUS001236,166.223.17.41,tablet,2025-07-15T14:47:37
DEVE00000255,DEV00000263,CUS001452,112.121.164.161,browser,2026-02-06T20:30:02
DEVE00000256,DEV00000264,CUS000921,193.2.86.31,iphone,2025-10-14T19:53:53
DEVE00000257,DEV00000265,CUS001782,24.144.243.70,android,2026-01-18T11:55:50
DEVE00000258,DEV00000266,CUS000319,128.77.245.242,browser,2025-08-28T02:51:47
DEVE00000259,DEV00000267,CUS001433,34.64.193.170,iphone,2026-06-02T05:18:42
DEVE00000260,DEV00000268,CUS001114,135.211.63.26,iphone,2025-07-08T13:56:16
DEVE00000261,DEV00000269,CUS001041,191.95.219.243,iphone,2025-10-15T23:00:53
DEVE00000262,DEV00000270,CUS001782,150.27.143.177,browser,2026-04-15T21:39:59
DEVE00000263,DEV00000271,CUS001357,77.72.87.241,android,2025-10-05T06:15:03
DEVE00000264,DEV00000272,CUS000193,218.107.118.15,browser,2026-01-11T06:34:59
DEVE00000265,DEV00000273,CUS001719,186.215.10.246,iphone,2025-11-10T00:04:46
DEVE00000266,DEV00000274,CUS000179,103.115.67.249,browser,2025-11-13T18:08:34
DEVE00000267,DEV00000275,CUS001273,48.182.138.244,iphone,2025-10-27T11:32:55
DEVE00000268,DEV00000276,CUS001663,1.188.22.153,browser,2026-01-16T14:25:19
DEVE00000269,DEV00000277,CUS001536,174.71.118.228,iphone,2026-04-16T00:02:52
DEVE00000270,DEV00000278,CUS001509,68.178.219.241,android,2025-09-20T00:07:19
DEVE00000271,DEV00000279,CUS000906,139.65.135.207,iphone,2025-10-19T11:18:42
DEVE00000272,DEV00000280,CUS001573,117.247.108.202,iphone,2025-12-17T10:53:52
DEVE00000273,DEV00000281,CUS001297,198.188.56.201,tablet,2026-03-02T16:48:29
DEVE00000274,DEV00000282,CUS001530,140.10.126.189,tablet,2025-10-09T14:40:54
DEVE00000275,DEV00000283,CUS000720,202.192.136.141,browser,2026-05-26T01:17:38
DEVE00000276,DEV00000284,CUS001741,163.160.230.227,browser,2025-12-24T08:45:01
DEVE00000277,DEV00000285,CUS000923,16.27.208.225,tablet,2025-09-08T01:45:47
DEVE00000278,DEV00000286,CUS000434,50.230.252.47,tablet,2026-03-11T20:54:53
DEVE00000279,DEV00000287,CUS000960,94.221.235.235,tablet,2025-10-06T14:15:00
DEVE00000280,DEV00000288,CUS001104,104.187.178.9,iphone,2026-01-28T13:07:53
DEVE00000281,DEV00000289,CUS000022,164.31.234.130,tablet,2026-05-26T16:00:13
DEVE00000282,DEV00000290,CUS000460,211.204.102.96,android,2025-11-26T13:18:07
DEVE00000283,DEV00000291,CUS000840,218.98.154.4,android,2025-12-03T12:38:33
DEVE00000284,DEV00000292,CUS000414,134.160.209.152,browser,2026-03-05T19:33:01
DEVE00000285,DEV00000293,CUS001384,89.160.239.95,tablet,2026-02-24T04:46:26
DEVE00000286,DEV00000294,CUS001779,184.171.55.165,tablet,2025-11-14T20:31:18
DEVE00000287,DEV00000295,CUS000471,149.111.160.69,browser,2025-12-08T09:08:09
DEVE00000288,DEV00000296,CUS000154,64.97.169.254,tablet,2025-11-27T20:49:24
DEVE00000289,DEV00000297,CUS000350,155.70.29.18,tablet,2026-02-15T08:00:45
DEVE00000290,DEV00000298,CUS001330,179.156.241.21,tablet,2025-09-05T23:54:34
DEVE00000291,DEV00000299,CUS001321,40.119.186.9,iphone,2025-07-18T14:49:26
DEVE00000292,DEV00000300,CUS000131,34.70.142.227,tablet,2025-12-25T01:56:47
DEVE00000293,DEV00000301,CUS000605,141.171.17.48,tablet,2025-08-05T06:37:44
DEVE00000294,DEV00000302,CUS000262,103.235.212.20,iphone,2025-11-30T04:47:52
DEVE00000295,DEV00000303,CUS001977,220.4.36.209,tablet,2025-06-24T03:11:10
DEVE00000296,DEV00000304,CUS000199,86.41.69.71,browser,2025-08-06T06:43:05
DEVE00000297,DEV00000305,CUS000210,189.246.176.170,browser,2026-02-24T13:47:16
DEVE00000298,DEV00000306,CUS000809,62.210.127.23,tablet,2025-08-26T23:37:17
DEVE00000299,DEV00000307,CUS000679,152.236.243.40,android,2025-08-23T16:54:34
DEVE00000300,DEV00000308,CUS001364,140.246.146.160,browser,2026-02-11T18:53:59
DEVE00000301,DEV00000006,CUS000669,120.11.4.169,android,2025-12-03T20:21:05
DEVE00000302,DEV00000309,CUS000648,202.218.232.68,android,2025-10-26T10:12:18
DEVE00000303,DEV00000310,CUS001126,10.221.8.206,tablet,2025-10-12T14:23:44
DEVE00000304,DEV00000311,CUS000969,217.58.143.215,browser,2025-10-02T00:20:32
DEVE00000305,DEV00000312,CUS000440,151.127.196.57,browser,2025-12-02T00:58:40
DEVE00000306,DEV00000313,CUS001876,168.96.122.32,iphone,2026-02-22T06:09:02
DEVE00000307,DEV00000314,CUS000476,202.137.35.181,browser,2025-06-24T22:26:02
