flow_id,process_id,ip_id,bytes_sent,bytes_received,started_at
F00000187,P00001522,IP000735,3332035,1893944,2025-03-23T00:24:00
F00000188,P00000477,IP001593,2144939,2896761,2025-02-20T09:00:00
F00000189,P00001407,IP001520,3718745,1868043,2025-02-13T22:06:00
F00000190,P00001978,IP000000,3870957,2163573,2025-03-30T12:34:00
F00000191,P00000321,IP000930,2810343,726025,2025-01-18T00:59:00
F00000192,P00003544,IP000600,1245650,2279776,2025-03-17T23:11:00
F00000193,P00003809,IP001960,3087876,1024914,2025-02-04T12:00:00
F00000194,P00001025,IP002285,1678672,4044947,2025-01-16T11:42:00
F00000195,P00004708,IP000101,518889,3004535,2025-01-14T11:29:00
F00000196,P00001719,IP001671,1752159,1628481,2025-01-04T19:23:00
F00000197,P00001114,IP000944,1821225,2163250,2025-01-19T15:55:00
F00000198,P00001061,IP001453,3357577,1336712,2025-02-17T18:20:00
F00000199,P00004256,IP000572,1838143,4171655,2025-03-20T13:34:00
F00000200,P00001447,IP002374,1744035,855761,2025-02-23T00:35:00
F00000201,P00000289,IP000939,3955587,446393,2025-03-02T16:14:00
F00000202,P00000056,IP002392,2618937,1196069,2025-03-17T13:27:00
F00000203,P00001700,IP000139,1714812,3739461,2025-03-25T01:57:00
F00000204,P00000091,IP000782,1956468,1649708,2025-02-15T14:44:00
F00000205,P00001014,IP002201,4317164,1766219,2025-03-11T02:41:00
F00000206,P00004369,IP001632,692036,1072821,2025-02-25T03:11:00
F00000207,P00002949,IP002242,106107,2259805,2025-02-06T01:47:00
F00000208,P00003807,IP000413,4969826,4393721,2025-03-13T12:11:00
F00000209,P00003044,IP000465,4005779,3531386,2025-02-12T20:52:00
F00000210,P00004680,IP002213,139000,3239430,2025-01-31T16:23:00
F00000211,P00002423,IP001460,2576735,2537213,2025-03-31T20:05:00
F00000212,P00001180,IP002004,4524706,1866175,2025-03-18T18:27:00
F00000213,P00003797,IP000644,3649747,2427439,2025-03-05T11:56:00
F00000214,P00000246,IP000595,3777472,1662845,2025-03-03T11:53:00
F00000215,P00004935,IP002168,3042272,1712835,2025-01-16T15:45:00
F00000216,P00002155,IP000543,4413923,4664907,2025-03-10T18:39:00
F00000217,P00001748,IP002343,318966,1853513,2025-01-06T05:19:00
F00000218,P00004941,IP002487,3932216,4344369,2025-01-13T13:34:00
F00000219,P00001783,IP000328,3123096,191804,2025-02-15T07:06:00
F00000220,P00001949,IP002432,4276653,3138501,2025-01-14T07:42:00
F00000221,P00004764,IP001722,2897869,3043494,2025-03-24T22:06:00
F00000222,P00000661,IP000122,1071849,2781909,2025-02-11T11:00:00
F00000223,P00000095,IP001779,4395762,3395657,2025-02-10T18:41:00
F00000224,P00000301,IP001874,1872015,2497053,2025-03-04T03:24:00
F00000225,P00004048,IP000383,2498551,4766817,2025-04-01T01:17:00
F00000226,P00004726,IP001755,2068804,1193980,2025-03-12T19:43:00
F00000227,P00004583,IP000364,8198,1938763,2025-02-28T03:53:00
F00000228,P00004323,IP001271,1230139,3940216,2025-02-05T19:43:00
F00000229,P00003122,IP000422,2728495,2956793,2025-02-09T17:08:00
F00000230,P00004636,IP000991,3705867,2474337,2025-03-30T06:38:00
F00000231,P00001686,IP001698,1911426,2157371,2025-01-06T08:23:00
F00000232,P00002759,IP001183,60652,1686699,2025-02-10T23:05:00
F00000233,P00004557,IP001312,2399177,3479307,2025-02-25T16:31:00
F00000234,P00002967,IP001507,1664249,624901,2025-01-04T05:11:00
F00000235,P00003849,IP002009,1822073,262722,2025-02-20T08:04:00
F00000236,P00000438,IP000372,131766,1228754,2025-03-06T01:05:00
F00000237,P00003831,IP001557,3154542,1857698,2025-01-12T18:27:00
F00000238,P00001374,IP001599,3868926,1718787,2025-03-24T09:23:00
F00000239,P00001522,IP000837,2391496,4236245,2025-03-23T00:24:00
F00000240,P00003702,IP000875,547939,3574320,2025-03-03T13:38:00
F00000241,P00003206,IP000001,4867640,1038929,2025-02-07T10:47:00
F00000242,P00000273,IP001238,4603023,4357084,2025-02-21T04:11:00
F00000243,P00003529,IP000093,3710891,1743826,2025-02-19T08:59:00
F00000244,P00001263,IP001246,3752070,4677723,2025-01-31T10:00:00
F00000245,P00004677,IP000809,3934560,4312630,2025-02-19T02:35:00
F00000246,P00002927,IP001144,766495,4063034,2025-01-13T23:10:00
F00000247,P00003528,IP000095,1659561,4157867,2025-01-27T02:05:00
F00000248,P00000792,IP001198,3068172,4691201,2025-01-21T13:39:00
F00000249,P00000880,IP000005,4117548,2071419,2025-03-22T20:39:00
F00000250,P00002227,IP002353,2517880,2138669,2025-01-13T09:16:00
F00000251,P00004044,IP000957,4526237,3695077,2025-01-28T17:01:00
F00000252,P00004498,IP001333,1097025,4204211,2025-03-26T22:08:00
F00000253,P00004690,IP000005,3263157,3663731,2025-03-09T13:00:00
F00000254,P00002824,IP000359,4640019,1605496,2025-01-07T11:17:00
F00000255,P00003624,IP001240,3769568,3712380,2025-01-31T05:48:00
F00000256,P00000741,IP002210,4214977,1983042,2025-01-18T18:14:00
F00000257,P00003645,IP001081,2976008,364096,2025-01-30T20:58:00
F00000258,P00004966,IP002081,2675286,1797925,2025-02-06T02:36:00
F00000259,P00004123,IP000646,2712689,484571,2025-02-02T11:27:00
F00000260,P00001227,IP002095,4787009,4963541,2025-03-01T00:35:00
F00000261,P00003194,IP002491,1387536,2224871,2025-02-25T21:26:00
F00000262,P00001821,IP000951,3005929,2106739,2025-01-17T11:49:00
F00000263,P00004328,IP001351,1483204,940410,2025-02-23T16:48:00
F00000264,P00001529,IP001456,3262191,270123,2025-01-12T06:29:00
F00000265,P00001926,IP000260,42921,4371476,2025-01-09T23:36:00
F00000266,P00004472,IP001352,2603396,3519987,2025-02-14T21:49:00
F00000267,P00002381,IP000002,2513751,4927578,2025-03-22T02:29:00
F00000268,P00000480,IP001648,2177386,3701924,2025-01-17T17:31:00
F00000269,P00002262,IP002387,1027883,687246,2025-02-27T05:22:00
F00000270,P00003490,IP000726,971400,2835658,2025-01-30T15:58:00
F00000271,P00000362,IP000973,4819763,3397957,2025-03-30T13:34:00
F00000272,P00002564,IP002257,3429119,4217088,2025-03-05T00:34:00
F00000273,P00000574,IP000181,355784,2539278,2025-01-21T03:34:00
F00000274,P00001004,IP002466,1859070,1802417,2025-01-01T14:09:00
F00000275,P00001775,IP002227,3489589,3364673,2025-01-05T19:14:00
F00000276,P00000010,IP000915,4325439,2632370,2025-02-19T06:23:00
F00000277,P00002585,IP000106,1403899,4916802,2025-03-11T00:26:00
F00000278,P00002774,IP001973,1619257,4350884,2025-03-04T20:58:00
F00000279,P00000094,IP000127,575354,1546583,2025-01-25T17:44:00
F00000280,P00002410,IP001907,794271,4546498,2025-02-09T09:01:00
F00000281,P00000758,IP002289,459751,3227722,2025-02-13T14:25:00
F00000282,P00000742,IP002488,4766507,4852021,2025-01-29T19:39:00
F00000283,P00000949,IP001643,3134695,303580,2025-03-03T20:00:00
F00000284,P00002918,IP002357,796049,4975478,2025-03-07T13:26:00
F00000285,P00001823,IP002360,3454360,4464940,2025-03-27T10:52:00
F00000286,P00003588,IP001773,4131077,644333,2025-03-15T01:10:00
F00000287,P00003956,IP000000,2610505,1238248,2025-03-02T14:42:00
F00000288,P00004894,IP000667,4685098,3067277,2025-03-05T15:29:00
F00000289,P00000141,IP000415,3544791,702436,2025-01-17T07:02:00
F00000290,P00001259,IP000901,1740999,1178639,2025-01-16T14:17:00
F00000291,P00000608,IP001144,4835991,2961363,2025-02-02T10:19:00
F00000292,P00001336,IP000172,4718971,2224609,2025-03-13T16:40:00
F00000293,P00000338,IP000873,4009822,612782,2025-02-26T21:33:00
F00000294,P00003859,IP002138,4661372,2925646,2025-03-21T18:12:00
F00000295,P00003156,IP001838,2138207,4537472,2025-01-03T10:25:00
F00000296,P00000056,IP000435,572949,1521028,2025-03-17T13:27:00
F00000297,P00003395,IP000537,275419,1925691,2025-02-21T19:29:00
F00000298,P00000487,IP002424,3108867,616056,2025-01-01T04:10:00
F00000299,P00003517,IP000382,1409503,924215,2025-01-16T09:25:00
F00000300,P00000965,IP000196,532508,4547045,2025-02-01T23:53:00
F00000301,P00000670,IP000539,1929631,1859415,2025-02-12T05:59:00
F00000302,P00001602,IP001329,2996283,4896632,2025-01-17T17:42:00
F00000303,P00004161,IP002378,1138046,499753,2025-02-21T07:00:00
F00000304,P00003515,IP000905,964939,2386530,2025-02-01T07:53:00
F00000305,P00002792,IP002273,4235432,884688,2025-01-17T12:31:00
F00000306,P00000165,IP001584,903831,4787614,2025-02-05T00:29:00
F00000307,P00003314,IP000198,2417721,3014176,2025-03-28T20:56:00
F00000308,P00000252,IP000364,546180,1182704,2025-01-05T22:31:00
F00000309,P00000401,IP001729,49437,4352633,2025-02-08T05:04:00
F00000310,P00001003,IP001122,865924,4670819,2025-03-26T09:01:00
F00000311,P00000109,IP001667,356589,4539268,2025-02-03T03:31:00
F00000312,P00000617,IP002046,857437,2153036,2025-03-05T22:29:00
F00000313,P00000312,IP002260,1980495,2291623,2025-01-28T22:33:00
F00000314,P00003480,IP001079,2352980,4748344,2025-03-05T03:22:00
F00000315,P00002886,IP000006,96993,4954565,2025-03-12T18:47:00
F00000316,P00002723,IP002054,291413,3472703,2025-03-11T02:04:00
F00000317,P00001078,IP001870,2200192,2856219,2025-01-15T08:12:00
F00000318,P00003263,IP002283,1849236,4583448,2025-02-09T13:56:00
F00000319,P00002853,IP000166,4086252,2163415,2025-01-19T01:33:00
F00000320,P00001160,IP001123,655835,2559001,2025-03-03T12:51:00
F00000321,P00001172,IP000065,2435745,3012301,2025-03-09T06:33:00
F00000322,P00003721,IP001814,3616212,1502812,2025-02-05T22:28:00
F00000323,P00002590,IP002185,2413087,3809661,2025-02-06T12:19:00
F00000324,P00003327,IP002477,717921,2897459,2025-01-30T20:12:00
F00000325,P00001599,IP001600,2396614,4155520,2025-01-30T23:56:00
F00000326,P00001138,IP001641,1035744,3937787,2025-01-16T19:57:00
F00000327,P00002404,IP001537,4351676,2685834,2025-01-14T15:56:00
F00000328,P00004771,IP000551,3249982,1086197,2025-01-24T19:36:00
F00000329,P00004986,IP001589,711437,1014747,2025-02-12T13:40:00
F00000330,P00003196,IP002212,3347265,3652348,2025-03-22T16:13:00
F00000331,P00000064,IP001263,4379700,1069399,2025-02-15T07:42:00
F00000332,P00002212,IP001638,4600306,4987058,2025-01-02T14:06:00
F00000333,P00003383,IP000188,1048102,3320560,2025-03-13T00:49:00
F00000334,P00003027,IP002038,4119469,2477659,2025-02-15T00:48:00
F00000335,P00000367,IP001490,4171218,1108508,2025-02-20T22:54:00
F00000336,P00001689,IP000604,2703623,1241235,2025-02-01T00:42:00
F00000337,P00002240,IP000831,2853891,1269860,2025-03-10T02:28:00
F00000338,P00002798,IP001598,283988,5832,2025-03-25T17:38:00
F00000339,P00004268,IP002140,2591303,3275638,2025-03-23T18:21:00
F00000340,P00000512,IP000442,3036450,474568,2025-03-17T23:02:00
F00000341,P00002781,IP000033,3019799,1909829,2025-03-01T12:19:00
F00000342,P00002707,IP000359,1580627,998535,2025-02-24T02:35:00
F00000343,P00004219,IP001694,139803,2763163,2025-01-19T00:15:00
F00000344,P00001883,IP000611,2031788,1253515,2025-04-01T20:42:00
F00000345,P00001039,IP000506,55669,714751,2025-02-22T10:01:00
F00000346,P00001203,IP002370,2272264,2165525,2025-02-02T18:33:00
F00000347,P00001853,IP001135,630089,2357576,2025-01-03T13:21:00
F00000348,P00000253,IP002204,4072544,4294978,2025-01-16T08:38:00
F00000349,P00001822,IP000806,3905600,4040969,2025-02-06T09:06:00
F00000350,P00004847,IP000619,2547993,378662,2025-01-07T12:20:00
F00000351,P00001217,IP000470,3582705,4453606,2025-02-03T20:10:00
F00000352,P00001206,IP000888,4127982,4746753,2025-03-11T17:11:00
F00000353,P00004235,IP000446,130025,357709,2025-03-25T08:57:00
F00000354,P00004643,IP001272,1364260,3425970,2025-03-19T21:34:00
F00000355,P00002816,IP002127,3650947,1820764,2025-03-26T20:50:00
F00000356,P00002723,IP001939,3788850,2367671,2025-03-11T02:04:00
F00000357,P00002841,IP001708,1788573,2520905,2025-03-21T11:35:00
F00000358,P00004114,IP002183,1205558,1639379,2025-02-21T14:29:00
F00000359,P00004046,IP000610,2638845,2607380,2025-01-21T20:31:00
F00000360,P00002420,IP000525,2700606,1699588,2025-01-30T18:24:00
F00000361,P00002678,IP001908,4415715,4673346,2025-01-15T02:24:00
F00000362,P00001528,IP001356,386463,2093256,2025-01-23T01:22:00
F00000363,P00002062,IP000943,4647511,4423103,2025-02-04T17:31:00
F00000364,P00001529,IP001932,1332492,59751,2025-01-12T06:29:00
F00000365,P00002146,IP001936,3650351,3185142,2025-03-09T20:09:00
F00000366,P00003103,IP002180,1078034,4532727,2025-03-28T16:00:00
F00000367,P00004472,IP001225,2692412,4199014,2025-02-14T21:49:00
F00000368,P00003659,IP000529,466601,3964839,2025-02-14T09:25:00
F00000369,P00002567,IP000881,3271838,4659477,2025-01-28T00:55:00
F00000370,P00002948,IP000420,3115741,1143130,2025-03-17T04:03:00
F00000371,P00003245,IP000141,4033010,2479185,2025-03-16T22:49:00
F00000372,P00000673,IP001078,1844448,31879,2025-01-02T07:56:00
F00000373,P00000997,IP000006,684738,2326753,2025-01-03T21:02:00
F00000374,P00002344,IP002420,3204103,2566064,2025-02-20T14:37:00
F00000375,P00002887,IP001277,2275230,1717561,2025-03-14T15:49:00
F00000376,P00001749,IP001961,811113,1027516,2025-03-27T08:48:00
F00000377,P00002968,IP000995,2320583,4870728,2025-01-17T02:14:00
F00000378,P00003693,IP001770,3920926,239058,2025-03-07T08:23:00
F00000379,P00000755,IP000000,1728300,2537991,2025-02-18T02:00:00
F00000380,P00001853,IP002456,4163618,3056005,2025-01-03T13:21:00
F00000381,P00004446,IP002259,3467543,577361,2025-02-07T04:45:00
F00000382,P00004347,IP000378,3994405,4292811,2025-01-22T23:35:00
F00000383,P00003305,IP000535,969817,3073281,2025-03-31T18:07:00
F00000384,P00004691,IP002044,2140224,1823331,2025-01-05T17:19:00
F00000385,P00003738,IP000899,4319937,1070144,2025-03-29T03:50:00
F00000386,P00004022,IP002389,377855,1767175,2025-01-19T13:13:00
F00000387,P00001756,IP000685,1562163,1921992,2025-02-11T05:42:00
F00000388,P00004932,IP002280,343638,3682427,2025-02-07T04:14:00
F00000389,P00000112,IP000846,987062,2618960,2025-01-20T23:53:00
F00000390,P00004303,IP001623,4660569,3886704,2025-03-11T12:08:00
