process_id,asset_id,command,started_at,parent_pid,pid
P00000033,AST000199,ssh,2025-02-28T10:35:00,61676,30468
P00000034,AST000458,node,2025-01-19T21:03:00,47639,51490
P00000035,AST000375,java,2025-03-31T22:42:00,42568,59512
P00000036,AST000998,ssh,2025-01-04T02:13:00,14797,46164
P00000037,AST000980,node,2025-03-01T05:49:00,45694,79325
P00000038,AST001176,/bin/bash,2025-01-17T17:20:00,53175,93721
P00000039,AST000219,/bin/bash,2025-02-11T18:58:00,39600,69928
P00000040,AST000944,curl,2025-02-21T20:09:00,31271,81479
P00000041,AST000499,ssh,2025-03-12T05:25:00,50308,8758
P00000042,AST000697,/usr/bin/git,2025-01-27T23:41:00,56512,57162
P00000043,AST001161,chrome.exe,2025-02-13T18:35:00,22687,86949
P00000044,AST001371,ssh,2025-01-10T19:35:00,14985,77716
P00000045,AST001220,kubectl,2025-03-01T11:06:00,12800,58455
P00000046,AST000360,/bin/bash,2025-02-09T13:51:00,78416,14353
P00000047,AST001403,java,2025-03-18T12:56:00,64789,84640
P00000048,AST001352,chrome.exe,2025-01-08T03:05:00,18209,76222
P00000049,AST001302,powershell.exe,2025-01-01T05:00:00,59373,69732
P00000050,AST000596,/usr/bin/git,2025-02-19T21:00:00,58611,25746
P00000051,AST000421,node,2025-03-29T10:48:00,74748,89171
P00000052,AST000623,/bin/bash,2025-02-25T11:45:00,76380,1164
P00000053,AST001252,powershell.exe,2025-03-07T13:47:00,38560,8280
P00000054,AST000756,/usr/bin/python,2025-03-12T01:48:00,92191,73504
P00000055,AST000735,/usr/bin/python,2025-01-15T09:37:00,30834,56685
P00000056,AST001438,java,2025-03-17T13:27:00,93294,50273
P00000057,AST000831,kubectl,2025-02-18T14:51:00,27685,86933
P00000058,AST000355,chrome.exe,2025-03-02T04:44:00,72801,50509
P00000059,AST000737,node,2025-02-23T05:15:00,87827,16555
P00000060,AST000275,/usr/bin/python,2025-01-02T02:26:00,18874,94647
P00000061,AST000996,powershell.exe,2025-03-26T14:54:00,11098,18085
P00000062,AST001315,/usr/bin/git,2025-02-23T15:33:00,55798,81790
P00000063,AST000368,curl,2025-02-28T17:23:00,72359,59088
P00000064,AST000787,powershell.exe,2025-02-15T07:42:00,55676,79342
P00000065,AST000015,chrome.exe,2025-03-15T17:00:00,93341,65862
P00000066,AST000551,/usr/bin/git,2025-02-22T18:38:00,48100,4485
P00000067,AST000077,java,2025-03-14T16:29:00,14833,76156
P00000068,AST000986,powershell.exe,2025-03-30T02:43:00,95707,95952
P00000069,AST001078,kubectl,2025-02-05T15:52:00,10255,68697
P00000070,AST001249,ssh,2025-01-12T08:22:00,82663,97314
P00000071,AST001359,kubectl,2025-03-27T02:39:00,75974,41059
P00000072,AST001255,kubectl,2025-01-07T11:43:00,1414,61555
P00000073,AST000929,/usr/bin/git,2025-03-07T16:00:00,96183,43552
P00000074,AST000862,node,2025-02-15T10:03:00,21956,4730
P00000075,AST001423,/usr/bin/git,2025-03-18T10:22:00,34137,8150
P00000076,AST001288,powershell.exe,2025-03-02T19:44:00,75086,6865
P00000077,AST001344,/usr/bin/python,2025-02-07T21:18:00,37594,63638
P00000078,AST000168,/bin/bash,2025-01-17T17:15:00,36419,33136
P00000079,AST000271,node,2025-03-20T09:35:00,33680,1961
P00000080,AST000228,/usr/bin/git,2025-03-19T05:57:00,96858,19909
P00000081,AST001349,powershell.exe,2025-02-27T12:37:00,34243,91951
P00000082,AST000483,kubectl,2025-03-04T06:10:00,4338,45037
P00000083,AST000172,powershell.exe,2025-01-19T20:19:00,65005,98765
P00000084,AST000845,ssh,2025-02-19T08:07:00,95159,83668
P00000085,AST000342,java,2025-01-27T19:43:00,7121,84282
P00000086,AST000541,powershell.exe,2025-01-15T01:47:00,60820,52364
P00000087,AST000975,kubectl,2025-02-08T16:15:00,30627,49881
P00000088,AST001399,ssh,2025-04-01T13:18:00,34423,19125
P00000089,AST001086,node,2025-02-25T00:24:00,58828,50170
P00000090,AST001389,/usr/bin/python,2025-02-10T18:05:00,12762,69737
P00000091,AST001305,/usr/bin/git,2025-02-15T14:44:00,85468,35828
P00000092,AST000686,/bin/bash,2025-02-04T09:06:00,33469,85866
P00000093,AST001196,chrome.exe,2025-02-20T15:44:00,96248,88165
P00000094,AST001205,java,2025-01-25T17:44:00,88830,90576
P00000095,AST000368,/usr/bin/python,2025-02-10T18:41:00,88186,1210
P00000096,AST000139,/bin/bash,2025-01-02T14:02:00,68848,13719
P00000097,AST001403,chrome.exe,2025-02-27T11:59:00,95061,37232
P00000098,AST000515,/usr/bin/python,2025-01-25T01:09:00,81186,12150
P00000099,AST000116,chrome.exe,2025-03-18T22:24:00,78563,83734
P00000100,AST000249,/bin/bash,2025-04-01T04:05:00,79258,17127
P00000101,AST000769,/usr/bin/git,2025-03-26T22:06:00,24218,14628
P00000102,AST001424,node,2025-01-24T08:38:00,61205,86670
P00000103,AST000155,node,2025-03-23T15:28:00,55966,90830
P00000104,AST001367,powershell.exe,2025-02-11T08:47:00,9699,36444
P00000105,AST000127,java,2025-02-18T13:15:00,7873,33947
P00000106,AST000542,/bin/bash,2025-01-23T15:02:00,64451,26402
P00000107,AST001249,ssh,2025-02-20T06:05:00,14213,18957
P00000108,AST001107,/usr/bin/git,2025-02-25T07:27:00,84324,14026
P00000109,AST000904,/usr/bin/python,2025-02-03T03:31:00,9558,9329
P00000110,AST001170,/usr/bin/python,2025-02-02T15:13:00,65235,19610
P00000111,AST001337,/usr/bin/python,2025-03-23T00:01:00,87112,51281
P00000112,AST000545,java,2025-01-20T23:53:00,51293,75419
P00000113,AST000007,ssh,2025-03-07T16:44:00,57155,53041
P00000114,AST001490,chrome.exe,2025-01-09T18:26:00,434,50487
P00000115,AST001411,/usr/bin/git,2025-03-03T04:08:00,70164,47144
P00000116,AST000682,curl,2025-03-29T10:20:00,7235,82973
P00000117,AST001325,kubectl,2025-01-12T12:28:00,44573,10645
P00000118,AST000941,chrome.exe,2025-02-07T22:06:00,23150,72776
P00000119,AST000080,chrome.exe,2025-02-19T22:33:00,39174,91310
P00000120,AST000798,java,2025-01-14T21:31:00,63767,11223
P00000121,AST001295,powershell.exe,2025-02-26T06:28:00,4680,25409
P00000122,AST000051,ssh,2025-03-17T08:08:00,50957,8356
P00000123,AST001107,ssh,2025-03-24T10:30:00,69985,58991
P00000124,AST000033,/usr/bin/python,2025-01-05T11:34:00,44266,94604
P00000125,AST000087,chrome.exe,2025-02-21T04:02:00,85702,87566
P00000126,AST001071,kubectl,2025-02-28T23:08:00,19524,97231
P00000127,AST001186,/usr/bin/python,2025-01-30T02:27:00,96399,18658
P00000128,AST001001,ssh,2025-03-25T00:39:00,81052,6103
P00000129,AST000497,powershell.exe,2025-03-31T22:08:00,1883,22677
P00000130,AST001295,/bin/bash,2025-01-07T10:29:00,59794,80214
P00000131,AST000349,/bin/bash,2025-03-17T02:10:00,14966,65261
P00000132,AST001218,/bin/bash,2025-03-20T07:31:00,26561,55964
P00000133,AST000690,java,2025-03-28T13:43:00,15834,89764
P00000134,AST001179,java,2025-03-11T04:41:00,27949,6075
P00000135,AST001214,/bin/bash,2025-01-23T11:27:00,15827,35999
P00000136,AST000289,java,2025-02-23T05:44:00,72537,21727
P00000137,AST000898,/usr/bin/python,2025-02-01T19:51:00,17482,13202
P00000138,AST001294,powershell.exe,2025-03-20T12:50:00,2049,63927
P00000139,AST000165,powershell.exe,2025-01-01T00:14:00,11684,92733
P00000140,AST001334,curl,2025-03-17T09:41:00,90899,62491
P00000141,AST001417,powershell.exe,2025-01-17T07:02:00,83864,35613
P00000142,AST001071,chrome.exe,2025-02-27T14:03:00,22879,80124
P00000143,AST001416,powershell.exe,2025-01-05T20:21:00,94005,65621
P00000144,AST001253,node,2025-01-12T21:24:00,45594,54991
P00000145,AST000009,chrome.exe,2025-03-13T08:02:00,15402,69594
P00000146,AST000195,kubectl,2025-03-21T12:21:00,66525,28840
P00000147,AST000950,chrome.exe,2025-03-22T22:30:00,36232,7055
P00000148,AST000396,ssh,2025-01-15T05:05:00,65211,23211
P00000149,AST000327,/usr/bin/python,2025-03-27T01:28:00,84524,47835
P00000150,AST000583,node,2025-01-27T14:50:00,43817,80947
P00000151,AST000928,/usr/bin/python,2025-01-06T03:33:00,70433,23153
P00000152,AST000323,kubectl,2025-01-04T16:33:00,15213,9387
P00000153,AST000481,/usr/bin/git,2025-02-26T20:13:00,42726,55027
P00000154,AST000407,chrome.exe,2025-03-28T11:07:00,14436,42846
P00000155,AST000466,curl,2025-01-13T08:05:00,26209,49321
P00000156,AST000451,/usr/bin/git,2025-01-10T16:04:00,63493,7222
P00000157,AST000892,/usr/bin/git,2025-01-19T07:22:00,59637,23438
P00000158,AST000793,ssh,2025-02-17T04:39:00,94349,25548
P00000159,AST001294,chrome.exe,2025-02-15T09:12:00,44026,16773
P00000160,AST000065,/usr/bin/python,2025-03-30T19:24:00,36780,17991
P00000161,AST000227,curl,2025-03-01T15:39:00,22440,99759
P00000162,AST000703,/usr/bin/git,2025-01-29T10:04:00,20551,83723
P00000163,AST001252,kubectl,2025-01-22T19:43:00,30108,11434
P00000164,AST000843,chrome.exe,2025-03-08T16:41:00,77540,62161
P00000165,AST000947,curl,2025-02-05T00:29:00,96493,32429
P00000166,AST000507,/usr/bin/git,2025-02-11T14:49:00,29152,77664
P00000167,AST000305,curl,2025-03-15T00:10:00,5797,5350
P00000168,AST000963,curl,2025-03-06T01:08:00,69616,51784
P00000169,AST000981,ssh,2025-03-31T03:20:00,64919,31624
P00000170,AST000170,curl,2025-03-13T00:25:00,28575,17494
P00000171,AST000734,/bin/bash,2025-02-07T08:09:00,2088,62986
P00000172,AST001370,ssh,2025-02-09T05:31:00,74761,98048
P00000173,AST001195,ssh,2025-01-04T15:31:00,18170,92261
P00000174,AST000830,ssh,2025-01-24T12:38:00,92262,83121
P00000175,AST000002,curl,2025-03-22T02:24:00,90539,43734
P00000176,AST001087,curl,2025-01-05T10:07:00,98683,35461
P00000177,AST001429,/usr/bin/git,2025-03-20T18:30:00,27152,89840
P00000178,AST000165,/usr/bin/python,2025-03-21T11:27:00,67468,88528
P00000179,AST000745,curl,2025-01-07T03:47:00,47919,61094
P00000180,AST001267,java,2025-01-06T12:28:00,22973,85057
P00000181,AST001144,kubectl,2025-04-01T02:17:00,92975,26932
P00000182,AST000283,kubectl,2025-02-12T08:08:00,14885,85170
P00000183,AST000979,chrome.exe,2025-03-16T23:59:00,98720,97750
P00000184,AST000461,node,2025-02-11T12:02:00,66004,89258
P00000185,AST000866,/bin/bash,2025-02-05T01:51:00,48866,45349
P00000186,AST000926,kubectl,2025-03-04T17:06:00,16084,61725
P00000187,AST001453,kubectl,2025-03-10T23:09:00,38308,59341
P00000188,AST001271,/bin/bash,2025-02-17T22:58:00,24688,60114
P00000189,AST000178,powershell.exe,2025-01-11T13:20:00,37798,10185
P00000190,AST000223,/bin/bash,2025-01-22T09:25:00,91368,19492
P00000191,AST001016,kubectl,2025-01-20T06:58:00,82219,3074
P00000192,AST000600,kubectl,2025-02-23T23:17:00,17306,62215
P00000193,AST000710,/usr/bin/python,2025-02-23T15:09:00,38210,24880
P00000194,AST000128,kubectl,2025-01-03T07:55:00,84499,44124
P00000195,AST000843,java,2025-03-16T11:42:00,63721,77872
P00000196,AST001363,kubectl,2025-03-31T18:05:00,58361,60131
P00000197,AST000622,node,2025-03-14T04:30:00,22510,34179
P00000198,AST000464,node,2025-03-03T12:41:00,6203,19543
P00000199,AST000723,powershell.exe,2025-02-06T15:33:00,81086,21175
P00000200,AST001457,powershell.exe,2025-03-10T09:44:00,22985,92913
P00000201,AST001418,powershell.exe,2025-03-27T05:14:00,31183,15424
P00000202,AST000084,powershell.exe,2025-02-10T19:36:00,57789,34232
P00000203,AST000757,kubectl,2025-01-24T07:00:00,92686,4646
P00000204,AST001363,powershell.exe,2025-02-10T11:44:00,48879,58876
P00000205,AST001105,node,2025-01-21T18:12:00,15924,3366
P00000206,AST000828,ssh,2025-03-05T04:57:00,41972,20554
P00000207,AST000008,java,2025-03-11T17:19:00,84836,92564
P00000208,AST000605,/usr/bin/git,2025-03-02T09:53:00,87411,19378
P00000209,AST001157,/bin/bash,2025-02-26T11:33:00,95898,62881
P00000210,AST000082,kubectl,2025-01-18T23:08:00,15320,40480
P00000211,AST000050,chrome.exe,2025-02-21T21:04:00,58455,46944
P00000212,AST000189,/usr/bin/git,2025-02-11T01:52:00,84059,25678
P00000213,AST001194,node,2025-03-09T07:34:00,25653,3055
P00000214,AST000171,/bin/bash,2025-03-10T15:12:00,67082,51797
P00000215,AST000398,/usr/bin/git,2025-03-04T10:50:00,79309,67150
P00000216,AST000114,curl,2025-03-27T12:19:00,19392,93942
P00000217,AST000875,java,2025-02-17T13:10:00,1598,37409
P00000218,AST000706,ssh,2025-02-14T10:30:00,73536,11581
P00000219,AST000441,ssh,2025-02-26T14:11:00,37832,21568
P00000220,AST001490,powershell.exe,2025-02-24T14:08:00,76963,78472
P00000221,AST000176,node,2025-01-19T07:05:00,62209,68952
P00000222,AST000686,curl,2025-01-09T20:09:00,11594,967
P00000223,AST000838,curl,2025-03-23T09:19:00,22924,72951
P00000224,AST000946,powershell.exe,2025-04-01T19:23:00,26118,24480
P00000225,AST000781,ssh,2025-02-07T18:54:00,5536,39682
P00000226,AST001198,kubectl,2025-02-08T16:51:00,96975,60845
P00000227,AST000459,powershell.exe,2025-01-04T00:05:00,34430,39443
P00000228,AST001311,/bin/bash,2025-03-23T16:07:00,85697,87382
P00000229,AST000589,ssh,2025-02-23T06:07:00,90157,84613
P00000230,AST000501,node,2025-01-04T04:04:00,64626,8845
P00000231,AST001226,ssh,2025-02-16T19:50:00,74131,57256
P00000232,AST000528,ssh,2025-03-22T23:24:00,90997,15774
P00000233,AST000764,/usr/bin/python,2025-03-07T19:38:00,34019,21444
P00000234,AST001191,java,2025-01-08T04:59:00,60430,90969
P00000235,AST000277,/usr/bin/python,2025-02-15T05:34:00,35740,47438
P00000236,AST000859,/usr/bin/python,2025-03-23T12:09:00,37993,38328
P00000237,AST001084,kubectl,2025-03-23T02:37:00,25404,82417
P00000238,AST000375,powershell.exe,2025-01-13T20:26:00,71266,42384
P00000239,AST000647,node,2025-03-29T10:16:00,89843,91583
P00000240,AST001409,kubectl,2025-02-16T03:16:00,76028,46188
P00000241,AST000294,kubectl,2025-01-02T04:40:00,36886,48991
P00000242,AST000993,powershell.exe,2025-02-22T11:36:00,13425,28657
P00000243,AST000316,chrome.exe,2025-03-06T07:32:00,73225,80503
P00000244,AST001412,kubectl,2025-03-09T18:09:00,92048,99230
P00000245,AST000233,/bin/bash,2025-02-23T15:43:00,15279,17300
P00000246,AST000035,node,2025-03-03T11:53:00,90578,47622
P00000247,AST000284,kubectl,2025-02-26T20:23:00,44833,22671
P00000248,AST001453,/bin/bash,2025-02-08T00:58:00,29145,16970
P00000249,AST001421,chrome.exe,2025-01-19T23:29:00,40296,16529
P00000250,AST000429,curl,2025-01-17T02:40:00,90547,14743
P00000251,AST000159,curl,2025-01-03T16:31:00,5573,25836
P00000252,AST000220,kubectl,2025-01-05T22:31:00,77749,7868
P00000253,AST000960,/usr/bin/python,2025-01-16T08:38:00,8684,39637
P00000254,AST001367,/bin/bash,2025-01-02T03:17:00,78879,27022
P00000255,AST001203,java,2025-01-26T06:18:00,3836,11998
P00000256,AST000298,java,2025-02-05T19:47:00,46164,21144
P00000257,AST001025,kubectl,2025-03-20T08:15:00,74742,9057
P00000258,AST000202,kubectl,2025-03-16T00:28:00,28443,93922
P00000259,AST000392,kubectl,2025-02-06T05:51:00,568,95172
P00000260,AST000202,ssh,2025-01-28T17:12:00,48034,91605
P00000261,AST001207,/bin/bash,2025-01-24T15:00:00,23705,46607
P00000262,AST000777,kubectl,2025-02-24T07:18:00,29826,53522
P00000263,AST000231,ssh,2025-02-10T04:13:00,14460,68221
P00000264,AST000278,node,2025-03-05T12:19:00,73025,94751
P00000265,AST000083,ssh,2025-01-11T11:11:00,15168,50534
P00000266,AST000580,node,2025-02-28T20:29:00,90053,58290
P00000267,AST000462,node,2025-03-12T13:54:00,56094,24844
P00000268,AST000142,java,2025-03-02T23:10:00,23501,1775
P00000269,AST001380,/bin/bash,2025-03-04T22:56:00,51953,57517
P00000270,AST001070,/bin/bash,2025-03-26T23:05:00,15627,18891
P00000271,AST000808,/usr/bin/git,2025-02-21T23:43:00,13333,97280
P00000272,AST000345,chrome.exe,2025-01-09T12:24:00,44386,26348
P00000273,AST001218,chrome.exe,2025-02-21T04:11:00,55667,95153
P00000274,AST001022,/usr/bin/git,2025-02-05T19:51:00,35780,99230
P00000275,AST001318,ssh,2025-02-21T12:09:00,87383,79158
P00000276,AST000828,node,2025-03-04T17:27:00,19317,59689
P00000277,AST000221,ssh,2025-01-16T08:33:00,65179,30354
P00000278,AST001286,/bin/bash,2025-01-18T01:00:00,96705,7027
P00000279,AST000139,/usr/bin/python,2025-03-05T23:08:00,23475,50252
P00000280,AST001238,powershell.exe,2025-03-28T11:09:00,39683,81622
P00000281,AST001276,kubectl,2025-01-13T02:36:00,64513,61182
P00000282,AST000413,ssh,2025-02-07T22:35:00,64259,66264
P00000283,AST000535,kubectl,2025-03-11T11:43:00,71647,2416
P00000284,AST000064,curl,2025-02-25T04:03:00,58998,41329
P00000285,AST000770,/usr/bin/python,2025-02-26T15:41:00,4307,23282
P00000286,AST001140,powershell.exe,2025-03-26T10:20:00,64420,56550
P00000287,AST000275,ssh,2025-02-09T13:16:00,14337,74660
P00000288,AST001382,kubectl,2025-03-04T22:31:00,89834,70799
P00000289,AST001171,kubectl,2025-03-02T16:14:00,20488,66512
P00000290,AST000114,ssh,2025-02-20T08:59:00,77470,49618
P00000291,AST001263,node,2025-03-28T12:02:00,42007,8150
P00000292,AST000057,powershell.exe,2025-03-17T01:32:00,48027,45827
P00000293,AST001195,java,2025-01-04T21:20:00,49883,12859
P00000294,AST000876,curl,2025-02-14T12:11:00,46042,7498
P00000295,AST001354,chrome.exe,2025-02-01T08:27:00,84946,41007
P00000296,AST001213,/bin/bash,2025-01-11T23:29:00,39966,15103
P00000297,AST000691,kubectl,2025-01-22T00:40:00,42745,4999
P00000298,AST000943,/usr/bin/git,2025-03-26T14:25:00,67471,55303
P00000299,AST000546,ssh,2025-01-03T23:45:00,77069,3014
P00000300,AST000648,curl,2025-02-18T19:28:00,42261,75143
P00000301,AST000200,chrome.exe,2025-03-04T03:24:00,44036,65207
P00000302,AST001029,powershell.exe,2025-03-27T11:35:00,80587,39358
P00000303,AST000744,ssh,2025-02-25T06:53:00,83289,9972
P00000304,AST001097,node,2025-01-28T09:48:00,6231,39070
P00000305,AST001174,/usr/bin/git,2025-02-21T07:42:00,97372,12153
P00000306,AST001469,/usr/bin/git,2025-03-16T03:14:00,44151,35930
P00000307,AST000137,ssh,2025-03-14T18:07:00,55982,27590
P00000308,AST000711,node,2025-01-10T22:14:00,66145,39409
P00000309,AST000886,java,2025-03-26T18:25:00,26225,54404
P00000310,AST000823,kubectl,2025-02-02T21:19:00,59406,88122
P00000311,AST001121,kubectl,2025-01-24T00:38:00,24451,75708
P00000312,AST001022,ssh,2025-01-28T22:33:00,35119,83714
P00000313,AST001091,/usr/bin/git,2025-03-20T14:48:00,95239,82250
P00000314,AST000122,java,2025-03-08T06:50:00,60620,19465
P00000315,AST000492,node,2025-01-20T23:23:00,57068,53873
P00000316,AST000652,chrome.exe,2025-01-09T21:38:00,54060,35087
P00000317,AST000587,node,2025-03-24T05:28:00,90028,78904
P00000318,AST000483,/bin/bash,2025-02-21T08:08:00,19656,25254
P00000319,AST000056,ssh,2025-02-01T10:35:00,63621,73477
P00000320,AST000893,/usr/bin/python,2025-02-24T22:04:00,26476,20987
P00000321,AST000558,node,2025-01-18T00:59:00,36409,86433
P00000322,AST001127,/usr/bin/python,2025-01-23T21:59:00,94697,63780
P00000323,AST000040,java,2025-01-08T02:51:00,78853,39156
P00000324,AST000130,/bin/bash,2025-02-22T12:24:00,52022,95026
P00000325,AST000287,/usr/bin/git,2025-01-31T03:49:00,96270,65668
P00000326,AST000247,/usr/bin/git,2025-03-08T22:40:00,68847,33104
P00000327,AST001016,/usr/bin/git,2025-01-12T08:07:00,16028,41179
P00000328,AST000674,chrome.exe,2025-03-16T13:18:00,55427,28674
P00000329,AST000295,chrome.exe,2025-01-14T05:58:00,35986,57702
P00000330,AST000836,/usr/bin/python,2025-02-02T20:07:00,64273,70022
P00000331,AST000767,java,2025-03-31T03:51:00,71532,55645
P00000332,AST000972,node,2025-03-29T08:24:00,18994,47678
P00000333,AST000973,/usr/bin/python,2025-02-17T10:31:00,84594,79505
P00000334,AST000071,chrome.exe,2025-03-26T01:51:00,33159,72547
P00000335,AST000787,java,2025-02-09T21:48:00,89817,16097
P00000336,AST001095,curl,2025-01-31T15:06:00,1032,51608
P00000337,AST000523,chrome.exe,2025-02-08T03:04:00,38984,27675
P00000338,AST000328,java,2025-02-26T21:33:00,84467,53353
P00000339,AST000069,ssh,2025-02-05T02:44:00,61747,96692
P00000340,AST000845,/bin/bash,2025-02-12T14:25:00,21017,91651
P00000341,AST000534,java,2025-03-06T02:15:00,55165,79020
P00000342,AST001493,ssh,2025-03-12T11:09:00,91123,3684
P00000343,AST000106,powershell.exe,2025-03-24T21:53:00,82596,58217
P00000344,AST001312,curl,2025-01-18T00:06:00,26225,82452
P00000345,AST000625,/bin/bash,2025-02-10T19:39:00,14527,20786
P00000346,AST000511,powershell.exe,2025-03-08T22:09:00,77859,89983
P00000347,AST000840,ssh,2025-02-10T15:24:00,96361,17599
P00000348,AST000533,/usr/bin/git,2025-01-23T23:27:00,42937,37035
P00000349,AST000406,java,2025-01-11T14:08:00,23841,51676
P00000350,AST000772,/usr/bin/python,2025-03-15T07:39:00,3011,73307
P00000351,AST001325,chrome.exe,2025-03-20T21:23:00,11663,60710
P00000352,AST000406,powershell.exe,2025-02-03T23:56:00,6526,52664
P00000353,AST001265,node,2025-02-24T20:29:00,19563,11773
P00000354,AST000753,/bin/bash,2025-01-22T19:21:00,1851,94286
P00000355,AST001076,ssh,2025-02-25T15:29:00,15534,29523
P00000356,AST001461,node,2025-01-27T06:30:00,37744,97937
P00000357,AST001012,curl,2025-02-18T04:26:00,27081,78754
P00000358,AST000441,chrome.exe,2025-02-06T23:06:00,54832,23741
P00000359,AST000836,node,2025-01-19T00:58:00,34315,30965
P00000360,AST001265,java,2025-02-27T08:28:00,76403,89788
P00000361,AST001325,/usr/bin/python,2025-02-28T02:55:00,61458,17559
P00000362,AST000662,chrome.exe,2025-03-30T13:34:00,93499,50365
P00000363,AST001450,node,2025-02-24T20:23:00,9576,12588
P00000364,AST001140,java,2025-01-08T01:46:00,30782,61826
P00000365,AST000725,/usr/bin/git,2025-03-19T22:53:00,93005,98173
P00000366,AST000093,kubectl,2025-01-01T08:39:00,81220,50030
P00000367,AST000619,java,2025-02-20T22:54:00,17333,73442
P00000368,AST000084,node,2025-03-16T06:07:00,22265,66127
P00000369,AST001009,powershell.exe,2025-02-13T15:58:00,11751,41691
P00000370,AST001454,powershell.exe,2025-03-09T14:46:00,34132,15414
P00000371,AST000641,ssh,2025-01-06T04:21:00,36832,98118
P00000372,AST000738,node,2025-02-25T09:39:00,80339,99919
P00000373,AST000540,curl,2025-03-08T10:41:00,21625,41458
P00000374,AST001006,ssh,2025-01-20T18:58:00,6976,24862
P00000375,AST000304,powershell.exe,2025-01-07T07:50:00,4701,61736
P00000376,AST000532,curl,2025-01-21T15:56:00,15208,64968
P00000377,AST000083,kubectl,2025-02-26T12:10:00,63597,60099
P00000378,AST001009,/bin/bash,2025-01-15T05:03:00,45824,12365
P00000379,AST000417,powershell.exe,2025-02-06T06:09:00,98296,66781
P00000380,AST000558,/usr/bin/git,2025-03-14T22:38:00,27840,76586
P00000381,AST000008,powershell.exe,2025-03-09T19:28:00,54581,10170
P00000382,AST000504,/bin/bash,2025-03-05T23:06:00,43078,3502
P00000383,AST000582,/bin/bash,2025-03-29T23:13:00,51665,49063
P00000384,AST001209,powershell.exe,2025-01-14T11:02:00,3785,10725
P00000385,AST000942,ssh,2025-04-01T22:30:00,59514,82459
P00000386,AST000551,/usr/bin/python,2025-03-18T22:27:00,43179,5847
P00000387,AST001343,java,2025-03-21T15:27:00,95886,96348
P00000388,AST001165,/usr/bin/python,2025-01-17T07:12:00,84364,37187
P00000389,AST000661,kubectl,2025-01-08T02:24:00,78944,50089
P00000390,AST000189,powershell.exe,2025-02-21T08:42:00,31468,52386
P00000391,AST000182,powershell.exe,2025-01-03T07:06:00,50922,52842
P00000392,AST000583,powershell.exe,2025-03-24T22:19:00,15808,39231
P00000393,AST001005,/usr/bin/git,2025-02-25T10:35:00,17209,47160
P00000394,AST001362,kubectl,2025-01-13T12:32:00,26198,64275
P00000395,AST000912,node,2025-02-19T16:15:00,73802,78787
P00000396,AST000866,java,2025-01-12T14:25:00,80461,24526
P00000397,AST000889,/bin/bash,2025-03-22T14:32:00,5301,67384
P00000398,AST000699,chrome.exe,2025-03-01T23:05:00,84884,90046
P00000399,AST001461,kubectl,2025-01-20T16:54:00,82518,84933
P00000400,AST001074,ssh,2025-01-11T09:55:00,57326,10478
P00000401,AST000978,powershell.exe,2025-02-08T05:04:00,89695,39475
P00000402,AST000509,node,2025-03-08T14:35:00,74520,6355
P00000403,AST001128,kubectl,2025-01-10T01:32:00,14108,67032
